,log_likelihood
564,-7.095703125
565,-10.5
566,-3.34375
567,-14.4375
568,-17.5
569,-11.125
570,-10.6875
571,-1.46875
572,-11.6875
573,-15.25
574,-13.375
575,-7.4375
576,-9.867218017578125
577,0.25
578,-5.992919921875
579,-14.375
580,-11.054718017578125
581,-8.2344970703125
582,-6.804718017578125
583,-4.87109375
584,-13.189453125
585,-3.203125
586,-9.5625
587,-4.01171875
588,-11.5625
589,-15.25
590,-10.679718017578125
591,-12.929718017578125
592,-9.84765625
593,-14.875
594,-11.304718017578125
595,0.09375
596,-11.6094970703125
597,-9.78125
598,-12.875
599,-17.375
600,-14.875
601,-0.28125
602,-11.492218017578125
603,-0.25
604,-5.90625
605,-8.439453125
606,-13.25
607,0.90625
608,-7.140625
609,-12.6875
610,-4.765625
611,-8.226806640625
612,-4.8907470703125
613,-14.0
614,-4.18359375
615,-14.125
616,-11.179718017578125
617,-4.71484375
618,-5.48046875
619,-8.3125
620,-11.6875
621,-2.89453125
622,-3.61328125
623,-7.898468017578125
624,-15.875
625,-7.5390625
626,-0.921875
627,-8.9541015625
628,-12.679718017578125
629,-6.3466796875
630,-15.625
631,-0.359375
632,-10.6875
633,-2.703125
634,-7.38427734375
635,-5.0
636,-10.59375
637,-7.5908203125
638,-13.5
639,-7.5703125
640,-16.375
641,-16.0
642,-11.7578125
643,-15.625
644,-8.86962890625
645,-15.0
646,-8.039306640625
647,-3.48828125
648,-2.31640625
649,-4.8828125
650,-13.5
651,-9.11328125
652,-14.5
653,-3.63671875
654,-12.0
655,-12.0
656,-9.3408203125
657,-2.4375
658,-13.9375
659,-3.5234375
660,-13.375
661,-9.476806640625
662,-3.43359375
663,-1.2890625
664,-16.375
665,-8.054718017578125
666,-12.3125
667,-7.625
668,-7.6640625
669,-10.6875
670,-12.367218017578125
671,-6.71875
672,-2.046875
673,-7.75
674,-10.8125
675,-2.703125
676,-12.929718017578125
677,-9.25
678,-1.9375
679,-8.5625
680,-13.554718017578125
681,-10.626953125
682,-7.78125
683,-10.3125
684,-10.4541015625
685,-12.5
686,-16.0
687,-4.33837890625
688,-10.789306640625
689,-0.5078125
