,log_likelihood
1238,-0.46875
1239,-0.125
1240,-0.234375
1241,-0.921875
1242,0.4375
1243,0.171875
1244,-0.9375
1245,0.0625
1246,-2.828125
1247,-0.078125
1248,0.6875
1249,0.421875
1250,0.3125
1251,-1.59375
1252,-0.65625
1253,1.25
1254,-0.0625
1255,0.6875
1256,-1.109375
1257,-1.4453125
1258,-1.71875
1259,0.140625
1260,1.4375
1261,-1.5
1262,0.15625
1263,-0.21875
1264,0.453125
1265,0.140625
1266,-0.859375
1267,-0.1875
1268,-1.921875
1269,-2.0390625
1270,0.46875
1271,0.5
1272,-0.890625
1273,-0.015625
1274,0.265625
1275,-3.5625
1276,0.34375
1277,0.28125
1278,1.28125
1279,0.640625
1280,-1.65625
1281,-0.9375
1282,-0.46875
1283,-5.34765625
1284,0.453125
1285,-0.765625
1286,-1.234375
1287,-1.34375
1288,-0.390625
1289,-0.53125
1290,0.9375
1291,0.15625
1292,-0.21875
1293,-1.59375
1294,-0.671875
1295,0.0625
1296,-0.515625
1297,-1.0
1298,0.890625
1299,-1.203125
1300,-0.4375
1301,-1.28125
1302,-0.34375
1303,0.609375
1304,-0.40625
1305,-0.578125
1306,0.390625
1307,-1.453125
1308,0.21875
1309,0.671875
1310,-2.421875
1311,-0.515625
1312,-0.078125
1313,-0.328125
1314,-0.734375
1315,0.0
1316,-0.765625
1317,0.078125
1318,-0.90625
1319,-0.296875
1320,1.375
1321,-0.15625
1322,-0.484375
1323,-0.15625
1324,-0.71875
1325,-0.171875
1326,0.328125
1327,-0.96875
1328,-0.671875
1329,-1.2265625
1330,0.015625
1331,-0.078125
1332,0.234375
1333,0.59375
1334,-0.109375
1335,0.546875
1336,0.25
1337,1.796875
1338,-0.9375
1339,-5.185546875
1340,-0.796875
1341,-0.140625
1342,0.421875
1343,-1.828125
1344,-0.28125
1345,-0.28125
1346,0.921875
1347,1.40625
1348,1.328125
1349,-1.171875
1350,0.328125
1351,-0.0625
1352,0.09375
1353,-1.0
1354,0.1875
1355,0.375
1356,-0.046875
1357,0.125
1358,-0.3828125
1359,-0.96875
1360,-0.40625
1361,-1.125
1362,0.0
1363,0.328125
