,log_likelihood
1364,-3.328125
1365,-1.171875
1366,-0.765625
1367,0.65625
1368,1.0625
1369,-4.515625
1370,-1.828125
1371,1.09375
1372,1.09375
1373,1.578125
1374,1.8125
1375,-3.6875
1376,-1.09375
1377,-1.203125
1378,-1.046875
1379,-0.15625
1380,-0.5
1381,-2.09375
1382,-1.6875
1383,0.140625
1384,-0.140625
1385,-1.28125
1386,2.015625
1387,-6.890625
1388,0.65625
1389,-4.09375
1390,-1.6875
1391,-4.078125
1392,-2.1875
1393,0.25
1394,0.609375
1395,0.84375
1396,-2.234375
1397,2.296875
1398,0.953125
1399,0.890625
1400,-4.0625
1401,-0.671875
1402,-0.4375
1403,-0.578125
1404,-3.9375
1405,1.21875
1406,-0.1875
1407,-2.015625
1408,-1.953125
1409,0.25
1410,1.78125
1411,0.46875
1412,-2.3125
1413,1.203125
1414,0.15625
1415,-8.46875
1416,1.59375
1417,-0.984375
1418,-0.0625
1419,0.796875
1420,-1.796875
1421,1.046875
1422,-0.671875
1423,-3.71875
1424,-0.25
1425,1.8125
1426,1.796875
1427,0.609375
1428,0.625
1429,2.078125
1430,0.734375
1431,-2.078125
1432,-5.234375
1433,-2.21875
1434,-1.546875
1435,0.875
1436,-1.65625
1437,0.4375
1438,0.0625
1439,1.21875
1440,-0.671875
1441,-0.90625
1442,-1.5
1443,-3.703125
1444,-9.453125
1445,-1.25
1446,-1.1875
1447,0.75
1448,0.609375
1449,-1.734375
1450,-1.671875
1451,1.40625
1452,0.3125
1453,1.28125
1454,-3.71875
1455,-2.453125
1456,-2.390625
1457,0.609375
1458,-0.484375
1459,0.296875
1460,0.328125
1461,-0.1875
1462,-1.921875
1463,-0.125
1464,-0.796875
1465,0.125
1466,0.703125
1467,0.75
1468,-0.296875
1469,0.34375
1470,0.703125
1471,-2.109375
1472,-2.546875
1473,2.0625
1474,-2.078125
1475,-0.03125
1476,-0.65625
1477,0.84375
1478,0.4375
1479,1.046875
1480,-0.390625
1481,0.53125
1482,-4.234375
1483,1.375
1484,-0.046875
1485,-3.890625
1486,-1.203125
1487,0.359375
1488,-1.5
1489,-0.21875
