,log_likelihood
942,-6.0185546875
943,-5.4219970703125
944,-4.601806640625
945,-9.7344970703125
946,-1.15625
947,-13.492218017578125
948,-5.273468017578125
949,-10.25
950,-10.61962890625
951,-5.789306640625
952,-9.1748046875
953,-5.5185546875
954,0.125
955,-7.4375
956,-6.90625
957,-14.25
958,-8.3594970703125
959,-11.75
960,-8.6719970703125
961,-3.0625
962,-2.9375
963,-2.03125
964,-3.517578125
965,-3.6875
966,-4.38232421875
967,-5.31640625
968,-8.5625
969,-6.75390625
970,-8.414306640625
971,-2.99462890625
972,-7.21337890625
973,-12.9375
974,-3.03125
975,-14.5625
976,-4.34375
977,-11.0469970703125
978,-11.5
979,-14.304718017578125
980,-3.06982421875
981,-12.804718017578125
982,-1.96875
983,-13.117218017578125
984,-9.9844970703125
985,-7.414306640625
