,log_likelihood
126,1.703125
127,-0.25
128,0.390625
129,0.5625
130,-0.34375
131,-1.875
132,0.265625
133,-2.6875
134,0.375
135,0.0
136,-0.34375
137,0.015625
138,-1.09375
139,-0.59375
140,-0.296875
141,-0.21875
142,0.046875
143,-0.1875
144,-1.78125
145,-0.515625
146,0.0
147,1.28125
148,-0.5
149,0.15625
150,-1.28125
151,-1.15625
152,-0.140625
153,-1.65625
154,-0.671875
155,0.65625
156,-0.359375
157,-0.671875
158,0.390625
159,-1.171875
160,-0.765625
161,0.453125
162,-5.95703125
163,0.421875
164,0.109375
165,0.109375
166,0.65625
167,-0.96875
168,-0.859375
169,0.15625
170,0.0625
171,-0.890625
172,-0.28125
173,-0.59375
174,-1.3125
175,0.296875
176,0.046875
177,-0.90625
178,-2.375
179,0.578125
180,-0.609375
181,-0.28125
182,-0.09375
183,-0.671875
184,-0.53125
185,0.578125
186,0.421875
187,0.296875
188,-1.34375
189,0.328125
190,-0.640625
191,-1.046875
192,0.078125
193,-0.40625
194,-0.71875
195,-0.265625
196,-0.4375
197,-0.390625
198,-0.015625
199,-1.34375
200,-1.875
201,-0.34375
202,0.34375
203,0.734375
204,1.75
205,-0.59375
206,-0.265625
207,-0.25
208,-0.453125
209,-2.515625
210,0.328125
211,-0.359375
212,0.265625
213,-1.1875
214,0.0625
215,0.03125
216,0.40625
217,-1.71875
218,-0.875
219,-1.140625
220,-0.25
221,-0.203125
222,-0.328125
223,-1.0
224,-0.359375
225,0.203125
226,-0.359375
227,-0.390625
228,-1.96875
229,-0.328125
230,-0.046875
231,-1.078125
232,-1.609375
233,-0.21875
234,-2.578125
235,-0.546875
236,-0.578125
237,-0.0625
238,0.015625
239,-1.59375
240,0.421875
241,0.0
242,-0.8828125
243,-0.140625
244,-0.03125
245,0.1875
246,0.921875
247,-8.986328125
248,-0.75
249,-2.921875
250,-0.21875
251,0.3125
