,log_likelihood
1616,-2.578125
1617,-0.53515625
1618,0.703125
1619,-1.09375
1620,0.859375
1621,-2.75
1622,0.6875
1623,1.40625
1624,-1.890625
1625,-1.40625
1626,2.53125
1627,-1.25
1628,-0.09375
1629,-3.2890625
1630,-0.6953125
1631,-1.125
1632,0.0
1633,-2.390625
1634,-1.4375
1635,-0.640625
1636,-0.875
1637,-1.703125
1638,-4.59375
1639,-1.78125
1640,0.265625
1641,0.109375
1642,-2.9453125
1643,-2.421875
1644,-0.28125
1645,-0.0625
1646,-2.25
1647,-0.1015625
1648,0.875
1649,0.328125
1650,0.40625
1651,-1.6875
1652,0.890625
1653,-0.140625
1654,-0.640625
1655,-1.390625
1656,-3.91015625
1657,-1.0
1658,0.1875
1659,-1.171875
1660,0.84375
1661,-1.5625
1662,-2.34375
1663,-0.53125
1664,0.421875
1665,-1.609375
1666,-1.2109375
1667,-1.4375
1668,-1.671875
1669,-2.5234375
1670,-1.5703125
1671,-0.1875
1672,-1.015625
1673,-6.87548828125
1674,-3.359375
1675,-0.03125
1676,-0.828125
1677,-0.6875
1678,-0.984375
1679,-0.03125
1680,-0.03125
1681,0.296875
1682,0.03125
1683,-0.28125
1684,0.140625
1685,0.1875
1686,0.421875
1687,2.5
1688,-4.1796875
1689,-2.27734375
1690,0.765625
1691,-2.46875
1692,-1.0
1693,-1.765625
1694,0.078125
1695,-0.28125
1696,-8.359375
1697,-1.65625
1698,-1.6875
1699,-0.640625
1700,-1.140625
1701,-3.80859375
1702,-9.4541015625
1703,-0.03125
1704,-1.578125
1705,-2.359375
1706,-6.0869140625
1707,-0.53125
1708,-1.390625
1709,0.484375
1710,-1.3125
1711,1.796875
1712,-0.484375
1713,-0.953125
1714,-3.4453125
1715,-1.3515625
1716,0.40625
1717,0.921875
1718,-2.3203125
1719,0.59375
1720,-2.1875
1721,-3.90625
1722,-0.921875
1723,0.4375
1724,-1.078125
1725,-5.13671875
1726,-0.671875
1727,0.578125
1728,-0.375
1729,-0.625
1730,-2.4912109375
1731,-0.15625
1732,0.25
1733,-1.0
1734,-3.109375
1735,-0.953125
1736,-2.8671875
1737,-5.99609375
1738,-3.25
1739,-3.375
1740,-0.71875
1741,1.59375
