,log_likelihood
1112,-10.617218017578125
1113,-2.65625
1114,-10.1904296875
1115,-11.492218017578125
1116,-11.4375
1117,-8.679718017578125
1118,-10.492218017578125
1119,-11.9375
1120,-9.625
1121,-7.96875
1122,-0.03125
1123,-9.29296875
1124,-5.4462890625
1125,-10.125
1126,-10.742218017578125
1127,-12.742218017578125
1128,-7.9375
1129,-10.84375
1130,-5.9453125
1131,-11.554718017578125
1132,-5.515625
1133,-2.75
1134,-12.367218017578125
1135,-9.742218017578125
1136,-11.242218017578125
1137,-8.8594970703125
1138,-13.4375
1139,-10.7373046875
1140,-5.064453125
1141,-8.492218017578125
1142,-9.4375
1143,-7.3603515625
1144,-13.367218017578125
1145,-7.203125
1146,-6.0810546875
1147,-12.867218017578125
1148,-8.779296875
1149,1.28125
1150,-13.304718017578125
1151,-12.68359375
1152,-11.867218017578125
1153,-8.625
1154,-11.25
1155,-3.421875
1156,-10.875
1157,-9.484375
1158,-10.117218017578125
1159,-3.4765625
1160,-2.59375
1161,-9.179718017578125
1162,-5.40234375
1163,-7.0782470703125
1164,-8.851806640625
1165,-9.125
1166,-1.4921875
1167,-5.023468017578125
1168,-11.3594970703125
1169,-10.501953125
1170,-8.001953125
1171,-12.90673828125
1172,-6.578125
1173,-1.921875
1174,-7.10791015625
1175,-7.74462890625
1176,-8.609375
1177,-10.1094970703125
1178,-9.1094970703125
1179,-3.37890625
1180,-4.7657470703125
1181,-6.921875
1182,-0.875
1183,-8.179718017578125
1184,-9.40673828125
1185,-6.6407470703125
1186,-4.63916015625
1187,-7.273468017578125
1188,-11.617218017578125
1189,-12.875
1190,-11.875
1191,-9.742218017578125
1192,-11.125
1193,-1.62109375
1194,-13.00927734375
1195,-2.0859375
1196,-10.9375
1197,-8.1875
1198,-8.68359375
1199,-11.875
1200,-6.304718017578125
1201,-10.0
1202,-13.742218017578125
1203,-9.30712890625
1204,-4.09375
1205,-7.654296875
1206,-8.59765625
1207,-12.3125
1208,-10.9375
1209,-10.6094970703125
1210,-6.455078125
1211,-6.55859375
1212,-7.125
1213,-11.125
1214,-6.671875
1215,-0.078125
1216,-3.44921875
1217,-11.0
1218,-7.085968017578125
1219,-9.34423828125
1220,-8.8779296875
1221,-11.5469970703125
1222,-10.1094970703125
1223,-6.166015625
1224,-8.43359375
1225,-13.101806640625
1226,-5.88623046875
1227,-7.796875
1228,-14.8125
1229,-7.585968017578125
1230,-11.0390625
1231,-13.125
1232,-14.875
1233,-10.476806640625
1234,-10.1875
1235,-9.02099609375
1236,-11.992218017578125
1237,-7.9541015625
