,log_likelihood
1742,-1.90625
1743,-0.015625
1744,-0.1484375
1745,0.59375
1746,-3.78125
1747,-0.640625
1748,-2.171875
1749,0.140625
1750,-0.578125
1751,-1.109375
1752,1.7421875
1753,0.953125
1754,-1.25
1755,0.078125
1756,-0.0625
1757,-1.140625
1758,-0.953125
1759,-1.5625
1760,0.140625
1761,-1.828125
1762,0.484375
1763,0.8125
1764,-1.53125
1765,1.21875
1766,0.09375
1767,-0.921875
1768,0.234375
1769,-1.234375
1770,-4.4765625
1771,-2.75
1772,-2.2578125
1773,-1.90625
1774,-0.765625
1775,0.078125
1776,0.890625
1777,-1.8125
1778,-0.8125
1779,0.265625
1780,-2.28125
1781,-0.15625
1782,-0.3125
1783,-0.765625
1784,-2.8046875
1785,0.875
1786,0.09375
1787,-0.609375
1788,0.296875
1789,-0.03125
1790,0.125
1791,0.15625
1792,0.234375
1793,0.0
1794,-1.46875
1795,0.21875
1796,0.46875
1797,-0.703125
1798,-1.984375
1799,-0.671875
1800,-0.890625
1801,-0.15625
1802,-0.765625
1803,0.125
1804,-1.046875
1805,-4.17578125
1806,-1.53125
1807,-0.9375
1808,-0.703125
1809,-1.265625
1810,-0.140625
1811,-0.15625
1812,0.890625
1813,1.34375
1814,-1.6875
1815,-0.796875
1816,-0.65625
1817,-5.162109375
1818,-1.171875
1819,1.03125
1820,0.265625
1821,0.109375
1822,-1.75
1823,-0.484375
1824,0.453125
1825,-1.203125
1826,-1.5625
1827,-1.0625
1828,-2.6328125
1829,-3.7421875
1830,-0.515625
1831,-1.546875
1832,-2.5625
1833,0.78125
1834,-1.09375
1835,-0.171875
1836,-10.742218017578125
1837,-0.578125
1838,-2.59375
1839,-3.375
1840,-0.796875
1841,-0.1875
1842,-0.5625
1843,-0.078125
1844,0.78125
1845,0.859375
1846,-0.15625
1847,-1.375
1848,-2.3125
1849,0.171875
1850,-0.8125
1851,0.40625
1852,-1.9375
1853,-0.78125
1854,0.40625
1855,-1.140625
1856,-3.0
1857,-0.34375
1858,-0.3125
1859,-0.25
1860,0.34375
1861,-2.0
1862,3.109375
1863,-2.546875
1864,0.40625
1865,-1.203125
1866,-0.25
1867,-0.21875
