,log_likelihood
0,-2239.28564453125
1,-2238.921630859375
2,-2238.30419921875
3,-2237.7900390625
4,-2238.217529296875
5,-2238.55126953125
6,-2237.883056640625
7,-2238.1904296875
8,-2239.03564453125
9,-2237.38330078125
10,-2238.1865234375
11,-2238.355224609375
12,-2239.842529296875
13,-2237.33740234375
14,-2236.998046875
15,-2237.9599609375
16,-2238.71923828125
17,-2237.025390625
18,-2235.40283203125
19,-2237.83544921875
20,-2239.564453125
21,-2236.45068359375
22,-2237.4501953125
23,-2240.02001953125
24,-2237.404541015625
25,-2237.3125
26,-2239.645263671875
27,-2237.513671875
28,-2237.34375
29,-2237.4521484375
30,-2240.55517578125
31,-2238.047119140625
32,-2239.451171875
33,-2239.665771484375
34,-2239.658203125
35,-2237.65087890625
36,-2238.25
37,-2237.46826171875
38,-2233.366455078125
39,-2239.152099609375
40,-2236.927734375
41,-2237.70751953125
42,-2238.908447265625
43,-2237.6826171875
44,-2240.1181640625
45,-2238.16162109375
46,-2240.128173828125
47,-2240.95654296875
48,-2238.13037109375
49,-2239.66650390625
50,-2239.129150390625
51,-2236.823486328125
52,-2237.736083984375
53,-2238.630126953125
54,-2238.3984375
55,-2238.68115234375
56,-2240.99658203125
57,-2240.847900390625
58,-2238.858642578125
59,-2240.748046875
60,-2239.798583984375
61,-2238.460693359375
62,-2237.056640625
63,-2237.300537109375
64,-2236.935302734375
65,-2236.8330078125
66,-2236.62451171875
67,-2239.244384765625
68,-2237.923828125
69,-2238.628173828125
70,-2236.9853515625
71,-2238.3173828125
72,-2238.62353515625
73,-2238.18896484375
74,-2237.43896484375
75,-2240.310302734375
76,-2240.7333984375
77,-2237.5634765625
78,-2239.2109375
79,-2238.40380859375
80,-2236.645263671875
81,-2241.838134765625
82,-2239.35107421875
83,-2239.72021484375
84,-2237.88916015625
85,-2241.88427734375
86,-2237.39501953125
87,-2238.93505859375
88,-2239.40625
89,-2239.013671875
90,-2237.35302734375
91,-2238.29638671875
92,-2238.13427734375
93,-2238.494873046875
94,-2236.91796875
95,-2237.65087890625
96,-2239.77978515625
97,-2238.227783203125
98,-2238.710205078125
99,-2240.243896484375
100,-2239.6181640625
101,-2237.99169921875
102,-2238.9560546875
103,-2241.87158203125
104,-2240.27197265625
105,-2238.48779296875
106,-2237.10009765625
107,-2236.557373046875
108,-2238.228271484375
109,-2237.963623046875
110,-2241.48828125
111,-2238.91455078125
112,-2237.98779296875
113,-2237.614013671875
114,-2235.13427734375
115,-2238.058349609375
116,-2241.07275390625
117,-2236.063720703125
118,-2237.390625
119,-2239.95458984375
120,-2238.8984375
121,-2237.8173828125
122,-2235.543212890625
123,-2237.29296875
124,-2241.2939453125
125,-2238.74853515625
