,log_likelihood
1238,-2954.51171875
1239,-2956.609130859375
1240,-2957.36767578125
1241,-2953.892578125
1242,-2955.2548828125
1243,-2957.64306640625
1244,-2958.954345703125
1245,-2952.576171875
1246,-2954.822509765625
1247,-2952.90869140625
1248,-2958.34765625
1249,-2954.010986328125
1250,-2955.880859375
1251,-2955.638671875
1252,-2958.49267578125
1253,-2952.7236328125
1254,-2953.633544921875
1255,-2953.93115234375
1256,-2955.2490234375
1257,-2952.392578125
1258,-2955.01416015625
1259,-2956.2314453125
1260,-2952.673095703125
1261,-2956.232421875
1262,-2954.979248046875
1263,-2955.4658203125
1264,-2954.77392578125
1265,-2954.197265625
1266,-2957.166259765625
1267,-2959.99072265625
1268,-2956.553466796875
1269,-2954.44775390625
1270,-2952.51708984375
1271,-2954.40234375
1272,-2955.81787109375
1273,-2954.199462890625
1274,-2954.492919921875
1275,-2960.37158203125
1276,-2955.30712890625
1277,-2955.60009765625
1278,-2956.175048828125
1279,-2956.4228515625
1280,-2956.5419921875
1281,-2956.231689453125
1282,-2963.8212890625
1283,-2954.8212890625
1284,-2957.668212890625
1285,-2956.728515625
1286,-2955.92138671875
1287,-2955.37548828125
1288,-2954.850830078125
1289,-2953.043701171875
1290,-2953.832763671875
1291,-2954.487548828125
1292,-2954.63623046875
1293,-2958.339599609375
1294,-2953.90478515625
1295,-2954.4521484375
1296,-2955.10888671875
1297,-2959.32470703125
1298,-2953.265625
1299,-2954.4794921875
1300,-2952.630859375
1301,-2954.866943359375
1302,-2952.311767578125
1303,-2955.55419921875
1304,-2952.55224609375
1305,-2955.8935546875
1306,-2954.81005859375
1307,-2957.369140625
1308,-2953.61474609375
1309,-2955.23828125
1310,-2958.619140625
1311,-2952.372314453125
1312,-2955.81689453125
1313,-2955.439453125
1314,-2954.6767578125
1315,-2952.98779296875
1316,-2957.48046875
1317,-2953.907958984375
1318,-2958.760009765625
1319,-2956.790283203125
1320,-2954.458984375
1321,-2953.95458984375
1322,-2956.239990234375
1323,-2953.859619140625
1324,-2958.55419921875
1325,-2956.933349609375
1326,-2954.78173828125
1327,-2954.16796875
1328,-2954.95703125
1329,-2958.1337890625
1330,-2956.64208984375
1331,-2956.16650390625
1332,-2955.59033203125
1333,-2956.78271484375
1334,-2953.75537109375
1335,-2956.650634765625
1336,-2953.68017578125
1337,-2954.0263671875
1338,-2954.496826171875
1339,-2955.999267578125
1340,-2955.552490234375
1341,-2953.96435546875
1342,-2952.94287109375
1343,-2955.611328125
1344,-2956.13232421875
1345,-2956.15185546875
1346,-2955.5615234375
1347,-2955.243408203125
1348,-2955.1630859375
1349,-2958.11181640625
1350,-2956.05908203125
1351,-2954.453369140625
1352,-2954.06982421875
1353,-2955.01220703125
1354,-2955.376708984375
1355,-2959.73046875
1356,-2955.012451171875
1357,-2954.171142578125
1358,-2955.36181640625
1359,-2955.306396484375
1360,-2957.8984375
1361,-2957.72509765625
1362,-2953.19482421875
1363,-2957.1015625
