,log_likelihood
942,-1826.9884033203125
943,-1826.493408203125
944,-1830.4910888671875
945,-1843.1845703125
946,-1813.8677978515625
947,-1828.921875
948,-1828.650634765625
949,-1849.898681640625
950,-1846.32275390625
951,-1826.8492431640625
952,-1835.38818359375
953,-1830.6767578125
954,-1813.16064453125
955,-1835.1708984375
956,-1830.239501953125
957,-1845.60498046875
958,-1828.666015625
959,-1838.34521484375
960,-1823.735107421875
961,-1835.83544921875
962,-1837.559326171875
963,-1825.5830078125
964,-1834.000244140625
965,-1828.972900390625
966,-1844.34130859375
967,-1829.64208984375
968,-1845.36767578125
969,-1838.8077392578125
970,-1841.984375
971,-1817.939453125
972,-1836.735595703125
973,-1845.827392578125
974,-1816.460693359375
975,-1863.310791015625
976,-1836.576171875
977,-1841.9305419921875
978,-1860.8193359375
979,-1833.9688720703125
980,-1825.2203369140625
981,-1832.692626953125
982,-1824.21337890625
983,-1845.9482421875
984,-1829.960693359375
985,-1837.3944091796875
