,log_likelihood
378,-2839.194580078125
379,-2837.6552734375
380,-2837.812744140625
381,-2835.715576171875
382,-2837.55859375
383,-2838.095703125
384,-2838.34228515625
385,-2836.23876953125
386,-2837.01416015625
387,-2837.20361328125
388,-2836.944091796875
389,-2839.6142578125
390,-2836.960205078125
391,-2837.134033203125
392,-2837.141357421875
393,-2839.75244140625
394,-2839.816162109375
395,-2836.639892578125
396,-2837.16162109375
397,-2837.617919921875
398,-2836.63818359375
399,-2835.51953125
400,-2839.28759765625
401,-2840.8310546875
402,-2836.13232421875
403,-2840.369140625
404,-2838.189697265625
405,-2836.68212890625
406,-2836.25634765625
407,-2834.882568359375
408,-2838.24072265625
409,-2837.3818359375
410,-2839.18359375
411,-2837.075439453125
412,-2836.0986328125
413,-2836.11962890625
414,-2834.81201171875
415,-2835.4130859375
416,-2836.7138671875
417,-2838.634521484375
418,-2836.63037109375
419,-2839.028076171875
420,-2836.419189453125
421,-2836.023681640625
422,-2835.9111328125
423,-2835.82861328125
424,-2836.578857421875
425,-2838.948974609375
426,-2841.7548828125
427,-2840.2099609375
428,-2838.75732421875
429,-2838.65185546875
430,-2837.067626953125
431,-2841.1416015625
432,-2836.0654296875
433,-2836.98046875
434,-2836.176513671875
435,-2840.17041015625
436,-2833.881103515625
437,-2835.7548828125
438,-2840.4169921875
439,-2836.7421875
440,-2836.474609375
441,-2837.211181640625
442,-2833.47509765625
443,-2837.017578125
444,-2837.409423828125
445,-2837.9765625
446,-2837.32275390625
447,-2836.290771484375
448,-2839.0029296875
449,-2840.0361328125
450,-2837.664306640625
451,-2835.22314453125
452,-2836.6259765625
453,-2840.27685546875
454,-2836.57177734375
455,-2834.759521484375
456,-2837.00244140625
457,-2836.092041015625
458,-2836.89794921875
459,-2841.274169921875
460,-2837.26025390625
461,-2837.73974609375
462,-2836.591796875
463,-2840.40087890625
464,-2837.4912109375
465,-2836.947021484375
466,-2834.343017578125
467,-2842.20654296875
468,-2836.52880859375
469,-2840.22998046875
470,-2836.4775390625
471,-2836.58154296875
472,-2839.205078125
473,-2837.7822265625
474,-2837.532470703125
475,-2838.7958984375
476,-2838.36865234375
477,-2838.14990234375
478,-2836.6025390625
479,-2835.50537109375
480,-2837.42578125
481,-2838.45458984375
482,-2840.953125
483,-2837.376953125
484,-2836.712646484375
485,-2835.40380859375
486,-2837.4150390625
487,-2837.55908203125
488,-2835.86181640625
489,-2833.310546875
490,-2838.423828125
491,-2840.0771484375
492,-2841.78564453125
493,-2835.8564453125
494,-2834.966552734375
495,-2838.119873046875
496,-2839.1328125
497,-2838.96533203125
498,-2835.703857421875
499,-2839.08544921875
500,-2837.850830078125
501,-2835.42138671875
502,-2834.49072265625
503,-2837.338134765625
