,log_likelihood
690,-450.7992858886719
691,-463.4804992675781
692,-444.57342529296875
693,-440.94757080078125
694,-446.716552734375
695,-443.69610595703125
696,-460.5853271484375
697,-444.99945068359375
698,-443.80340576171875
699,-442.7856750488281
700,-440.64019775390625
701,-444.84503173828125
702,-441.574951171875
703,-440.1393127441406
704,-443.950927734375
705,-446.5233459472656
706,-443.3331604003906
707,-443.1047668457031
708,-443.42071533203125
709,-456.4984130859375
710,-452.426513671875
711,-443.3446960449219
712,-439.3273010253906
713,-442.5474853515625
714,-443.7615661621094
715,-442.7987060546875
716,-440.7625732421875
717,-440.1020812988281
718,-443.2081298828125
719,-441.46099853515625
720,-463.425537109375
721,-437.33660888671875
722,-441.8371276855469
723,-442.4151306152344
724,-443.56414794921875
725,-440.93804931640625
726,-441.8719482421875
727,-447.201416015625
728,-443.3644714355469
729,-440.2962341308594
730,-438.509033203125
731,-443.7529296875
732,-441.9264831542969
733,-437.8782653808594
734,-437.7726745605469
735,-440.4056396484375
736,-441.43023681640625
737,-443.5555114746094
738,-439.96405029296875
739,-441.12213134765625
740,-450.53350830078125
741,-450.5514221191406
742,-442.1146240234375
743,-446.74908447265625
744,-456.90771484375
745,-440.846923828125
746,-460.26116943359375
747,-461.1484375
748,-443.82745361328125
749,-461.1055908203125
750,-441.701171875
751,-444.0462646484375
752,-443.26605224609375
753,-444.22796630859375
754,-436.4202575683594
755,-437.37847900390625
756,-443.0655822753906
757,-456.248291015625
758,-444.2016296386719
759,-442.36761474609375
760,-443.88909912109375
761,-449.2482604980469
762,-442.1557312011719
763,-442.08355712890625
764,-439.7745056152344
765,-440.60479736328125
766,-448.8402099609375
767,-441.64715576171875
768,-437.51007080078125
769,-438.82672119140625
770,-460.91778564453125
771,-444.11553955078125
772,-437.856689453125
773,-437.32135009765625
774,-445.96502685546875
775,-440.81549072265625
776,-442.72021484375
777,-442.99237060546875
778,-438.0744323730469
779,-448.38018798828125
780,-443.2005920410156
781,-438.2966613769531
782,-443.3638916015625
783,-449.8614196777344
784,-441.37725830078125
785,-440.257080078125
786,-446.1155090332031
787,-440.2579345703125
788,-445.73651123046875
789,-439.7887878417969
790,-440.26861572265625
791,-439.27520751953125
792,-442.21124267578125
793,-437.1087341308594
794,-443.6379089355469
795,-444.97589111328125
796,-446.37255859375
797,-451.1031494140625
798,-443.1558532714844
799,-443.29656982421875
800,-443.939208984375
801,-442.4573974609375
802,-445.81622314453125
803,-440.38775634765625
804,-440.8251953125
805,-446.2796630859375
806,-446.7929992675781
807,-440.7984619140625
808,-442.26995849609375
809,-440.0715637207031
810,-455.5486145019531
811,-440.4830017089844
812,-441.70050048828125
813,-447.22052001953125
814,-440.99658203125
815,-444.7988586425781
