,log_likelihood
986,-2203.21826171875
987,-2203.033447265625
988,-2203.0654296875
989,-2200.854736328125
990,-2201.917724609375
991,-2202.23291015625
992,-2204.328857421875
993,-2202.65576171875
994,-2205.14111328125
995,-2201.6904296875
996,-2202.119140625
997,-2202.6689453125
998,-2201.9384765625
999,-2203.0185546875
1000,-2209.79931640625
1001,-2202.427001953125
1002,-2201.7646484375
1003,-2201.68017578125
1004,-2200.193359375
1005,-2201.91943359375
1006,-2202.312255859375
1007,-2201.9482421875
1008,-2202.455078125
1009,-2200.8564453125
1010,-2203.02734375
1011,-2203.281982421875
1012,-2205.43994140625
1013,-2203.8115234375
1014,-2202.57958984375
1015,-2202.647216796875
1016,-2200.654541015625
1017,-2203.54931640625
1018,-2205.6826171875
1019,-2202.247314453125
1020,-2203.318359375
1021,-2201.27001953125
1022,-2204.508056640625
1023,-2203.36474609375
1024,-2201.15625
1025,-2202.8642578125
1026,-2201.53564453125
1027,-2202.72119140625
1028,-2203.204833984375
1029,-2201.59375
1030,-2203.37353515625
1031,-2202.392822265625
1032,-2201.727783203125
1033,-2203.94482421875
1034,-2205.05419921875
1035,-2202.66455078125
1036,-2201.54150390625
1037,-2200.582763671875
1038,-2203.24267578125
1039,-2199.8671875
1040,-2199.751220703125
1041,-2205.18115234375
1042,-2203.7783203125
1043,-2203.62060546875
1044,-2203.322265625
1045,-2202.16748046875
1046,-2202.71533203125
1047,-2201.9775390625
1048,-2204.520751953125
1049,-2202.58935546875
1050,-2205.228515625
1051,-2205.84375
1052,-2201.112060546875
1053,-2203.259765625
1054,-2203.75
1055,-2203.79931640625
1056,-2203.782470703125
1057,-2204.189453125
1058,-2202.1220703125
1059,-2202.90966796875
1060,-2202.544921875
1061,-2204.830810546875
1062,-2202.41259765625
1063,-2201.542724609375
1064,-2201.243896484375
1065,-2204.050537109375
1066,-2204.67724609375
1067,-2201.509033203125
1068,-2202.587646484375
1069,-2203.47900390625
1070,-2205.74853515625
1071,-2203.18310546875
1072,-2205.88818359375
1073,-2202.994140625
1074,-2202.16796875
1075,-2202.64208984375
1076,-2205.144287109375
1077,-2204.7490234375
1078,-2202.104736328125
1079,-2202.8076171875
1080,-2203.06201171875
1081,-2203.0234375
1082,-2201.553466796875
1083,-2203.023681640625
1084,-2206.02978515625
1085,-2202.40771484375
1086,-2202.378662109375
1087,-2201.04736328125
1088,-2201.796875
1089,-2200.58740234375
1090,-2202.998291015625
1091,-2201.87451171875
1092,-2202.35009765625
1093,-2203.37451171875
1094,-2202.95654296875
1095,-2202.55322265625
1096,-2203.7763671875
1097,-2202.272705078125
1098,-2202.21826171875
1099,-2202.445556640625
1100,-2202.25
1101,-2201.35986328125
1102,-2203.80078125
1103,-2200.43701171875
1104,-2203.72119140625
1105,-2203.0009765625
1106,-2200.96728515625
1107,-2203.749267578125
1108,-2205.91162109375
1109,-2202.212890625
1110,-2201.640625
1111,-2203.637939453125
