,log_likelihood
504,-1818.4205322265625
505,-1819.162353515625
506,-1819.13916015625
507,-1819.5703125
508,-1819.5267333984375
509,-1818.681884765625
510,-1819.56298828125
511,-1819.9027099609375
512,-1820.5419921875
513,-1818.005126953125
514,-1819.7537841796875
515,-1819.7113037109375
516,-1819.71435546875
517,-1819.5625
518,-1817.75390625
519,-1819.6502685546875
520,-1818.7119140625
521,-1819.1090087890625
522,-1819.132568359375
523,-1819.50732421875
524,-1820.35986328125
525,-1819.305908203125
526,-1820.55224609375
527,-1820.5506591796875
528,-1819.672607421875
529,-1818.970458984375
530,-1820.0401611328125
531,-1819.542724609375
532,-1820.781982421875
533,-1819.7232666015625
534,-1817.748291015625
535,-1819.3023681640625
536,-1819.36962890625
537,-1819.8172607421875
538,-1820.27099609375
539,-1820.3917236328125
540,-1820.02294921875
541,-1819.56396484375
542,-1819.968017578125
543,-1819.9010009765625
544,-1817.774169921875
545,-1818.79150390625
546,-1819.990478515625
547,-1819.3255615234375
548,-1819.3798828125
549,-1818.7900390625
550,-1818.52978515625
551,-1819.1231689453125
552,-1817.693359375
553,-1820.4949951171875
554,-1819.5228271484375
555,-1819.759765625
556,-1822.406005859375
557,-1819.18212890625
558,-1819.947265625
559,-1819.224853515625
560,-1819.3077392578125
561,-1819.455810546875
562,-1818.57373046875
563,-1820.099609375
