,log_likelihood
1742,-2963.35693359375
1743,-2963.564453125
1744,-2962.080810546875
1745,-2961.677490234375
1746,-2962.09033203125
1747,-2961.3349609375
1748,-2963.85302734375
1749,-2961.185302734375
1750,-2959.818115234375
1751,-2960.41796875
1752,-2962.8525390625
1753,-2963.0830078125
1754,-2964.558837890625
1755,-2960.408203125
1756,-2961.83203125
1757,-2959.39013671875
1758,-2962.062255859375
1759,-2959.628662109375
1760,-2960.566162109375
1761,-2962.3447265625
1762,-2961.9697265625
1763,-2962.2802734375
1764,-2961.0986328125
1765,-2961.23291015625
1766,-2961.3603515625
1767,-2961.0830078125
1768,-2962.6162109375
1769,-2963.08447265625
1770,-2965.230224609375
1771,-2963.60986328125
1772,-2961.927001953125
1773,-2964.1796875
1774,-2959.60595703125
1775,-2960.9248046875
1776,-2960.255859375
1777,-2966.661376953125
1778,-2961.3095703125
1779,-2961.988525390625
1780,-2961.93017578125
1781,-2962.7978515625
1782,-2961.472412109375
1783,-2960.45751953125
1784,-2961.84716796875
1785,-2961.03466796875
1786,-2962.05615234375
1787,-2962.14306640625
1788,-2961.58447265625
1789,-2962.683837890625
1790,-2962.245849609375
1791,-2962.956298828125
1792,-2961.70849609375
1793,-2963.55224609375
1794,-2960.87841796875
1795,-2961.62255859375
1796,-2962.529052734375
1797,-2961.724609375
1798,-2963.18603515625
1799,-2961.8466796875
1800,-2969.7626953125
1801,-2964.46240234375
1802,-2960.595703125
1803,-2963.69287109375
1804,-2961.841796875
1805,-2963.3642578125
1806,-2964.99853515625
1807,-2962.445556640625
1808,-2960.85498046875
1809,-2961.796875
1810,-2960.50537109375
1811,-2961.831787109375
1812,-2962.70703125
1813,-2960.208984375
1814,-2962.550537109375
1815,-2962.35595703125
1816,-2961.95458984375
1817,-2962.658203125
1818,-2964.84521484375
1819,-2961.27392578125
1820,-2963.110107421875
1821,-2961.951171875
1822,-2962.517333984375
1823,-2964.274658203125
1824,-2961.0107421875
1825,-2962.5302734375
1826,-2962.17041015625
1827,-2961.7861328125
1828,-2961.211669921875
1829,-2964.202880859375
1830,-2962.352294921875
1831,-2964.971435546875
1832,-2960.859130859375
1833,-2962.55224609375
1834,-2962.79052734375
1835,-2962.02392578125
1836,-2964.1025390625
1837,-2963.147216796875
1838,-2965.140625
1839,-2963.9345703125
1840,-2963.109619140625
1841,-2961.469970703125
1842,-2963.11865234375
1843,-2960.79541015625
1844,-2959.93603515625
1845,-2961.49609375
1846,-2962.9697265625
1847,-2963.56982421875
1848,-2962.39892578125
1849,-2962.53369140625
1850,-2961.787841796875
1851,-2956.62646484375
1852,-2964.619384765625
1853,-2962.6982421875
1854,-2959.3896484375
1855,-2960.98388671875
1856,-2963.879638671875
1857,-2962.8828125
1858,-2961.122314453125
1859,-2960.1640625
1860,-2959.43212890625
1861,-2961.0361328125
1862,-2960.267578125
1863,-2963.78564453125
1864,-2960.07470703125
1865,-2961.408447265625
1866,-2961.67822265625
1867,-2961.987548828125
