,log_likelihood
0,-3082.357421875
1,-3079.96240234375
2,-3080.3896484375
3,-3080.265625
4,-3080.2236328125
5,-3080.9482421875
6,-3080.733154296875
7,-3081.53759765625
8,-3079.94677734375
9,-3080.47412109375
10,-3080.11669921875
11,-3080.97998046875
12,-3081.04638671875
13,-3080.1669921875
14,-3080.81005859375
15,-3080.75
16,-3081.068359375
17,-3081.017822265625
18,-3080.330078125
19,-3082.661865234375
20,-3079.234130859375
21,-3080.6552734375
22,-3079.28662109375
23,-3081.3271484375
24,-3079.665283203125
25,-3080.50634765625
26,-3081.060791015625
27,-3081.48779296875
28,-3079.31396484375
29,-3080.337646484375
30,-3079.227783203125
31,-3081.697265625
32,-3079.434326171875
33,-3080.406005859375
34,-3079.082275390625
35,-3079.970703125
36,-3079.2099609375
37,-3081.209716796875
38,-3080.599853515625
39,-3079.13818359375
40,-3079.056396484375
41,-3079.11376953125
42,-3079.42236328125
43,-3078.79150390625
44,-3078.479736328125
45,-3080.4091796875
46,-3079.451171875
47,-3080.2041015625
48,-3079.958984375
49,-3077.647216796875
50,-3081.1025390625
51,-3078.44873046875
52,-3077.451171875
53,-3081.03662109375
54,-3079.98291015625
55,-3079.851806640625
56,-3079.80615234375
57,-3080.97412109375
58,-3082.7236328125
59,-3080.4833984375
60,-3081.74853515625
61,-3080.9365234375
62,-3080.3466796875
63,-3080.10107421875
64,-3080.44921875
65,-3079.73291015625
66,-3079.8408203125
67,-3081.9931640625
68,-3081.385009765625
69,-3080.95556640625
70,-3080.05859375
71,-3081.33203125
72,-3080.7802734375
73,-3080.274169921875
74,-3083.39013671875
75,-3081.80029296875
76,-3082.0
77,-3081.30810546875
78,-3082.263916015625
79,-3082.34423828125
80,-3079.862060546875
81,-3080.63720703125
82,-3079.83056640625
83,-3083.459716796875
84,-3079.96875
85,-3078.935546875
86,-3079.94140625
87,-3081.3876953125
88,-3079.853271484375
89,-3081.69287109375
90,-3082.5390625
91,-3081.34130859375
92,-3080.486572265625
93,-3078.51708984375
94,-3082.42724609375
95,-3084.001220703125
96,-3080.6015625
97,-3079.860595703125
98,-3081.63037109375
99,-3080.27734375
100,-3080.035400390625
101,-3081.828125
102,-3083.739013671875
103,-3082.494140625
104,-3080.515625
105,-3081.400390625
106,-3080.091064453125
107,-3079.488037109375
108,-3081.06005859375
109,-3080.97802734375
110,-3080.306640625
111,-3080.1005859375
112,-3082.822021484375
113,-3079.1669921875
114,-3084.936767578125
115,-3079.4208984375
116,-3078.207275390625
117,-3082.909912109375
118,-3078.1982421875
