,log_likelihood
0,-3435.14453125
1,-3435.276611328125
2,-3429.909423828125
3,-3430.38232421875
4,-3430.41015625
5,-3430.386474609375
6,-3430.962890625
7,-3433.234375
8,-3434.072265625
9,-3432.52294921875
10,-3431.1376953125
11,-3431.543701171875
12,-3430.19189453125
13,-3432.03564453125
14,-3431.588623046875
15,-3433.281982421875
16,-3432.08544921875
17,-3431.5615234375
18,-3431.533447265625
19,-3428.622802734375
20,-3427.900146484375
21,-3428.123046875
22,-3430.55419921875
23,-3431.811279296875
24,-3429.965087890625
25,-3430.16845703125
26,-3427.703857421875
27,-3428.477294921875
28,-3427.80078125
29,-3428.924072265625
30,-3431.32470703125
31,-3428.23291015625
32,-3428.432373046875
33,-3430.586669921875
34,-3427.6640625
35,-3430.95751953125
36,-3429.6513671875
37,-3428.087890625
38,-3429.65966796875
39,-3430.0830078125
40,-3429.696533203125
41,-3429.687744140625
42,-3428.74267578125
43,-3430.58056640625
44,-3430.5986328125
45,-3427.61865234375
46,-3429.901611328125
47,-3429.2216796875
48,-3430.1552734375
49,-3429.654052734375
50,-3429.63427734375
51,-3428.908447265625
52,-3430.173828125
53,-3429.926025390625
54,-3429.06591796875
55,-3432.63525390625
56,-3430.09130859375
57,-3429.555419921875
58,-3430.959716796875
59,-3431.66650390625
60,-3430.343017578125
61,-3431.98779296875
62,-3430.427734375
63,-3430.05126953125
64,-3430.69580078125
65,-3429.35546875
66,-3428.66650390625
67,-3430.880126953125
68,-3432.45361328125
69,-3429.9931640625
70,-3428.18310546875
71,-3431.063232421875
72,-3429.26953125
73,-3431.467041015625
74,-3431.62060546875
75,-3427.317138671875
76,-3428.205078125
77,-3426.86376953125
78,-3429.53955078125
79,-3432.561767578125
80,-3428.01708984375
81,-3426.45166015625
82,-3430.728759765625
83,-3429.27978515625
84,-3431.723876953125
85,-3427.81494140625
86,-3427.980224609375
87,-3430.8701171875
88,-3429.3681640625
89,-3431.4130859375
90,-3426.72607421875
91,-3428.152099609375
92,-3431.678955078125
93,-3427.634033203125
94,-3426.79150390625
95,-3427.39404296875
96,-3430.281494140625
97,-3427.60595703125
98,-3428.277587890625
99,-3430.140625
100,-3430.16015625
101,-3428.197998046875
102,-3427.64697265625
103,-3428.318359375
104,-3428.052734375
105,-3431.361083984375
106,-3429.8095703125
107,-3428.4482421875
108,-3428.755859375
109,-3429.62646484375
110,-3428.83154296875
111,-3428.58056640625
112,-3427.30517578125
113,-3431.024658203125
114,-3431.485107421875
115,-3430.087646484375
116,-3433.23974609375
117,-3430.10595703125
118,-3427.915771484375
119,-3429.9970703125
120,-3431.130615234375
121,-3431.63232421875
122,-3432.60009765625
123,-3429.208984375
124,-3432.64111328125
125,-3431.666259765625
126,-3430.75830078125
127,-3431.95556640625
128,-3429.82373046875
129,-3431.670166015625
130,-3431.28466796875
131,-3430.8408203125
132,-3428.132080078125
133,-3428.177734375
134,-3428.06884765625
135,-3428.1787109375
136,-3429.63623046875
137,-3427.857421875
138,-3428.829833984375
139,-3427.9169921875
140,-3429.9765625
141,-3427.48974609375
142,-3429.867431640625
143,-3429.8271484375
144,-3428.158447265625
145,-3428.777099609375
146,-3427.4365234375
147,-3427.65185546875
148,-3428.10595703125
