,log_likelihood
0,-3055.7451171875
1,-3051.534423828125
2,-3055.8974609375
3,-3053.4228515625
4,-3054.220947265625
5,-3053.20263671875
6,-3053.732421875
7,-3054.156982421875
8,-3053.71240234375
9,-3053.946044921875
10,-3054.75732421875
11,-3052.39697265625
12,-3055.17578125
13,-3053.082275390625
14,-3054.92626953125
15,-3055.533447265625
16,-3053.29638671875
17,-3053.704833984375
18,-3054.619873046875
19,-3053.13818359375
20,-3054.75341796875
21,-3053.94287109375
22,-3054.1279296875
23,-3053.85302734375
24,-3053.107177734375
25,-3052.905029296875
26,-3055.84619140625
27,-3053.40087890625
28,-3052.986328125
29,-3053.339111328125
30,-3055.99072265625
31,-3052.3076171875
32,-3055.94580078125
33,-3054.156494140625
34,-3054.99267578125
35,-3054.528564453125
36,-3052.97802734375
37,-3054.36962890625
38,-3053.20654296875
39,-3055.19384765625
40,-3052.15478515625
41,-3055.023681640625
42,-3053.54541015625
43,-3055.345703125
44,-3053.9091796875
45,-3050.1787109375
46,-3053.61572265625
47,-3053.61474609375
48,-3051.48095703125
49,-3053.69677734375
50,-3052.679931640625
51,-3052.360107421875
52,-3053.0576171875
53,-3051.5
54,-3054.87744140625
55,-3050.87451171875
56,-3054.84521484375
57,-3053.8125
58,-3053.9208984375
59,-3054.55712890625
60,-3053.01171875
61,-3052.1533203125
62,-3052.608154296875
63,-3052.28857421875
64,-3051.6962890625
65,-3049.693115234375
66,-3051.176025390625
67,-3050.481689453125
68,-3050.466064453125
69,-3052.033447265625
70,-3052.4912109375
71,-3050.8349609375
72,-3050.83056640625
73,-3053.7900390625
74,-3055.953369140625
75,-3054.98486328125
76,-3056.4521484375
77,-3056.413818359375
78,-3054.630859375
79,-3054.43896484375
80,-3052.81982421875
81,-3055.09228515625
82,-3058.43701171875
83,-3054.03173828125
84,-3053.2275390625
85,-3052.10205078125
86,-3050.636474609375
87,-3048.89453125
88,-3051.95458984375
89,-3051.438232421875
90,-3050.04541015625
91,-3052.2255859375
92,-3051.18798828125
93,-3051.711669921875
94,-3048.3427734375
95,-3050.49560546875
96,-3052.197509765625
97,-3050.65625
98,-3052.015380859375
99,-3052.251220703125
100,-3051.41015625
101,-3052.427978515625
102,-3050.960205078125
103,-3051.42431640625
104,-3052.311279296875
105,-3052.84423828125
106,-3051.42529296875
107,-3048.033935546875
108,-3050.484130859375
109,-3050.12646484375
110,-3052.9267578125
111,-3051.190673828125
112,-3050.04638671875
113,-3053.984619140625
114,-3051.8291015625
115,-3050.848388671875
116,-3052.367431640625
117,-3054.810302734375
118,-3052.5009765625
119,-3051.751220703125
120,-3051.98486328125
121,-3055.06640625
122,-3051.552978515625
123,-3052.975341796875
124,-3052.2236328125
125,-3052.780517578125
126,-3055.1015625
127,-3052.742919921875
128,-3053.2158203125
129,-3055.04736328125
130,-3052.63916015625
131,-3050.55078125
132,-3052.636962890625
133,-3052.3359375
134,-3052.22119140625
135,-3049.44091796875
136,-3052.000244140625
137,-3052.7294921875
138,-3052.030029296875
139,-3053.453369140625
140,-3050.58056640625
141,-3050.88330078125
142,-3051.6787109375
143,-3052.571533203125
144,-3054.15380859375
145,-3053.010009765625
146,-3049.986328125
147,-3051.641357421875
148,-3053.528076171875
149,-3051.333740234375
150,-3052.234619140625
151,-3052.327880859375
152,-3053.05078125
