,log_likelihood
1364,-1087.9090576171875
1365,-1111.9691162109375
1366,-1109.4884033203125
1367,-1150.447265625
1368,-1093.5283203125
1369,-1118.261474609375
1370,-1127.8765869140625
1371,-1085.1339111328125
1372,-1074.76806640625
1373,-1120.18212890625
1374,-1078.3995361328125
1375,-1090.39208984375
1376,-1097.68603515625
1377,-1068.339111328125
1378,-1081.5496826171875
1379,-1103.799072265625
1380,-1108.11083984375
1381,-1118.24951171875
1382,-1101.457763671875
1383,-1089.0299072265625
1384,-1083.439208984375
1385,-1073.935302734375
1386,-1132.584228515625
1387,-1152.9326171875
1388,-1095.698486328125
1389,-1154.2740478515625
1390,-1148.283447265625
1391,-1133.162841796875
1392,-1113.8905029296875
1393,-1095.1683349609375
1394,-1096.599609375
1395,-1102.2005615234375
1396,-1111.0775146484375
1397,-1113.091552734375
1398,-1103.0087890625
1399,-1107.80419921875
1400,-1128.6158447265625
1401,-1093.5535888671875
1402,-1143.936767578125
1403,-1078.710205078125
1404,-1114.237060546875
1405,-1068.327880859375
1406,-1094.96630859375
1407,-1101.035888671875
1408,-1105.7139892578125
1409,-1198.4686279296875
1410,-1070.9091796875
1411,-1087.18212890625
1412,-1120.62158203125
1413,-1086.71240234375
1414,-1123.05029296875
1415,-1130.2359619140625
1416,-1109.988037109375
1417,-1113.313720703125
1418,-1110.0391845703125
1419,-1085.8343505859375
1420,-1123.5595703125
1421,-1105.816650390625
1422,-1083.5517578125
1423,-1093.56689453125
1424,-1075.8773193359375
1425,-1069.2578125
1426,-1096.724853515625
1427,-1090.347900390625
1428,-1087.863525390625
1429,-1084.13818359375
1430,-1110.857666015625
1431,-1089.31396484375
1432,-1107.17724609375
1433,-1092.449951171875
1434,-1096.7235107421875
1435,-1099.54541015625
1436,-1101.59423828125
1437,-1090.9300537109375
1438,-1106.60546875
1439,-1104.479736328125
1440,-1164.7398681640625
1441,-1127.2476806640625
1442,-1099.3204345703125
1443,-1085.6273193359375
1444,-1222.4853515625
1445,-1090.0548095703125
1446,-1120.5115966796875
1447,-1068.55908203125
1448,-1114.3890380859375
1449,-1117.35302734375
1450,-1127.343994140625
1451,-1106.11572265625
1452,-1088.243896484375
1453,-1099.3604736328125
1454,-1095.909423828125
1455,-1111.90234375
1456,-1103.21240234375
1457,-1091.5887451171875
1458,-1099.5615234375
1459,-1075.855712890625
1460,-1116.274169921875
1461,-1145.56396484375
1462,-1091.37646484375
1463,-1079.837158203125
1464,-1118.415771484375
1465,-1105.6240234375
1466,-1098.724853515625
1467,-1093.3453369140625
1468,-1104.38818359375
1469,-1069.375732421875
1470,-1139.825439453125
1471,-1123.8489990234375
1472,-1082.704345703125
1473,-1122.889404296875
1474,-1107.108154296875
1475,-1075.6529541015625
1476,-1081.2734375
1477,-1114.151123046875
1478,-1104.835205078125
1479,-1068.88232421875
1480,-1112.994384765625
1481,-1108.568115234375
1482,-1125.095703125
1483,-1106.556396484375
1484,-1116.966552734375
1485,-1107.6654052734375
1486,-1116.642822265625
1487,-1093.27197265625
1488,-1106.8798828125
1489,-1092.7052001953125
