,log_likelihood
126,-2010.807373046875
127,-2012.3104248046875
128,-2012.360595703125
129,-2010.11669921875
130,-2011.9046630859375
131,-2009.2001953125
132,-2009.6805419921875
133,-2008.1748046875
134,-2008.0452880859375
135,-2009.9608154296875
136,-2007.6197509765625
137,-2008.234375
138,-2010.776611328125
139,-2013.0367431640625
140,-2009.4873046875
141,-2011.922607421875
142,-2013.6317138671875
143,-2007.705810546875
144,-2011.6151123046875
145,-2011.288818359375
146,-2009.8529052734375
147,-2009.8861083984375
148,-2013.0235595703125
149,-2012.1038818359375
150,-2010.538330078125
151,-2011.563232421875
152,-2010.58056640625
153,-2008.1424560546875
154,-2011.568359375
155,-2008.3251953125
156,-2010.781982421875
157,-2011.2030029296875
158,-2014.04150390625
159,-2004.808837890625
160,-2011.68115234375
161,-2013.1231689453125
162,-2011.5928955078125
163,-2011.12646484375
164,-2012.2794189453125
165,-2007.30078125
166,-2008.98876953125
167,-2007.9061279296875
168,-2011.025634765625
169,-2011.00048828125
170,-2014.125732421875
171,-2010.4068603515625
172,-2011.8804931640625
173,-2009.4189453125
174,-2019.7701416015625
175,-2009.02490234375
176,-2010.6436767578125
177,-2008.08056640625
178,-2015.9705810546875
179,-2011.1448974609375
180,-2010.39501953125
181,-2008.2796630859375
182,-2009.4058837890625
183,-2012.2119140625
184,-2011.5345458984375
185,-2010.7244873046875
186,-2015.177001953125
187,-2013.68505859375
188,-2011.902587890625
189,-2013.1376953125
190,-2010.171875
191,-2010.379150390625
192,-2011.6337890625
193,-2011.0430908203125
194,-2009.940185546875
195,-2010.19384765625
196,-2016.3109130859375
197,-2009.058349609375
198,-2009.47216796875
199,-2009.96337890625
200,-2010.7528076171875
201,-2012.3106689453125
202,-2009.8695068359375
203,-2010.598876953125
204,-2004.091552734375
205,-2010.119384765625
206,-2014.2978515625
207,-2009.3115234375
208,-2011.8624267578125
209,-2011.23095703125
210,-2006.97998046875
211,-2008.12109375
212,-2007.4273681640625
213,-2016.37353515625
214,-2014.7664794921875
215,-2007.447998046875
216,-2009.771240234375
217,-2014.917236328125
218,-2009.2275390625
219,-2011.5198974609375
220,-2009.1021728515625
221,-2011.30615234375
222,-2010.9246826171875
223,-2013.571044921875
224,-2017.3935546875
225,-2011.291259765625
226,-2009.9365234375
227,-2010.6103515625
228,-2010.3271484375
229,-2011.080810546875
230,-2009.31298828125
231,-2010.4429931640625
232,-2008.27392578125
233,-2010.83935546875
234,-2014.1981201171875
235,-2010.3851318359375
236,-2012.263427734375
237,-2010.052490234375
238,-2011.9527587890625
239,-2017.6905517578125
240,-2012.242919921875
241,-2011.385009765625
242,-2011.6268310546875
243,-2013.2237548828125
244,-2009.1212158203125
245,-2010.536865234375
246,-2009.4093017578125
247,-2010.89111328125
248,-2011.20947265625
249,-2013.650390625
250,-2009.360595703125
251,-2009.597412109375
