,log_likelihood
1616,-2609.829833984375
1617,-2598.086181640625
1618,-2603.222900390625
1619,-2605.40478515625
1620,-2584.775634765625
1621,-2577.25244140625
1622,-2612.8173828125
1623,-2590.22607421875
1624,-2598.607666015625
1625,-2641.024169921875
1626,-2598.135498046875
1627,-2565.421630859375
1628,-2609.115234375
1629,-2599.96484375
1630,-2576.18115234375
1631,-2605.4052734375
1632,-2597.84765625
1633,-2605.8037109375
1634,-2602.58984375
1635,-2599.7275390625
1636,-2591.1953125
1637,-2591.7080078125
1638,-2617.72412109375
1639,-2590.099609375
1640,-2603.556884765625
1641,-2593.701171875
1642,-2625.775634765625
1643,-2608.96533203125
1644,-2603.490234375
1645,-2595.874755859375
1646,-2599.970458984375
1647,-2595.755615234375
1648,-2610.05029296875
1649,-2580.82177734375
1650,-2587.98779296875
1651,-2601.1669921875
1652,-2597.6923828125
1653,-2604.765625
1654,-2621.1806640625
1655,-2599.94140625
1656,-2600.290771484375
1657,-2600.38134765625
1658,-2604.64697265625
1659,-2593.64404296875
1660,-2607.05517578125
1661,-2602.636474609375
1662,-2600.4814453125
1663,-2590.95947265625
1664,-2602.63134765625
1665,-2587.787109375
1666,-2615.59423828125
1667,-2575.28369140625
1668,-2641.1298828125
1669,-2600.015869140625
1670,-2605.23828125
1671,-2602.105224609375
1672,-2603.44873046875
1673,-2610.1171875
1674,-2598.0400390625
1675,-2618.4423828125
1676,-2598.4501953125
1677,-2604.185546875
1678,-2615.56640625
1679,-2603.0166015625
1680,-2588.768798828125
1681,-2607.58056640625
1682,-2605.0556640625
1683,-2599.2099609375
1684,-2597.606201171875
1685,-2601.869140625
1686,-2588.17724609375
1687,-2606.43310546875
1688,-2598.566650390625
1689,-2621.134521484375
1690,-2589.271484375
1691,-2622.461181640625
1692,-2591.09765625
1693,-2615.947265625
1694,-2584.18798828125
1695,-2602.4921875
1696,-2596.19384765625
1697,-2614.365478515625
1698,-2598.2060546875
1699,-2598.981201171875
1700,-2590.5869140625
1701,-2605.88671875
1702,-2589.912109375
1703,-2595.47314453125
1704,-2598.849609375
1705,-2596.63232421875
1706,-2610.126708984375
1707,-2593.4912109375
1708,-2614.94384765625
1709,-2597.18994140625
1710,-2616.458984375
1711,-2569.45458984375
1712,-2616.2626953125
1713,-2611.4599609375
1714,-2607.171630859375
1715,-2588.58544921875
1716,-2621.97021484375
1717,-2593.26123046875
1718,-2603.74462890625
1719,-2592.69580078125
1720,-2597.966796875
1721,-2592.87060546875
1722,-2583.5556640625
1723,-2596.021240234375
1724,-2596.798828125
1725,-2598.26220703125
1726,-2599.7314453125
1727,-2604.89892578125
1728,-2599.913818359375
1729,-2596.061279296875
1730,-2613.42333984375
1731,-2587.199462890625
1732,-2604.88525390625
1733,-2615.90283203125
1734,-2621.22802734375
1735,-2607.347412109375
1736,-2621.6435546875
1737,-2646.24072265625
1738,-2587.200927734375
1739,-2609.08447265625
1740,-2600.021728515625
1741,-2630.656494140625
