,log_likelihood
0,-2274.20751953125
1,-2272.880615234375
2,-2272.046142578125
3,-2276.958740234375
4,-2275.55859375
5,-2279.819580078125
6,-2277.51416015625
7,-2275.8173828125
8,-2278.9248046875
9,-2272.94482421875
10,-2272.996826171875
11,-2272.21533203125
12,-2274.04931640625
13,-2282.59130859375
14,-2271.10400390625
15,-2279.439208984375
16,-2275.93310546875
17,-2279.103515625
18,-2274.164794921875
19,-2272.89013671875
20,-2278.84716796875
21,-2280.880859375
22,-2270.1220703125
23,-2279.13330078125
24,-2278.587890625
25,-2267.60693359375
26,-2277.60986328125
27,-2273.81298828125
28,-2272.5009765625
29,-2272.146728515625
30,-2277.501220703125
31,-2276.056640625
32,-2272.29345703125
33,-2280.97119140625
34,-2276.74462890625
35,-2269.380859375
36,-2282.162109375
37,-2277.6904296875
38,-2273.7470703125
39,-2270.62548828125
40,-2270.82958984375
41,-2276.54541015625
42,-2279.60205078125
43,-2276.4716796875
44,-2284.190673828125
45,-2273.30859375
46,-2272.2197265625
47,-2272.798828125
48,-2278.03857421875
49,-2275.925537109375
50,-2275.169921875
51,-2278.072021484375
52,-2279.582763671875
53,-2275.669189453125
54,-2272.840087890625
55,-2271.316162109375
56,-2278.75146484375
57,-2276.794921875
58,-2280.32958984375
59,-2281.32080078125
60,-2280.35107421875
61,-2280.30322265625
62,-2277.653076171875
63,-2279.160888671875
64,-2282.641357421875
65,-2279.023193359375
66,-2279.77783203125
67,-2280.73291015625
68,-2276.59521484375
69,-2279.783935546875
70,-2279.196533203125
71,-2282.049560546875
72,-2278.232666015625
73,-2276.416748046875
74,-2276.893798828125
75,-2279.01513671875
76,-2280.69287109375
77,-2274.06005859375
78,-2278.332763671875
79,-2278.261962890625
80,-2275.180419921875
81,-2276.38623046875
82,-2274.20556640625
83,-2273.79736328125
84,-2277.3759765625
85,-2271.91455078125
86,-2279.015380859375
87,-2277.9111328125
88,-2272.9140625
89,-2273.217529296875
90,-2278.06494140625
91,-2279.650390625
92,-2278.58056640625
93,-2273.24365234375
94,-2275.44873046875
95,-2274.6826171875
96,-2276.418212890625
97,-2279.13427734375
98,-2284.66357421875
99,-2277.50048828125
100,-2278.724609375
101,-2274.82666015625
102,-2270.4306640625
103,-2277.70263671875
104,-2271.19921875
105,-2276.36328125
106,-2273.513427734375
107,-2277.18896484375
108,-2278.3779296875
109,-2277.28369140625
110,-2275.389892578125
111,-2276.74365234375
112,-2277.89892578125
113,-2275.96240234375
114,-2273.306640625
115,-2278.310546875
116,-2278.76171875
117,-2273.549072265625
118,-2278.57421875
119,-2276.919677734375
120,-2276.3193359375
121,-2274.987548828125
122,-2278.381103515625
123,-2275.3388671875
124,-2277.119140625
125,-2276.16748046875
126,-2276.097900390625
127,-2280.720458984375
128,-2279.8134765625
129,-2276.33447265625
130,-2277.09130859375
131,-2281.94482421875
132,-2278.8486328125
133,-2274.577392578125
134,-2276.45068359375
135,-2279.884765625
136,-2279.51025390625
137,-2276.89013671875
138,-2277.86279296875
139,-2274.201171875
140,-2274.735595703125
141,-2278.660888671875
142,-2277.63525390625
143,-2276.302490234375
144,-2275.605224609375
145,-2278.780517578125
146,-2283.382080078125
147,-2277.90087890625
148,-2280.912109375
149,-2275.99609375
150,-2276.86572265625
151,-2278.79736328125
152,-2283.4609375
153,-2273.79541015625
154,-2278.673095703125
155,-2271.597900390625
156,-2269.9169921875
157,-2272.310546875
158,-2280.2021484375
159,-2283.0029296875
160,-2272.71240234375
161,-2274.263671875
162,-2271.57373046875
163,-2274.84765625
164,-2279.5576171875
165,-2278.44384765625
166,-2278.956298828125
167,-2271.6533203125
168,-2274.35595703125
169,-2280.44091796875
170,-2280.974365234375
171,-2278.3515625
172,-2272.244140625
173,-2279.9599609375
174,-2279.611083984375
175,-2272.5439453125
176,-2278.899658203125
177,-2273.07177734375
178,-2272.71533203125
179,-2274.27392578125
180,-2280.72314453125
181,-2279.547119140625
182,-2278.1357421875
183,-2282.3818359375
184,-2281.2763671875
185,-2278.77294921875
186,-2271.52490234375
187,-2276.58642578125
188,-2277.234375
189,-2281.611328125
190,-2282.142578125
191,-2278.8818359375
192,-2279.07177734375
193,-2279.876953125
194,-2280.39208984375
195,-2276.2744140625
196,-2278.3740234375
197,-2284.20849609375
198,-2279.931884765625
199,-2277.24267578125
200,-2281.656982421875
201,-2280.638671875
202,-2277.9365234375
