,log_likelihood
0,-2274.20556640625
1,-2273.217529296875
2,-2278.332763671875
3,-2278.580810546875
4,-2274.84765625
5,-2278.956298828125
6,-2283.4609375
7,-2274.35595703125
8,-2279.9599609375
9,-2279.547119140625
10,-2278.77294921875
11,-2271.525146484375
12,-2280.39208984375
13,-2277.298828125
14,-2279.071533203125
15,-2278.8818359375
16,-2279.931884765625
17,-2278.55224609375
18,-2276.99853515625
19,-2279.74853515625
20,-2280.765625
21,-2278.22705078125
22,-2278.97021484375
23,-2280.293701171875
24,-2272.23095703125
25,-2273.9130859375
26,-2279.528076171875
27,-2281.81689453125
28,-2275.78857421875
29,-2275.451171875
30,-2279.03564453125
31,-2273.61962890625
32,-2278.859375
33,-2275.89013671875
34,-2274.56591796875
35,-2276.255126953125
36,-2282.4462890625
37,-2278.6396484375
38,-2278.307373046875
39,-2280.66015625
40,-2273.974853515625
41,-2276.347900390625
42,-2277.345458984375
43,-2274.4541015625
44,-2274.961669921875
45,-2279.002197265625
46,-2277.861328125
47,-2280.4619140625
48,-2275.70166015625
49,-2278.35791015625
50,-2279.885986328125
51,-2276.365234375
52,-2277.07763671875
53,-2277.47900390625
54,-2275.86572265625
55,-2278.5380859375
56,-2280.841796875
57,-2280.13818359375
58,-2278.532470703125
59,-2275.93359375
60,-2275.8955078125
61,-2278.3984375
62,-2276.9892578125
63,-2279.42333984375
64,-2279.16162109375
65,-2277.440673828125
66,-2277.14013671875
67,-2275.35693359375
68,-2280.09912109375
69,-2280.484130859375
70,-2275.538818359375
71,-2276.75390625
72,-2275.459716796875
73,-2278.271484375
74,-2277.442626953125
75,-2280.05126953125
76,-2277.3232421875
77,-2274.505126953125
78,-2275.81640625
79,-2275.55029296875
80,-2275.168212890625
81,-2277.936767578125
82,-2278.00048828125
83,-2277.2890625
84,-2277.78955078125
85,-2277.5087890625
86,-2278.87353515625
87,-2284.069580078125
88,-2278.63818359375
89,-2286.2392578125
90,-2279.3759765625
91,-2279.89697265625
92,-2277.4287109375
93,-2278.1142578125
94,-2276.872802734375
95,-2276.61767578125
96,-2276.62939453125
97,-2276.85791015625
98,-2275.021728515625
99,-2275.86865234375
100,-2276.401611328125
101,-2276.0732421875
102,-2274.906982421875
103,-2276.982421875
104,-2279.16357421875
105,-2278.259765625
106,-2277.7255859375
107,-2274.949951171875
108,-2274.838134765625
109,-2276.6376953125
110,-2277.936279296875
111,-2277.88671875
112,-2274.94384765625
113,-2276.6298828125
114,-2276.62548828125
115,-2274.98046875
116,-2276.8935546875
117,-2278.33935546875
118,-2277.46435546875
119,-2275.75439453125
120,-2279.63525390625
121,-2276.52001953125
122,-2277.13134765625
123,-2277.86279296875
124,-2277.896484375
125,-2276.871337890625
126,-2277.877685546875
127,-2277.4072265625
128,-2276.556640625
129,-2280.099853515625
130,-2275.4619140625
131,-2276.07666015625
132,-2275.230224609375
133,-2276.994140625
134,-2278.901611328125
135,-2275.92919921875
136,-2275.758056640625
137,-2280.766845703125
138,-2278.197265625
139,-2277.33740234375
140,-2275.6142578125
141,-2276.55126953125
142,-2278.956298828125
143,-2279.24951171875
144,-2276.515380859375
145,-2278.76171875
146,-2277.25830078125
147,-2273.0576171875
148,-2275.163330078125
149,-2277.89794921875
150,-2275.46337890625
151,-2277.277099609375
152,-2275.8349609375
153,-2277.091552734375
154,-2273.18310546875
155,-2275.18505859375
156,-2276.203857421875
157,-2277.338134765625
158,-2277.540771484375
159,-2280.0166015625
160,-2279.70654296875
161,-2277.7734375
162,-2278.69384765625
163,-2275.416259765625
164,-2272.530029296875
165,-2274.66748046875
166,-2278.33056640625
167,-2275.803466796875
168,-2275.29296875
169,-2276.6171875
170,-2280.38671875
171,-2276.069091796875
172,-2278.292236328125
173,-2277.67041015625
174,-2275.81201171875
175,-2275.56884765625
176,-2275.353515625
177,-2277.327392578125
178,-2275.90234375
179,-2277.005859375
180,-2276.9873046875
181,-2276.13525390625
182,-2276.732421875
183,-2278.74755859375
184,-2280.156982421875
185,-2277.35400390625
186,-2274.7099609375
187,-2274.041259765625
188,-2277.725341796875
189,-2276.9326171875
190,-2276.38818359375
191,-2274.951416015625
192,-2277.3349609375
193,-2276.839599609375
194,-2273.810302734375
195,-2278.60791015625
196,-2277.401123046875
197,-2277.491943359375
198,-2276.57177734375
199,-2277.96044921875
200,-2280.83349609375
201,-2277.816650390625
202,-2276.734375
203,-2277.7734375
204,-2280.05419921875
205,-2277.17041015625
206,-2278.6259765625
207,-2279.277099609375
208,-2279.232177734375
209,-2276.5107421875
210,-2278.3583984375
211,-2278.156982421875
212,-2277.3369140625
213,-2276.051025390625
214,-2277.3515625
215,-2277.28564453125
216,-2275.58154296875
217,-2278.873291015625
218,-2277.383056640625
219,-2281.55419921875
220,-2278.00634765625
221,-2280.9560546875
222,-2280.05712890625
223,-2281.1630859375
224,-2276.71435546875
225,-2277.39892578125
226,-2278.33154296875
227,-2278.689453125
228,-2278.244140625
229,-2275.7939453125
230,-2275.94287109375
231,-2281.37451171875
232,-2279.08154296875
233,-2280.2626953125
234,-2277.074462890625
235,-2279.5048828125
236,-2276.98486328125
237,-2276.659912109375
238,-2280.233154296875
239,-2277.12451171875
240,-2280.130859375
241,-2277.723876953125
242,-2281.2890625
243,-2276.17138671875
244,-2281.91162109375
245,-2278.296875
246,-2275.978759765625
247,-2274.85693359375
248,-2279.7890625
249,-2276.343017578125
250,-2275.331298828125
251,-2276.385009765625
252,-2278.27099609375
253,-2277.411376953125
254,-2277.18310546875
255,-2276.1083984375
256,-2276.11865234375
257,-2276.27978515625
258,-2277.7080078125
259,-2280.63330078125
260,-2277.8212890625
261,-2278.845703125
262,-2276.4140625
263,-2275.647705078125
264,-2276.91796875
265,-2277.53271484375
266,-2277.87451171875
267,-2275.33251953125
268,-2279.743896484375
269,-2276.03515625
270,-2280.12451171875
271,-2277.1669921875
272,-2275.9970703125
273,-2277.89892578125
274,-2276.78466796875
275,-2271.50244140625
276,-2274.393798828125
277,-2276.078125
278,-2278.599853515625
279,-2277.197265625
280,-2276.30712890625
281,-2275.25146484375
282,-2278.0078125
283,-2276.67236328125
284,-2277.6083984375
285,-2275.917236328125
286,-2274.34619140625
287,-2279.965087890625
288,-2278.252685546875
289,-2276.7998046875
290,-2274.525390625
291,-2278.073974609375
292,-2279.505859375
293,-2277.51025390625
294,-2276.807861328125
295,-2272.3310546875
296,-2276.94189453125
297,-2275.275634765625
298,-2274.226318359375
299,-2274.54541015625
300,-2279.038818359375
301,-2277.90625
302,-2277.486083984375
303,-2276.29931640625
304,-2275.92529296875
305,-2279.02001953125
306,-2276.876220703125
307,-2278.6318359375
308,-2276.841552734375
309,-2277.29248046875
310,-2277.45751953125
311,-2278.21142578125
312,-2276.05126953125
313,-2274.87646484375
314,-2278.19921875
315,-2276.43408203125
316,-2278.0009765625
317,-2277.445068359375
318,-2277.53515625
319,-2273.05419921875
320,-2273.93798828125
321,-2276.304443359375
322,-2274.195556640625
323,-2276.19189453125
324,-2276.95751953125
325,-2276.9462890625
326,-2276.322265625
327,-2276.24169921875
328,-2275.3876953125
329,-2277.07763671875
330,-2275.30078125
331,-2276.218994140625
332,-2278.3193359375
333,-2276.23828125
334,-2275.74365234375
335,-2276.0771484375
336,-2274.79736328125
337,-2280.81640625
338,-2277.974609375
339,-2278.21337890625
340,-2273.49853515625
341,-2275.052734375
342,-2275.87744140625
343,-2276.73681640625
344,-2276.05078125
345,-2276.51708984375
346,-2275.93115234375
347,-2276.252197265625
348,-2275.9501953125
349,-2277.99169921875
350,-2276.75
351,-2273.93212890625
352,-2272.9912109375
353,-2276.5732421875
354,-2275.788330078125
355,-2275.2822265625
356,-2275.47216796875
357,-2275.521484375
358,-2274.580810546875
359,-2277.1953125
360,-2276.373046875
361,-2277.032470703125
362,-2275.54443359375
363,-2279.14208984375
364,-2277.87548828125
365,-2276.9794921875
366,-2276.5341796875
367,-2279.49365234375
368,-2277.525390625
369,-2276.59033203125
370,-2276.36865234375
371,-2276.8603515625
372,-2276.18798828125
373,-2275.759765625
374,-2276.7021484375
375,-2278.16455078125
376,-2275.10888671875
377,-2276.213134765625
378,-2276.024658203125
379,-2275.720703125
380,-2276.138916015625
381,-2279.5283203125
382,-2276.71923828125
383,-2278.986328125
384,-2277.9296875
385,-2278.1767578125
386,-2276.165771484375
387,-2278.8408203125
388,-2278.4560546875
389,-2278.187744140625
390,-2277.6943359375
391,-2277.26904296875
392,-2278.18359375
393,-2280.14990234375
394,-2278.335205078125
395,-2276.878173828125
396,-2276.632568359375
397,-2277.634521484375
398,-2279.1318359375
399,-2278.84765625
400,-2278.132080078125
401,-2278.203857421875
402,-2279.9873046875
403,-2278.66357421875
404,-2279.029296875
405,-2281.1181640625
406,-2275.9677734375
407,-2276.78466796875
408,-2277.6357421875
409,-2276.19189453125
410,-2277.36865234375
411,-2272.71484375
412,-2272.461669921875
413,-2276.34814453125
414,-2278.74609375
415,-2278.68212890625
416,-2278.80859375
417,-2276.803466796875
418,-2276.3330078125
419,-2278.077392578125
420,-2278.734375
421,-2276.85546875
422,-2279.82568359375
423,-2277.13134765625
424,-2277.503173828125
425,-2277.99951171875
426,-2277.146484375
427,-2280.504150390625
428,-2275.98779296875
429,-2276.484375
430,-2275.384033203125
431,-2276.36279296875
432,-2276.66259765625
433,-2278.150390625
434,-2277.75830078125
435,-2276.5830078125
436,-2277.302001953125
437,-2277.942138671875
438,-2279.90380859375
439,-2278.071044921875
440,-2277.372802734375
441,-2275.33056640625
442,-2278.269775390625
443,-2278.63623046875
444,-2278.68212890625
445,-2279.632568359375
446,-2278.0205078125
447,-2278.66650390625
448,-2276.95751953125
449,-2277.90087890625
450,-2277.150390625
451,-2276.91650390625
452,-2276.9775390625
453,-2280.39697265625
454,-2278.619140625
455,-2277.85400390625
456,-2281.79541015625
457,-2279.185791015625
458,-2277.615966796875
459,-2277.099365234375
460,-2277.04736328125
461,-2280.922607421875
462,-2276.62841796875
463,-2275.689453125
464,-2277.694091796875
465,-2276.48291015625
466,-2278.4765625
467,-2278.5791015625
468,-2274.917236328125
469,-2277.80078125
470,-2278.060791015625
471,-2280.19970703125
472,-2276.5146484375
473,-2280.60791015625
474,-2276.35400390625
475,-2278.11328125
476,-2278.17529296875
477,-2278.43994140625
478,-2277.2060546875
479,-2276.88720703125
480,-2276.69384765625
481,-2275.584716796875
482,-2276.02587890625
483,-2277.45947265625
484,-2276.6220703125
485,-2277.071044921875
486,-2278.573486328125
487,-2275.486328125
488,-2277.756103515625
489,-2277.79443359375
490,-2277.257568359375
491,-2276.078369140625
492,-2276.8544921875
493,-2276.109375
494,-2278.540283203125
495,-2275.3779296875
496,-2275.063720703125
497,-2277.0810546875
498,-2280.748046875
499,-2275.767578125
500,-2276.84716796875
501,-2275.4912109375
502,-2277.65478515625
503,-2274.8798828125
504,-2277.07861328125
505,-2275.56005859375
506,-2275.712890625
507,-2275.218017578125
508,-2279.4521484375
509,-2279.559326171875
510,-2279.981201171875
511,-2277.4658203125
512,-2277.986572265625
513,-2278.073486328125
514,-2277.686279296875
515,-2278.16552734375
516,-2278.031005859375
517,-2276.3212890625
518,-2276.5029296875
519,-2276.68505859375
520,-2276.9423828125
521,-2278.36474609375
522,-2276.849853515625
523,-2274.603515625
524,-2278.54296875
525,-2273.79443359375
526,-2275.88916015625
527,-2275.68310546875
528,-2276.19384765625
529,-2277.359130859375
530,-2276.70703125
531,-2277.43017578125
532,-2279.43115234375
533,-2275.752685546875
534,-2276.630615234375
535,-2279.21630859375
536,-2276.62255859375
537,-2275.73876953125
538,-2276.71923828125
539,-2277.0625
540,-2276.92431640625
541,-2275.8359375
542,-2274.44677734375
543,-2278.228271484375
544,-2275.13671875
545,-2272.8271484375
546,-2276.1708984375
547,-2273.5791015625
548,-2277.276123046875
549,-2279.00390625
550,-2279.71484375
551,-2278.69873046875
552,-2276.784423828125
553,-2278.32470703125
554,-2277.01123046875
555,-2276.208984375
556,-2274.37939453125
557,-2274.83544921875
558,-2277.79833984375
559,-2278.930908203125
560,-2277.5517578125
561,-2278.715576171875
562,-2278.6796875
563,-2279.814208984375
564,-2278.0205078125
565,-2276.6240234375
566,-2276.828369140625
567,-2276.60400390625
568,-2277.46728515625
569,-2276.292236328125
570,-2274.662109375
571,-2277.217529296875
572,-2276.7080078125
573,-2277.66015625
574,-2277.02734375
575,-2276.407958984375
576,-2278.040771484375
577,-2277.7060546875
578,-2279.0849609375
579,-2277.7861328125
580,-2276.798828125
581,-2277.58740234375
582,-2279.217529296875
583,-2278.642333984375
584,-2278.806640625
585,-2278.98974609375
586,-2278.06201171875
587,-2277.060302734375
588,-2280.08251953125
589,-2277.652587890625
590,-2276.221923828125
591,-2278.654541015625
592,-2279.43017578125
593,-2279.25634765625
594,-2280.41943359375
595,-2277.7353515625
596,-2282.0107421875
597,-2278.384033203125
598,-2275.31591796875
599,-2277.6064453125
600,-2278.404052734375
601,-2278.7333984375
602,-2277.605712890625
603,-2276.49609375
604,-2275.7470703125
605,-2277.16064453125
606,-2275.615966796875
607,-2276.161865234375
608,-2275.2783203125
609,-2276.4169921875
610,-2275.16162109375
611,-2276.840087890625
612,-2281.19189453125
613,-2274.65673828125
614,-2278.51904296875
615,-2275.5400390625
616,-2278.2822265625
617,-2277.165283203125
618,-2280.13720703125
619,-2277.22607421875
620,-2276.03564453125
621,-2280.264404296875
622,-2276.73046875
623,-2275.28662109375
624,-2276.52978515625
625,-2275.00439453125
626,-2275.171875
627,-2276.8642578125
628,-2277.046875
629,-2274.08837890625
630,-2276.322998046875
631,-2276.08740234375
632,-2276.21630859375
633,-2275.908203125
634,-2275.53955078125
635,-2276.54541015625
636,-2277.314208984375
637,-2276.6884765625
638,-2275.59814453125
639,-2277.262451171875
640,-2276.5234375
641,-2279.07666015625
642,-2276.64990234375
643,-2276.494140625
644,-2275.0517578125
645,-2276.235107421875
646,-2275.6171875
647,-2276.31884765625
648,-2274.65966796875
649,-2274.6533203125
650,-2275.9013671875
651,-2274.027099609375
652,-2277.00048828125
653,-2275.50439453125
654,-2274.37744140625
655,-2273.914794921875
656,-2271.921630859375
657,-2274.10107421875
658,-2276.09521484375
659,-2275.95751953125
660,-2274.848876953125
661,-2275.273681640625
662,-2274.59765625
663,-2278.3369140625
664,-2280.004638671875
665,-2277.10009765625
666,-2275.14599609375
667,-2276.94384765625
668,-2275.360595703125
669,-2278.7734375
670,-2278.276123046875
671,-2278.105712890625
672,-2278.0703125
673,-2276.8291015625
674,-2279.62744140625
675,-2277.7861328125
676,-2276.399169921875
677,-2277.44287109375
678,-2276.075927734375
679,-2277.60205078125
680,-2276.105224609375
681,-2275.3330078125
682,-2276.082763671875
683,-2277.560791015625
684,-2278.551513671875
685,-2278.40771484375
686,-2279.176025390625
687,-2281.32861328125
688,-2279.11962890625
689,-2273.90087890625
690,-2276.65673828125
691,-2275.51025390625
692,-2276.033203125
693,-2278.93115234375
694,-2275.83544921875
695,-2278.48583984375
696,-2285.586181640625
697,-2278.55078125
698,-2277.378173828125
699,-2277.0810546875
700,-2280.319091796875
701,-2278.232666015625
702,-2278.484375
703,-2278.207763671875
704,-2279.42724609375
705,-2279.67236328125
706,-2277.4521484375
707,-2278.59326171875
708,-2278.761962890625
709,-2276.40673828125
710,-2277.671142578125
711,-2276.863525390625
712,-2279.52587890625
713,-2281.2841796875
714,-2278.6396484375
715,-2282.150146484375
716,-2280.98486328125
717,-2279.214111328125
718,-2278.94482421875
719,-2278.7255859375
720,-2280.019775390625
721,-2280.83935546875
722,-2282.173583984375
723,-2279.55224609375
724,-2280.3466796875
725,-2280.27587890625
726,-2280.796875
727,-2276.46875
728,-2278.37109375
729,-2278.3349609375
730,-2278.110107421875
731,-2278.60498046875
732,-2277.00341796875
733,-2279.05224609375
734,-2277.8037109375
735,-2275.6396484375
736,-2280.955322265625
737,-2276.95849609375
738,-2278.4365234375
739,-2284.597900390625
740,-2281.513671875
741,-2274.966064453125
742,-2278.868408203125
743,-2281.21875
744,-2278.0595703125
745,-2278.08984375
746,-2279.47998046875
747,-2277.93701171875
748,-2282.18701171875
749,-2277.23779296875
750,-2278.82861328125
751,-2280.72412109375
752,-2278.42236328125
753,-2279.63916015625
754,-2279.683349609375
755,-2279.053466796875
756,-2275.510009765625
757,-2277.4765625
758,-2277.345947265625
759,-2276.139404296875
760,-2276.759765625
761,-2275.80029296875
762,-2278.513916015625
763,-2278.88427734375
764,-2275.443359375
765,-2277.84033203125
766,-2279.525634765625
767,-2276.369873046875
768,-2277.6376953125
769,-2275.23583984375
770,-2274.75439453125
771,-2276.65625
772,-2277.32275390625
773,-2278.044189453125
774,-2276.9306640625
775,-2279.47412109375
776,-2275.74658203125
777,-2275.14013671875
778,-2275.82861328125
779,-2274.24365234375
780,-2278.003662109375
781,-2276.87744140625
782,-2277.11083984375
783,-2276.103759765625
784,-2279.81494140625
785,-2277.076416015625
786,-2276.582763671875
787,-2276.740234375
788,-2276.314208984375
789,-2276.0693359375
790,-2275.2626953125
791,-2277.861328125
792,-2275.7275390625
793,-2276.10009765625
794,-2280.22119140625
795,-2276.65625
796,-2279.294677734375
797,-2278.328369140625
798,-2277.58447265625
799,-2279.62158203125
800,-2276.85986328125
801,-2278.76806640625
802,-2279.38330078125
803,-2277.90966796875
804,-2277.03271484375
805,-2278.9375
806,-2276.8701171875
807,-2278.37939453125
808,-2278.254150390625
809,-2277.260009765625
810,-2280.53662109375
811,-2278.20556640625
812,-2276.2998046875
813,-2276.65625
814,-2280.809814453125
815,-2276.8310546875
816,-2276.05615234375
817,-2276.08642578125
