,log_likelihood
0,-2889.7890625
1,-2886.3515625
2,-2891.093994140625
3,-2888.06005859375
4,-2890.328125
5,-2888.8271484375
6,-2887.455810546875
7,-2890.88037109375
8,-2889.09228515625
9,-2884.0400390625
10,-2886.71630859375
11,-2887.4462890625
12,-2887.9326171875
13,-2888.576171875
14,-2889.788818359375
15,-2890.3125
16,-2889.111328125
17,-2888.63037109375
18,-2890.52880859375
19,-2887.222412109375
20,-2887.3125
21,-2887.3330078125
22,-2886.9267578125
23,-2888.47314453125
24,-2887.89208984375
25,-2888.72900390625
26,-2888.78369140625
27,-2888.885498046875
28,-2887.55224609375
29,-2887.888671875
30,-2886.63427734375
31,-2887.9267578125
32,-2888.462890625
33,-2890.682861328125
34,-2890.87451171875
35,-2889.42626953125
36,-2886.61962890625
37,-2887.13037109375
38,-2886.457275390625
39,-2889.240234375
40,-2890.57421875
41,-2888.360595703125
42,-2890.7607421875
43,-2889.534423828125
44,-2887.44482421875
45,-2887.24169921875
46,-2888.381103515625
47,-2888.98828125
48,-2886.46875
49,-2888.094482421875
50,-2888.9013671875
51,-2886.72265625
52,-2888.56591796875
53,-2888.17578125
54,-2891.400390625
55,-2889.099609375
56,-2889.38134765625
57,-2891.958984375
58,-2886.826171875
59,-2887.710693359375
60,-2889.3359375
61,-2887.977783203125
62,-2889.4462890625
63,-2890.7177734375
64,-2888.654052734375
65,-2888.572509765625
66,-2884.65234375
67,-2889.257568359375
68,-2888.4697265625
69,-2886.73046875
70,-2890.60791015625
71,-2890.248046875
72,-2888.8798828125
73,-2891.50537109375
74,-2887.5654296875
75,-2888.46630859375
76,-2887.98681640625
77,-2889.99609375
78,-2885.600341796875
79,-2888.904296875
80,-2888.03857421875
81,-2888.5546875
82,-2889.571533203125
83,-2891.504150390625
84,-2887.35986328125
85,-2889.03955078125
86,-2887.0439453125
87,-2887.56884765625
88,-2885.78076171875
89,-2890.50390625
90,-2889.195068359375
91,-2887.86376953125
92,-2887.097412109375
93,-2888.596923828125
94,-2888.027587890625
95,-2885.7255859375
96,-2886.41162109375
97,-2888.281982421875
98,-2887.24951171875
99,-2886.56689453125
100,-2887.2802734375
101,-2887.85595703125
102,-2887.7265625
103,-2887.91552734375
104,-2889.3037109375
105,-2888.8017578125
106,-2886.99169921875
107,-2890.494140625
108,-2888.79931640625
109,-2887.40625
110,-2888.53955078125
111,-2887.332275390625
