,log_likelihood
0,-477.7982177734375
1,-472.9357604980469
2,-477.1075439453125
3,-477.9616394042969
4,-475.01885986328125
5,-476.25628662109375
6,-479.5251159667969
7,-476.5628662109375
8,-472.56329345703125
9,-475.21759033203125
10,-477.3932800292969
11,-474.6584777832031
12,-475.4541931152344
13,-476.0982360839844
14,-476.1996765136719
15,-474.788818359375
16,-476.6918029785156
17,-474.9322509765625
18,-476.0850830078125
19,-475.95306396484375
20,-474.41827392578125
21,-473.7867431640625
22,-476.1542053222656
23,-474.1562805175781
24,-475.3094787597656
25,-474.88250732421875
26,-472.6361999511719
27,-472.1676940917969
28,-472.66851806640625
29,-474.35986328125
30,-476.5684509277344
31,-475.5164489746094
32,-474.1171569824219
33,-473.31951904296875
34,-473.7379150390625
35,-474.03424072265625
36,-473.8564453125
37,-473.86114501953125
38,-471.952880859375
39,-472.25958251953125
40,-473.55889892578125
41,-472.5538024902344
42,-475.5024108886719
43,-475.1318359375
44,-483.036865234375
45,-471.91790771484375
46,-477.9451599121094
47,-471.76007080078125
48,-473.98828125
49,-475.0816650390625
50,-471.6412353515625
51,-472.7221374511719
52,-472.3017272949219
53,-471.5423278808594
54,-474.10150146484375
55,-482.99847412109375
56,-472.5532531738281
57,-473.11328125
58,-472.423828125
59,-472.16436767578125
60,-473.7273864746094
61,-470.1476745605469
62,-470.6701354980469
63,-474.5577392578125
64,-472.51544189453125
65,-474.26416015625
66,-476.3326110839844
67,-475.0159912109375
68,-473.21978759765625
69,-472.4391174316406
70,-471.87078857421875
71,-473.30316162109375
72,-472.34246826171875
73,-471.16143798828125
74,-472.42242431640625
75,-473.5387878417969
76,-473.9994812011719
77,-474.9114990234375
78,-477.3212890625
79,-473.648193359375
80,-476.1799621582031
81,-476.55194091796875
82,-473.37713623046875
83,-479.85589599609375
84,-473.93621826171875
85,-475.688720703125
86,-472.44976806640625
87,-474.4055480957031
88,-472.51904296875
89,-472.28466796875
90,-479.1231384277344
91,-473.979248046875
92,-476.0816650390625
93,-475.1116943359375
94,-477.69989013671875
95,-470.7743225097656
96,-469.6446533203125
97,-472.98046875
98,-472.91778564453125
99,-475.2642822265625
100,-476.8305969238281
