,log_likelihood
816,-2803.05712890625
817,-2806.35791015625
818,-2795.12255859375
819,-2786.8525390625
820,-2820.7705078125
821,-2800.888916015625
822,-2821.33203125
823,-2802.30908203125
824,-2800.787109375
825,-2891.139404296875
826,-2800.37841796875
827,-2802.4853515625
828,-2809.060546875
829,-2801.384765625
830,-2795.659912109375
831,-2799.46435546875
832,-2798.249755859375
833,-2801.16552734375
834,-2803.62646484375
835,-2802.59130859375
836,-2808.349609375
837,-2796.45947265625
838,-2797.117919921875
839,-2800.678955078125
840,-2805.589599609375
841,-2807.9404296875
842,-2810.66748046875
843,-2815.69091796875
844,-2810.56103515625
845,-2802.37158203125
846,-2796.845703125
847,-2812.431396484375
848,-2797.830078125
849,-2795.62744140625
850,-2808.974609375
851,-2795.4599609375
852,-2798.66845703125
853,-2796.771728515625
854,-2799.718017578125
855,-2804.675048828125
856,-2797.5751953125
857,-2810.79736328125
858,-2785.23974609375
859,-2800.83056640625
860,-2809.822021484375
861,-2797.02392578125
862,-2799.49462890625
863,-2805.8662109375
864,-2803.5576171875
865,-2811.24609375
866,-2814.13818359375
867,-2817.280517578125
868,-2834.62255859375
869,-2794.6611328125
870,-2802.540771484375
871,-2804.83349609375
872,-2805.26953125
873,-2798.68701171875
874,-2798.3271484375
875,-2807.14697265625
876,-2801.645263671875
877,-2803.693359375
878,-2809.070068359375
879,-2799.432861328125
880,-2809.47705078125
881,-2803.712890625
882,-2811.058837890625
883,-2810.641357421875
884,-2799.595703125
885,-2793.650634765625
886,-2794.166259765625
887,-2810.172607421875
888,-2796.8701171875
889,-2804.161865234375
890,-2797.0927734375
891,-2809.7578125
892,-2810.1767578125
893,-2808.1962890625
894,-2805.1318359375
895,-2799.7509765625
896,-2807.35888671875
897,-2796.439453125
898,-2804.734375
899,-2792.34326171875
900,-2800.40673828125
901,-2814.56103515625
902,-2798.7333984375
903,-2808.33349609375
904,-2821.014404296875
905,-2796.9814453125
906,-2795.89501953125
907,-2791.729736328125
908,-2797.81396484375
909,-2806.871826171875
910,-2804.482421875
911,-2794.040771484375
912,-2797.910888671875
913,-2829.788818359375
914,-2800.7890625
915,-2806.236328125
916,-2799.484375
917,-2798.656982421875
918,-2800.314453125
919,-2797.60693359375
920,-2796.2255859375
921,-2812.732666015625
922,-2798.870849609375
923,-2799.92822265625
924,-2799.26123046875
925,-2811.7451171875
926,-2804.072998046875
927,-2799.93798828125
928,-2804.51904296875
929,-2809.47216796875
930,-2796.021484375
931,-2800.717529296875
932,-2798.111328125
933,-2819.06591796875
934,-2799.228515625
935,-2796.81884765625
936,-2808.8291015625
937,-2796.251953125
938,-2836.559814453125
939,-2797.5888671875
940,-2800.8056640625
941,-2799.360107421875
