,log_likelihood
252,-2232.226318359375
253,-2227.720458984375
254,-2230.778564453125
255,-2230.318603515625
256,-2226.5498046875
257,-2228.267333984375
258,-2230.646484375
259,-2229.0498046875
260,-2229.69677734375
261,-2233.08349609375
262,-2228.248779296875
263,-2230.111328125
264,-2228.17529296875
265,-2227.865234375
266,-2229.67041015625
267,-2231.10107421875
268,-2229.65234375
269,-2228.81298828125
270,-2228.03271484375
271,-2227.576416015625
272,-2228.86376953125
273,-2229.237548828125
274,-2234.66259765625
275,-2229.40869140625
276,-2227.085693359375
277,-2227.99609375
278,-2230.59912109375
279,-2228.716064453125
280,-2229.951171875
281,-2229.211181640625
282,-2229.69384765625
283,-2229.16015625
284,-2226.37353515625
285,-2229.10498046875
286,-2229.80615234375
287,-2226.483642578125
288,-2229.2666015625
289,-2228.25244140625
290,-2227.655029296875
291,-2228.105224609375
292,-2232.869140625
293,-2228.61279296875
294,-2229.913818359375
295,-2229.512939453125
296,-2228.81982421875
297,-2229.10693359375
298,-2228.6591796875
299,-2227.790771484375
300,-2229.490234375
301,-2228.68359375
302,-2231.22802734375
303,-2228.9228515625
304,-2231.115478515625
305,-2228.130615234375
306,-2227.597900390625
307,-2229.047119140625
308,-2228.47705078125
309,-2227.6591796875
310,-2231.368896484375
311,-2229.96875
312,-2229.76123046875
313,-2228.8291015625
314,-2230.548095703125
315,-2227.5615234375
316,-2230.694580078125
317,-2229.400390625
318,-2228.47021484375
319,-2233.181884765625
320,-2229.35009765625
321,-2227.3779296875
322,-2228.7265625
323,-2225.9794921875
324,-2229.713623046875
325,-2226.29443359375
326,-2228.119384765625
327,-2226.920654296875
328,-2229.5
329,-2228.3994140625
330,-2227.625244140625
331,-2227.95361328125
332,-2233.855224609375
333,-2227.32568359375
334,-2228.653076171875
335,-2230.092041015625
336,-2227.119873046875
337,-2228.50244140625
338,-2227.858154296875
339,-2227.14111328125
340,-2229.043701171875
341,-2229.51953125
342,-2228.303466796875
343,-2229.7236328125
344,-2228.7197265625
345,-2229.8173828125
346,-2232.33837890625
347,-2228.5693359375
348,-2229.60986328125
349,-2228.57421875
350,-2227.9052734375
351,-2228.01611328125
352,-2227.715576171875
353,-2226.7265625
354,-2229.01806640625
355,-2229.03662109375
356,-2230.833251953125
357,-2228.7783203125
358,-2227.863037109375
359,-2228.66259765625
360,-2230.358642578125
361,-2226.78515625
362,-2227.095703125
363,-2227.01220703125
364,-2227.580322265625
365,-2229.406005859375
366,-2227.64892578125
367,-2229.590576171875
368,-2228.33447265625
369,-2228.213623046875
370,-2232.6162109375
371,-2229.316650390625
372,-2225.00244140625
373,-2229.91015625
374,-2228.77294921875
375,-2227.3974609375
376,-2230.208984375
377,-2229.21484375
