,log_likelihood
1112,-2827.0869140625
1113,-2821.04541015625
1114,-2806.04541015625
1115,-2815.7734375
1116,-2829.7119140625
1117,-2815.471923828125
1118,-2834.131103515625
1119,-2820.3525390625
1120,-2823.878173828125
1121,-2811.39404296875
1122,-2815.99267578125
1123,-2818.66259765625
1124,-2816.97021484375
1125,-2822.15283203125
1126,-2818.149658203125
1127,-2812.73388671875
1128,-2821.429931640625
1129,-2848.90380859375
1130,-2820.02685546875
1131,-2821.236328125
1132,-2820.941162109375
1133,-2816.598388671875
1134,-2832.67822265625
1135,-2824.8154296875
1136,-2824.1416015625
1137,-2822.8466796875
1138,-2837.732421875
1139,-2834.0703125
1140,-2805.288330078125
1141,-2817.811767578125
1142,-2819.904296875
1143,-2810.65380859375
1144,-2848.34912109375
1145,-2822.08154296875
1146,-2815.345703125
1147,-2830.345458984375
1148,-2822.35546875
1149,-2813.8056640625
1150,-2827.5009765625
1151,-2826.927734375
1152,-2829.31298828125
1153,-2817.19384765625
1154,-2834.25927734375
1155,-2825.380859375
1156,-2844.54150390625
1157,-2807.59814453125
1158,-2813.51708984375
1159,-2814.19873046875
1160,-2824.3837890625
1161,-2827.62939453125
1162,-2827.39208984375
1163,-2816.611083984375
1164,-2825.37060546875
1165,-2818.247314453125
1166,-2809.0009765625
1167,-2820.766845703125
1168,-2820.223876953125
1169,-2824.904296875
1170,-2822.08056640625
1171,-2817.173828125
1172,-2818.9169921875
1173,-2808.233642578125
1174,-2817.919921875
1175,-2812.961669921875
1176,-2815.719482421875
1177,-2819.14892578125
1178,-2828.83740234375
1179,-2811.396484375
1180,-2811.94921875
1181,-2818.14501953125
1182,-2814.301513671875
1183,-2811.831787109375
1184,-2823.7451171875
1185,-2822.2294921875
1186,-2809.30517578125
1187,-2820.17626953125
1188,-2826.3740234375
1189,-2826.3935546875
1190,-2826.887939453125
1191,-2810.8369140625
1192,-2832.078125
1193,-2813.24072265625
1194,-2825.249755859375
1195,-2814.525634765625
1196,-2845.7041015625
1197,-2822.60595703125
1198,-2814.26025390625
1199,-2818.811767578125
1200,-2826.00537109375
1201,-2821.917724609375
1202,-2817.740966796875
1203,-2819.06396484375
1204,-2821.03125
1205,-2815.4140625
1206,-2814.58544921875
1207,-2827.2119140625
1208,-2825.38623046875
1209,-2826.761962890625
1210,-2817.55126953125
1211,-2812.714599609375
1212,-2839.69873046875
1213,-2814.226318359375
1214,-2814.02734375
1215,-2807.361083984375
1216,-2815.07275390625
1217,-2823.40283203125
1218,-2814.869140625
1219,-2821.818359375
1220,-2820.80859375
1221,-2820.12890625
1222,-2826.960205078125
1223,-2809.415283203125
1224,-2813.97021484375
1225,-2823.3583984375
1226,-2816.093994140625
1227,-2819.27001953125
1228,-2817.12451171875
1229,-2820.013671875
1230,-2820.446044921875
1231,-2840.66650390625
1232,-2830.3671875
1233,-2828.653564453125
1234,-2828.9443359375
1235,-2835.232177734375
1236,-2813.170654296875
1237,-2826.17919921875
