,log_likelihood
1490,-1171.240234375
1491,-1169.365478515625
1492,-1169.598388671875
1493,-1167.21435546875
1494,-1166.6695556640625
1495,-1167.1785888671875
1496,-1166.5020751953125
1497,-1165.391845703125
1498,-1167.008056640625
1499,-1164.848876953125
1500,-1165.2569580078125
1501,-1170.2275390625
1502,-1167.7470703125
1503,-1169.32275390625
1504,-1167.0589599609375
1505,-1167.7637939453125
1506,-1167.39990234375
1507,-1168.297119140625
1508,-1167.597900390625
1509,-1169.0804443359375
1510,-1165.05322265625
1511,-1165.1802978515625
1512,-1167.888671875
1513,-1167.781494140625
1514,-1168.95458984375
1515,-1162.18115234375
1516,-1167.196533203125
1517,-1166.4713134765625
1518,-1166.552490234375
1519,-1170.7508544921875
1520,-1169.095947265625
1521,-1162.9078369140625
1522,-1167.852783203125
1523,-1166.7652587890625
1524,-1168.37060546875
1525,-1165.163330078125
1526,-1169.5084228515625
1527,-1170.0850830078125
1528,-1165.093505859375
1529,-1168.8887939453125
1530,-1171.115234375
1531,-1165.83642578125
1532,-1168.8797607421875
1533,-1167.5625
1534,-1165.724853515625
1535,-1169.428466796875
1536,-1168.3470458984375
1537,-1166.708984375
1538,-1165.922607421875
1539,-1165.672119140625
1540,-1166.1373291015625
1541,-1167.138671875
1542,-1166.502685546875
1543,-1166.535400390625
1544,-1168.2420654296875
1545,-1166.983154296875
1546,-1171.955322265625
1547,-1166.949462890625
1548,-1164.94873046875
1549,-1166.451416015625
1550,-1165.680908203125
1551,-1168.491943359375
1552,-1168.115966796875
1553,-1165.486083984375
1554,-1164.39013671875
1555,-1167.1533203125
1556,-1170.9364013671875
1557,-1170.2362060546875
1558,-1165.272705078125
1559,-1164.770751953125
1560,-1166.909423828125
1561,-1166.062255859375
1562,-1163.886962890625
1563,-1169.4510498046875
1564,-1167.8341064453125
1565,-1170.108642578125
1566,-1166.444091796875
1567,-1166.619140625
1568,-1169.134521484375
1569,-1165.89697265625
1570,-1169.4986572265625
1571,-1164.76025390625
1572,-1168.9918212890625
1573,-1166.845703125
1574,-1168.9451904296875
1575,-1166.040771484375
1576,-1169.237060546875
1577,-1167.098876953125
1578,-1170.083251953125
1579,-1168.0277099609375
1580,-1167.7618408203125
1581,-1168.947509765625
1582,-1168.190673828125
1583,-1165.739013671875
1584,-1168.60791015625
1585,-1166.288330078125
1586,-1170.4234619140625
1587,-1168.5498046875
1588,-1169.124267578125
1589,-1166.574951171875
1590,-1164.274658203125
1591,-1167.655029296875
1592,-1167.6346435546875
1593,-1167.2017822265625
1594,-1166.784912109375
1595,-1169.486572265625
1596,-1169.4925537109375
1597,-1167.2564697265625
1598,-1168.008056640625
1599,-1166.292724609375
1600,-1164.99951171875
1601,-1166.723388671875
1602,-1167.2530517578125
1603,-1166.0087890625
1604,-1167.88525390625
1605,-1167.4700927734375
1606,-1167.0517578125
1607,-1166.058349609375
1608,-1167.5576171875
1609,-1168.9981689453125
1610,-1164.9300537109375
1611,-1166.6160888671875
1612,-1168.8258056640625
1613,-1167.913818359375
1614,-1170.017333984375
1615,-1159.7867431640625
