,log_likelihood
564,-341.28289794921875
565,-343.00738525390625
566,-344.118896484375
567,-345.38238525390625
568,-342.7008056640625
569,-343.4830322265625
570,-345.89044189453125
571,-341.75146484375
572,-341.7431335449219
573,-343.8744812011719
574,-343.206787109375
575,-342.53997802734375
576,-340.76678466796875
577,-342.7272033691406
578,-342.86688232421875
579,-344.518310546875
580,-342.0196533203125
581,-341.2995300292969
582,-343.61962890625
583,-342.78570556640625
584,-342.9250793457031
585,-344.64324951171875
586,-346.77569580078125
587,-342.7347412109375
588,-345.363525390625
589,-345.42889404296875
590,-342.44610595703125
591,-345.212890625
592,-344.5855712890625
593,-345.8155517578125
594,-342.279052734375
595,-343.7105407714844
596,-341.9556884765625
597,-342.5684814453125
598,-346.31524658203125
599,-344.00982666015625
600,-342.7257080078125
601,-342.91448974609375
602,-342.13519287109375
603,-340.06622314453125
604,-342.865966796875
605,-343.52880859375
606,-345.77703857421875
607,-343.7748107910156
608,-343.5006103515625
609,-343.0982666015625
610,-343.8362731933594
611,-341.68292236328125
612,-343.16375732421875
613,-343.1225891113281
614,-345.4566955566406
615,-342.82586669921875
616,-341.383056640625
617,-343.13690185546875
618,-344.14129638671875
619,-342.2185363769531
620,-343.15380859375
621,-344.29119873046875
622,-343.0083312988281
623,-341.68359375
624,-344.79345703125
625,-344.4891357421875
626,-341.68719482421875
627,-345.1277770996094
628,-342.3243408203125
629,-341.80078125
630,-345.4240417480469
631,-342.15765380859375
632,-343.82794189453125
633,-344.3733825683594
634,-343.0036926269531
635,-341.9530334472656
636,-344.9770202636719
637,-342.0745849609375
638,-342.61541748046875
639,-343.7843933105469
640,-344.66607666015625
641,-344.0572509765625
642,-341.54327392578125
643,-343.373779296875
644,-343.1719665527344
645,-344.1939697265625
646,-342.5257263183594
647,-344.38134765625
648,-343.32861328125
649,-342.7712707519531
650,-344.15264892578125
651,-341.722900390625
652,-346.8603820800781
653,-341.6802978515625
654,-345.29248046875
655,-345.181640625
656,-344.26434326171875
657,-344.21820068359375
658,-345.900146484375
659,-347.8081970214844
660,-342.7649841308594
661,-342.093994140625
662,-342.9656982421875
663,-341.9754943847656
664,-345.3352355957031
665,-343.0575256347656
666,-344.36468505859375
667,-345.7083740234375
668,-341.72076416015625
669,-342.8934326171875
670,-341.1036071777344
671,-342.36724853515625
672,-342.77313232421875
673,-342.8583679199219
674,-346.3876953125
675,-343.50054931640625
676,-344.4862060546875
677,-345.6046142578125
678,-346.47296142578125
679,-344.33233642578125
680,-344.73541259765625
681,-339.092041015625
682,-342.1168518066406
683,-344.16357421875
684,-345.8839416503906
685,-343.7613525390625
686,-344.98675537109375
687,-345.00042724609375
688,-345.1534423828125
689,-343.45758056640625
