,log_likelihood
0,-3431.767578125
1,-3429.318115234375
2,-3430.189453125
3,-3428.717041015625
4,-3432.927978515625
5,-3429.43896484375
6,-3435.518798828125
7,-3428.32666015625
8,-3433.2255859375
9,-3431.22021484375
10,-3427.813232421875
11,-3434.7548828125
12,-3428.6005859375
13,-3432.614013671875
14,-3431.4306640625
15,-3435.3505859375
16,-3427.600341796875
17,-3428.10107421875
18,-3428.9111328125
19,-3431.52783203125
20,-3435.1943359375
21,-3429.7373046875
22,-3430.25341796875
23,-3430.09521484375
24,-3429.80078125
25,-3431.35107421875
26,-3430.06201171875
27,-3428.6640625
28,-3430.35302734375
29,-3431.7314453125
30,-3433.62646484375
31,-3430.3671875
32,-3432.4423828125
33,-3431.96923828125
34,-3430.4501953125
35,-3429.49072265625
36,-3428.754638671875
37,-3428.876953125
38,-3422.7919921875
39,-3429.655517578125
40,-3426.12451171875
41,-3428.290771484375
42,-3428.063720703125
43,-3427.001708984375
44,-3426.407958984375
45,-3429.11279296875
46,-3430.85986328125
47,-3427.50341796875
48,-3426.41357421875
49,-3425.669189453125
50,-3425.3974609375
51,-3426.8330078125
52,-3429.41845703125
53,-3429.645263671875
54,-3426.0400390625
55,-3424.6904296875
56,-3428.359375
57,-3428.030517578125
58,-3428.17236328125
59,-3430.7060546875
60,-3431.1689453125
61,-3425.9990234375
62,-3427.837890625
63,-3426.239990234375
64,-3427.288818359375
65,-3430.038330078125
66,-3427.67626953125
67,-3428.123291015625
68,-3431.39794921875
69,-3428.656005859375
70,-3427.849609375
71,-3428.3583984375
72,-3428.0703125
73,-3426.85009765625
74,-3426.87841796875
75,-3432.488525390625
76,-3426.435546875
77,-3431.838134765625
78,-3426.26953125
79,-3426.0478515625
80,-3431.913818359375
81,-3425.375732421875
82,-3424.28515625
83,-3430.263671875
84,-3427.735595703125
85,-3432.24560546875
86,-3424.6484375
87,-3429.80810546875
88,-3424.439697265625
89,-3427.114990234375
90,-3426.8447265625
91,-3425.05322265625
92,-3426.1796875
93,-3432.32568359375
94,-3429.61474609375
95,-3427.48876953125
96,-3428.25146484375
97,-3425.921142578125
98,-3434.460693359375
99,-3429.3427734375
100,-3430.40625
101,-3428.36328125
102,-3429.414306640625
103,-3429.88037109375
104,-3428.8896484375
105,-3427.135986328125
106,-3428.83935546875
107,-3427.232177734375
108,-3428.9580078125
109,-3429.901611328125
110,-3426.63671875
111,-3428.32421875
112,-3427.734375
113,-3432.15771484375
114,-3426.53857421875
115,-3428.92529296875
116,-3428.02197265625
117,-3428.0693359375
118,-3429.60546875
119,-3426.607666015625
120,-3430.130859375
121,-3429.7421875
122,-3430.17431640625
123,-3429.590576171875
124,-3429.429443359375
125,-3429.8115234375
126,-3428.411376953125
127,-3432.68310546875
128,-3426.260498046875
129,-3427.965576171875
130,-3426.8974609375
131,-3430.519287109375
132,-3425.6865234375
133,-3428.825439453125
134,-3430.4189453125
135,-3424.798583984375
136,-3425.70458984375
137,-3428.58203125
138,-3424.419921875
139,-3428.064453125
140,-3429.072509765625
141,-3427.589599609375
142,-3429.982421875
143,-3430.74658203125
144,-3424.740966796875
145,-3427.54638671875
146,-3430.338134765625
147,-3429.4501953125
148,-3426.45263671875
149,-3428.594970703125
150,-3428.447265625
151,-3425.19482421875
152,-3428.59765625
153,-3426.85888671875
154,-3427.50390625
155,-3426.310791015625
156,-3427.79248046875
157,-3426.32421875
158,-3426.150634765625
159,-3425.182373046875
160,-3426.7138671875
161,-3430.576904296875
162,-3426.37451171875
163,-3430.573974609375
164,-3427.05908203125
165,-3425.2236328125
166,-3427.109375
167,-3427.181396484375
168,-3425.8271484375
169,-3427.479248046875
170,-3428.544677734375
171,-3429.314697265625
172,-3432.947265625
173,-3428.2998046875
174,-3428.554443359375
175,-3430.78955078125
176,-3428.716064453125
177,-3429.0205078125
178,-3431.53564453125
179,-3428.48046875
180,-3427.450927734375
181,-3429.12353515625
182,-3431.126708984375
183,-3430.27783203125
184,-3431.270751953125
185,-3429.466796875
186,-3432.390625
187,-3429.8017578125
188,-3427.751953125
189,-3428.1240234375
190,-3424.76416015625
191,-3430.55322265625
192,-3429.04833984375
193,-3428.2333984375
194,-3427.22265625
195,-3431.203125
196,-3427.3603515625
197,-3430.10498046875
198,-3425.93310546875
199,-3429.5419921875
200,-3426.816650390625
201,-3428.408447265625
202,-3427.22802734375
203,-3429.393798828125
204,-3429.372802734375
205,-3428.31005859375
206,-3429.3017578125
207,-3426.557861328125
208,-3428.50048828125
209,-3430.966552734375
210,-3427.076416015625
211,-3426.712158203125
212,-3429.192626953125
213,-3426.4658203125
214,-3425.89306640625
215,-3428.08984375
216,-3426.082763671875
217,-3429.720703125
218,-3426.7958984375
219,-3427.44091796875
220,-3425.820556640625
221,-3429.828369140625
222,-3429.027099609375
223,-3428.317626953125
224,-3426.90869140625
225,-3427.56201171875
226,-3429.46142578125
227,-3430.5810546875
228,-3428.81689453125
229,-3433.69921875
230,-3429.43115234375
231,-3431.01513671875
232,-3429.21240234375
233,-3429.955078125
234,-3431.73291015625
235,-3428.50146484375
236,-3428.48291015625
237,-3429.25390625
238,-3430.863525390625
239,-3430.3173828125
240,-3430.1015625
241,-3429.6689453125
242,-3429.763671875
243,-3432.44140625
244,-3430.335693359375
245,-3433.40673828125
246,-3430.77099609375
247,-3430.126220703125
248,-3429.489013671875
249,-3427.539306640625
250,-3425.584716796875
251,-3431.556640625
252,-3425.8447265625
253,-3429.10546875
254,-3429.39697265625
255,-3427.886474609375
256,-3429.5283203125
257,-3428.906494140625
258,-3429.47705078125
259,-3431.81005859375
260,-3428.9111328125
261,-3428.40283203125
262,-3428.53369140625
263,-3428.627197265625
264,-3429.12841796875
265,-3427.916748046875
266,-3427.177978515625
267,-3427.12841796875
268,-3427.236572265625
269,-3428.22314453125
270,-3427.3291015625
271,-3427.384765625
272,-3427.353515625
273,-3425.607421875
274,-3426.686767578125
275,-3428.406494140625
276,-3428.1162109375
277,-3429.13720703125
278,-3425.269775390625
279,-3427.958984375
280,-3425.28271484375
281,-3430.57177734375
282,-3429.51953125
283,-3427.6748046875
284,-3427.134765625
