,log_likelihood
0,-2278.0498046875
1,-2280.1298828125
2,-2281.747802734375
3,-2282.65869140625
4,-2279.8681640625
5,-2282.99365234375
6,-2280.812744140625
7,-2278.88720703125
8,-2278.153564453125
9,-2279.4453125
10,-2279.523681640625
11,-2279.056396484375
12,-2276.82373046875
13,-2280.621337890625
14,-2281.7265625
15,-2280.79150390625
16,-2281.7861328125
17,-2280.71875
18,-2277.349609375
19,-2280.231201171875
20,-2277.64453125
21,-2276.5107421875
22,-2278.4697265625
23,-2281.6923828125
24,-2286.349365234375
25,-2276.42578125
26,-2279.370849609375
27,-2276.30810546875
28,-2276.0146484375
29,-2279.33837890625
30,-2281.262451171875
31,-2279.17578125
32,-2277.9375
33,-2278.7119140625
34,-2278.6806640625
35,-2278.7763671875
36,-2277.228515625
37,-2276.94482421875
38,-2276.6591796875
39,-2277.984375
40,-2278.0517578125
41,-2277.57275390625
42,-2278.16552734375
43,-2277.12841796875
44,-2279.0751953125
45,-2274.16455078125
46,-2281.099609375
47,-2274.874267578125
48,-2275.134765625
49,-2279.382568359375
50,-2278.42041015625
51,-2277.9365234375
52,-2280.083984375
53,-2280.22705078125
54,-2277.35546875
55,-2276.0537109375
56,-2278.172119140625
57,-2278.78759765625
58,-2278.71923828125
59,-2278.98388671875
60,-2281.557373046875
61,-2283.587890625
62,-2283.069580078125
63,-2282.9404296875
64,-2276.75732421875
65,-2276.20458984375
66,-2280.969970703125
67,-2277.787841796875
68,-2274.1748046875
69,-2282.642822265625
70,-2278.809814453125
71,-2277.820556640625
72,-2276.74462890625
73,-2276.441162109375
74,-2279.935546875
75,-2280.568603515625
76,-2278.61962890625
77,-2288.841552734375
78,-2277.8623046875
79,-2284.164306640625
80,-2278.14990234375
81,-2281.583740234375
82,-2282.682861328125
83,-2283.105712890625
84,-2279.66650390625
85,-2277.58935546875
86,-2290.10546875
87,-2280.12060546875
88,-2281.61376953125
89,-2279.06298828125
90,-2277.743896484375
91,-2281.931884765625
92,-2282.4453125
93,-2279.13427734375
94,-2282.349609375
95,-2279.94677734375
96,-2281.36572265625
97,-2280.3642578125
98,-2285.6513671875
99,-2281.4775390625
100,-2279.77685546875
101,-2280.28466796875
102,-2279.62548828125
103,-2280.38623046875
104,-2283.458984375
105,-2287.1953125
106,-2279.709228515625
107,-2281.1796875
108,-2281.9306640625
109,-2276.242919921875
110,-2278.095458984375
111,-2280.452392578125
112,-2284.14501953125
113,-2278.3623046875
114,-2278.76025390625
115,-2276.99560546875
116,-2273.531005859375
117,-2277.10546875
118,-2278.407470703125
119,-2278.3505859375
120,-2281.94091796875
121,-2274.622802734375
122,-2280.39794921875
123,-2279.34814453125
124,-2278.39697265625
125,-2282.81298828125
126,-2278.5771484375
127,-2276.1923828125
128,-2277.16455078125
129,-2281.38525390625
130,-2279.52587890625
