,log_likelihood
0,-1890.1895751953125
1,-1891.61572265625
2,-1889.97314453125
3,-1890.5543212890625
4,-1889.813720703125
5,-1892.057861328125
6,-1890.513671875
7,-1891.119140625
8,-1890.7261962890625
9,-1891.6414794921875
10,-1890.54150390625
11,-1891.615234375
12,-1890.8857421875
13,-1890.8154296875
14,-1891.889892578125
15,-1887.8031005859375
16,-1889.3173828125
17,-1890.4169921875
18,-1891.405517578125
19,-1889.204345703125
20,-1890.9931640625
21,-1891.46728515625
22,-1890.705078125
23,-1891.7410888671875
24,-1891.420166015625
25,-1891.4622802734375
26,-1890.705322265625
27,-1892.9755859375
28,-1891.9776611328125
29,-1893.15185546875
30,-1892.56787109375
31,-1892.264892578125
32,-1891.4228515625
33,-1891.72412109375
34,-1892.82470703125
35,-1891.87890625
36,-1891.396240234375
37,-1892.6663818359375
38,-1892.36083984375
39,-1890.4149169921875
40,-1892.330810546875
41,-1893.005126953125
42,-1891.5145263671875
43,-1892.297607421875
44,-1894.2440185546875
45,-1890.783447265625
46,-1892.4073486328125
47,-1892.9730224609375
48,-1892.4853515625
49,-1889.8779296875
50,-1891.302001953125
51,-1891.309326171875
52,-1890.7626953125
53,-1891.8836669921875
54,-1891.120361328125
55,-1890.4903564453125
56,-1894.98779296875
57,-1893.204833984375
58,-1892.3828125
59,-1894.6021728515625
60,-1893.0054931640625
61,-1892.37939453125
62,-1892.2451171875
63,-1892.93798828125
64,-1892.619140625
65,-1892.04296875
66,-1892.197265625
67,-1891.34619140625
68,-1891.12548828125
69,-1890.8006591796875
70,-1891.8648681640625
71,-1891.373779296875
72,-1890.519775390625
73,-1891.8662109375
74,-1892.3876953125
75,-1893.208251953125
76,-1892.72607421875
77,-1893.797119140625
78,-1893.4888916015625
79,-1891.42724609375
80,-1890.8343505859375
81,-1893.091064453125
82,-1890.89990234375
83,-1892.823486328125
84,-1892.6380615234375
85,-1893.008544921875
86,-1892.3548583984375
87,-1892.79248046875
88,-1892.884765625
89,-1894.576904296875
90,-1891.8740234375
91,-1890.938720703125
92,-1891.441650390625
93,-1892.17138671875
94,-1891.2703857421875
95,-1889.695068359375
96,-1891.8369140625
97,-1891.76025390625
98,-1892.5191650390625
99,-1891.347412109375
100,-1891.952880859375
101,-1889.850830078125
102,-1892.2921142578125
103,-1891.6240234375
104,-1892.3558349609375
105,-1893.5279541015625
106,-1892.1181640625
107,-1891.184326171875
108,-1890.9442138671875
109,-1890.0863037109375
110,-1891.7005615234375
111,-1892.4931640625
112,-1891.7059326171875
113,-1890.5308837890625
114,-1890.8021240234375
115,-1889.5125732421875
116,-1892.066162109375
117,-1890.05322265625
118,-1892.38037109375
119,-1890.67724609375
120,-1892.99169921875
121,-1893.7423095703125
122,-1892.11474609375
123,-1890.7939453125
124,-1893.6898193359375
125,-1891.63037109375
126,-1892.232666015625
127,-1892.2318115234375
128,-1892.84765625
129,-1895.7379150390625
130,-1893.115966796875
131,-1893.5426025390625
132,-1892.302001953125
133,-1892.7061767578125
134,-1891.1826171875
135,-1892.41162109375
136,-1890.7657470703125
137,-1892.9544677734375
138,-1890.619873046875
139,-1892.3941650390625
140,-1889.4173583984375
141,-1891.687744140625
142,-1890.51708984375
143,-1890.1322021484375
144,-1890.7674560546875
145,-1891.5892333984375
146,-1892.342529296875
147,-1890.0989990234375
148,-1891.314697265625
149,-1889.859130859375
150,-1892.5531005859375
151,-1891.324462890625
152,-1891.0225830078125
153,-1893.135498046875
154,-1891.400390625
155,-1893.0172119140625
156,-1891.739501953125
157,-1891.23193359375
158,-1891.2279052734375
159,-1890.64404296875
160,-1890.005859375
161,-1890.11181640625
162,-1890.3897705078125
163,-1890.649169921875
164,-1890.958740234375
165,-1891.1689453125
166,-1891.976318359375
167,-1891.177490234375
168,-1890.961669921875
169,-1891.068603515625
170,-1890.291748046875
171,-1890.366943359375
172,-1891.4256591796875
173,-1889.959228515625
174,-1893.0845947265625
175,-1891.95703125
176,-1893.697998046875
177,-1891.74560546875
178,-1890.52880859375
179,-1891.025146484375
180,-1890.849853515625
181,-1891.64013671875
182,-1890.66796875
183,-1891.919677734375
184,-1892.9385986328125
185,-1891.9189453125
186,-1891.8271484375
187,-1893.41162109375
188,-1889.9979248046875
189,-1891.32763671875
190,-1890.44189453125
191,-1889.147705078125
192,-1892.8516845703125
193,-1888.639892578125
194,-1889.611572265625
195,-1888.99755859375
196,-1893.207763671875
197,-1890.041748046875
198,-1890.318115234375
199,-1892.02294921875
200,-1890.877197265625
201,-1891.8740234375
202,-1891.0269775390625
203,-1889.12841796875
204,-1885.24267578125
205,-1890.3330078125
206,-1892.034423828125
207,-1890.0692138671875
208,-1891.213134765625
209,-1889.98046875
210,-1891.9814453125
211,-1890.3182373046875
212,-1890.464111328125
213,-1890.4989013671875
214,-1888.1387939453125
215,-1887.68212890625
216,-1891.1683349609375
217,-1888.787841796875
218,-1889.3507080078125
219,-1888.4666748046875
220,-1887.023681640625
221,-1889.7567138671875
222,-1888.501953125
223,-1888.322021484375
224,-1889.801513671875
225,-1889.89404296875
226,-1885.934814453125
227,-1886.997314453125
228,-1889.4293212890625
229,-1890.716552734375
230,-1890.9503173828125
231,-1884.975341796875
232,-1889.1956787109375
233,-1891.673828125
234,-1892.715087890625
235,-1889.933837890625
236,-1890.6295166015625
237,-1888.605224609375
238,-1888.485595703125
239,-1890.1905517578125
240,-1890.247314453125
241,-1885.9007568359375
242,-1889.44140625
243,-1887.1307373046875
244,-1890.5433349609375
245,-1890.5556640625
246,-1890.3284912109375
247,-1890.291748046875
248,-1888.60009765625
249,-1891.6273193359375
250,-1890.584228515625
251,-1890.726806640625
252,-1892.184814453125
253,-1890.6494140625
254,-1889.57861328125
255,-1890.6600341796875
256,-1892.8255615234375
257,-1891.4232177734375
258,-1890.53857421875
259,-1891.956787109375
260,-1892.61328125
261,-1889.3857421875
262,-1892.333740234375
263,-1890.65625
264,-1892.97509765625
265,-1890.1551513671875
266,-1890.5618896484375
267,-1888.9931640625
268,-1889.2198486328125
269,-1887.791015625
270,-1891.602294921875
271,-1888.846923828125
272,-1890.889404296875
273,-1887.89599609375
274,-1890.9632568359375
275,-1890.587890625
276,-1890.8916015625
277,-1890.920166015625
278,-1889.5943603515625
279,-1891.043701171875
280,-1892.2574462890625
281,-1891.7208251953125
282,-1888.867431640625
283,-1888.37060546875
284,-1890.2177734375
285,-1889.82763671875
286,-1888.7628173828125
287,-1891.548095703125
288,-1890.8726806640625
289,-1891.0087890625
290,-1891.03662109375
291,-1892.4930419921875
292,-1890.974853515625
293,-1891.086181640625
294,-1888.626708984375
295,-1889.5325927734375
296,-1888.434326171875
297,-1892.78369140625
