,log_likelihood
0,-3620.2138671875
1,-3618.034912109375
2,-3619.15625
3,-3620.9111328125
4,-3620.802734375
5,-3620.01318359375
6,-3621.587890625
7,-3621.23681640625
8,-3623.3701171875
9,-3621.34130859375
10,-3618.425537109375
11,-3623.74755859375
12,-3620.704345703125
13,-3621.9599609375
14,-3621.608642578125
15,-3621.092529296875
16,-3624.3681640625
17,-3621.755859375
18,-3619.49951171875
19,-3628.04345703125
20,-3621.6630859375
21,-3618.64453125
22,-3627.67578125
23,-3623.9208984375
24,-3623.654541015625
25,-3622.929443359375
26,-3619.4921875
27,-3624.304443359375
28,-3621.319091796875
29,-3623.3681640625
30,-3625.60888671875
31,-3620.97509765625
32,-3624.235107421875
33,-3623.3544921875
34,-3620.3232421875
35,-3624.525390625
36,-3623.0380859375
37,-3626.19189453125
38,-3624.477783203125
39,-3623.53515625
40,-3616.97509765625
41,-3619.4560546875
42,-3617.35205078125
43,-3626.3994140625
44,-3617.9462890625
45,-3620.31396484375
46,-3619.163330078125
47,-3621.9130859375
48,-3625.1357421875
49,-3623.02294921875
50,-3620.93701171875
51,-3620.56396484375
52,-3620.953125
53,-3622.1767578125
54,-3619.06298828125
55,-3618.990966796875
56,-3623.23486328125
57,-3617.608642578125
58,-3619.1884765625
59,-3619.56201171875
60,-3616.48046875
61,-3621.5068359375
62,-3619.98095703125
63,-3618.751953125
64,-3619.636474609375
65,-3617.56787109375
66,-3616.24169921875
67,-3620.9658203125
68,-3621.613037109375
69,-3620.38720703125
70,-3620.947998046875
71,-3622.925537109375
72,-3619.648193359375
73,-3618.47021484375
74,-3615.256591796875
75,-3616.818359375
76,-3625.9775390625
77,-3620.873046875
78,-3617.8798828125
79,-3624.90576171875
80,-3619.697265625
81,-3624.22900390625
82,-3623.7353515625
83,-3619.78369140625
84,-3623.896728515625
85,-3622.29296875
86,-3621.68994140625
87,-3622.037353515625
88,-3622.11865234375
89,-3624.2939453125
90,-3625.1220703125
91,-3621.59326171875
92,-3620.8681640625
93,-3622.419921875
94,-3624.078125
95,-3621.59423828125
96,-3618.78076171875
97,-3619.55810546875
98,-3620.99755859375
99,-3618.93701171875
100,-3620.9912109375
101,-3625.4404296875
102,-3625.609375
103,-3623.6923828125
104,-3623.505859375
105,-3622.396484375
106,-3617.816650390625
107,-3619.54638671875
108,-3621.30712890625
109,-3622.12158203125
110,-3621.3623046875
111,-3623.28759765625
112,-3618.93115234375
113,-3620.88232421875
114,-3622.892333984375
115,-3620.62353515625
116,-3618.568359375
117,-3618.597900390625
118,-3621.6015625
119,-3621.3486328125
120,-3619.841064453125
121,-3618.69482421875
122,-3619.138671875
123,-3619.87548828125
124,-3620.28564453125
125,-3623.10302734375
126,-3620.64404296875
127,-3623.27978515625
128,-3624.19921875
129,-3620.412109375
130,-3620.237548828125
131,-3621.904052734375
132,-3620.61083984375
133,-3625.652587890625
134,-3622.0302734375
135,-3619.9599609375
136,-3619.5625
137,-3618.748046875
138,-3621.851806640625
139,-3617.01318359375
140,-3619.913818359375
141,-3620.55224609375
142,-3619.242431640625
143,-3623.025146484375
144,-3623.11474609375
145,-3622.38720703125
146,-3622.16015625
147,-3623.4375
148,-3622.4462890625
149,-3616.491943359375
150,-3619.56640625
151,-3619.67041015625
152,-3623.6435546875
153,-3619.05712890625
154,-3618.95166015625
155,-3620.427734375
156,-3620.06787109375
157,-3621.7890625
158,-3619.440185546875
159,-3620.7119140625
160,-3619.5283203125
161,-3618.02783203125
162,-3619.6845703125
163,-3620.298828125
164,-3621.88330078125
165,-3621.568115234375
166,-3620.25830078125
167,-3620.759521484375
168,-3621.17138671875
169,-3621.1015625
170,-3623.00244140625
171,-3617.138916015625
172,-3618.72998046875
173,-3622.74072265625
174,-3617.26806640625
175,-3620.30615234375
176,-3620.25341796875
177,-3620.435546875
178,-3620.61572265625
179,-3620.36474609375
180,-3619.07861328125
181,-3620.65966796875
182,-3618.5869140625
183,-3619.27099609375
184,-3622.669189453125
185,-3620.72900390625
186,-3622.17822265625
187,-3620.8525390625
188,-3620.8623046875
189,-3623.377685546875
190,-3619.996826171875
191,-3617.77490234375
192,-3620.21875
193,-3617.461181640625
194,-3621.78564453125
195,-3621.714111328125
196,-3622.501953125
197,-3622.48974609375
198,-3621.38427734375
199,-3622.40283203125
200,-3620.432373046875
201,-3622.06591796875
202,-3625.8603515625
203,-3623.554931640625
204,-3622.4931640625
205,-3621.373291015625
206,-3624.246337890625
207,-3620.529541015625
208,-3621.426025390625
209,-3619.51904296875
210,-3617.63623046875
211,-3619.341552734375
212,-3620.0859375
213,-3619.92236328125
214,-3619.994384765625
215,-3619.1357421875
216,-3620.9931640625
217,-3619.87158203125
218,-3618.10888671875
219,-3617.93212890625
220,-3618.84521484375
221,-3623.087890625
222,-3621.4951171875
223,-3618.451171875
224,-3620.095947265625
225,-3619.2021484375
226,-3619.418701171875
227,-3620.4248046875
228,-3618.0849609375
229,-3616.7314453125
230,-3619.0185546875
231,-3617.11083984375
232,-3620.442626953125
233,-3620.302978515625
234,-3619.092529296875
235,-3618.90185546875
236,-3619.3779296875
237,-3618.013916015625
238,-3620.357666015625
239,-3619.148681640625
240,-3621.62646484375
241,-3619.8623046875
242,-3620.178955078125
243,-3621.01025390625
244,-3621.941650390625
245,-3620.731689453125
246,-3627.343994140625
247,-3619.77392578125
248,-3619.660888671875
249,-3619.951171875
250,-3619.27490234375
251,-3623.57861328125
252,-3620.742431640625
253,-3623.95556640625
254,-3621.220703125
255,-3621.892578125
256,-3622.4716796875
257,-3623.5068359375
258,-3623.21875
259,-3625.595458984375
260,-3625.75732421875
261,-3621.517333984375
262,-3617.87109375
263,-3620.287353515625
264,-3622.85595703125
265,-3628.648681640625
266,-3625.925537109375
267,-3621.3583984375
268,-3625.490234375
269,-3622.613525390625
270,-3627.994873046875
271,-3621.940185546875
272,-3622.251708984375
273,-3626.66015625
274,-3622.67041015625
275,-3625.520751953125
276,-3625.363037109375
277,-3624.838134765625
278,-3631.68359375
279,-3629.085205078125
280,-3621.87109375
281,-3618.96435546875
282,-3627.54736328125
283,-3625.20263671875
284,-3624.62353515625
285,-3622.068359375
286,-3622.07861328125
287,-3623.016845703125
288,-3623.621337890625
289,-3622.56787109375
290,-3624.9794921875
291,-3622.40576171875
292,-3624.500732421875
293,-3622.06640625
294,-3621.677490234375
295,-3626.884521484375
296,-3623.3759765625
297,-3626.984375
298,-3625.388916015625
299,-3622.61279296875
300,-3624.59521484375
301,-3622.40234375
302,-3622.82373046875
303,-3621.6669921875
304,-3621.49169921875
305,-3619.22412109375
306,-3623.4638671875
307,-3619.82177734375
308,-3621.236328125
309,-3620.39501953125
310,-3617.615234375
311,-3623.833251953125
312,-3621.257568359375
313,-3622.201171875
314,-3617.578857421875
315,-3619.86083984375
316,-3620.545654296875
317,-3621.40234375
318,-3619.847900390625
319,-3622.161865234375
320,-3620.62158203125
321,-3622.23388671875
322,-3621.932861328125
323,-3617.12890625
324,-3618.60888671875
325,-3620.08203125
326,-3617.7529296875
327,-3620.072021484375
328,-3619.8154296875
329,-3620.15869140625
330,-3620.74462890625
331,-3619.75537109375
332,-3621.0537109375
333,-3620.173095703125
334,-3619.623046875
335,-3620.895751953125
336,-3622.176025390625
337,-3620.56640625
338,-3621.26171875
339,-3620.4560546875
340,-3620.08984375
341,-3619.73193359375
342,-3616.814208984375
343,-3617.425537109375
344,-3622.33349609375
345,-3618.203125
346,-3620.771728515625
347,-3620.4677734375
348,-3619.76025390625
349,-3622.716796875
350,-3618.443359375
351,-3618.77001953125
352,-3620.20947265625
353,-3619.6083984375
354,-3620.323486328125
355,-3621.2275390625
356,-3620.09814453125
357,-3620.44873046875
358,-3621.95751953125
359,-3621.3359375
360,-3618.76953125
361,-3617.83251953125
362,-3619.409912109375
363,-3618.41943359375
364,-3620.425537109375
365,-3616.908203125
366,-3621.858154296875
367,-3619.455078125
368,-3621.1025390625
369,-3619.429443359375
370,-3619.401611328125
371,-3619.4248046875
372,-3619.985595703125
373,-3620.916259765625
374,-3619.69580078125
375,-3619.137451171875
376,-3622.80224609375
377,-3619.441650390625
378,-3620.08984375
379,-3622.8916015625
380,-3618.905029296875
381,-3618.04833984375
382,-3620.47705078125
383,-3619.806640625
384,-3621.48876953125
385,-3620.054931640625
386,-3620.5185546875
387,-3621.117919921875
388,-3620.83056640625
389,-3621.99169921875
390,-3620.94140625
391,-3621.618408203125
392,-3624.521240234375
393,-3623.7568359375
394,-3620.3818359375
395,-3620.7705078125
396,-3620.144775390625
397,-3621.314453125
398,-3622.28759765625
399,-3621.421142578125
400,-3619.85498046875
401,-3619.484375
402,-3620.01708984375
403,-3619.870361328125
404,-3621.098388671875
405,-3621.443603515625
406,-3620.84912109375
407,-3619.32568359375
408,-3620.846923828125
409,-3620.90771484375
410,-3622.1962890625
411,-3624.39111328125
412,-3622.926513671875
413,-3620.97412109375
414,-3618.00537109375
415,-3618.508056640625
416,-3619.64306640625
417,-3622.55419921875
418,-3617.56396484375
419,-3619.391357421875
420,-3619.4296875
421,-3619.27490234375
422,-3618.9267578125
423,-3621.255859375
424,-3621.80517578125
425,-3622.282958984375
426,-3620.33251953125
427,-3619.2744140625
428,-3621.408203125
429,-3620.645751953125
430,-3621.51806640625
431,-3621.02099609375
432,-3620.614990234375
433,-3621.332763671875
434,-3621.0234375
435,-3618.952880859375
436,-3619.658203125
437,-3618.4443359375
438,-3616.241455078125
439,-3617.6494140625
440,-3615.736572265625
441,-3619.98291015625
442,-3618.01953125
443,-3619.440673828125
444,-3620.44482421875
445,-3619.406494140625
446,-3618.955078125
447,-3621.424072265625
448,-3619.9853515625
449,-3620.322021484375
450,-3618.77734375
451,-3622.16845703125
452,-3618.30419921875
453,-3621.8251953125
454,-3620.41064453125
455,-3619.96875
456,-3620.76806640625
457,-3619.3759765625
458,-3621.736328125
459,-3622.048583984375
460,-3621.392578125
461,-3620.9013671875
462,-3618.995361328125
463,-3621.5810546875
464,-3624.095703125
465,-3621.29150390625
466,-3622.810546875
467,-3623.615234375
468,-3621.922119140625
469,-3622.53759765625
470,-3621.802001953125
471,-3621.80517578125
472,-3622.27197265625
473,-3618.94580078125
474,-3619.66748046875
475,-3620.37939453125
476,-3620.818603515625
477,-3620.72998046875
478,-3623.93505859375
479,-3621.691650390625
480,-3621.3203125
481,-3620.22998046875
482,-3621.97216796875
483,-3622.1015625
484,-3620.694580078125
485,-3623.266357421875
486,-3622.482177734375
487,-3620.8857421875
488,-3622.297607421875
489,-3621.5244140625
490,-3622.09619140625
491,-3623.49462890625
492,-3619.218017578125
493,-3618.99609375
494,-3622.803955078125
495,-3619.58447265625
496,-3621.32275390625
497,-3621.83349609375
498,-3620.52294921875
499,-3624.703369140625
500,-3623.913330078125
501,-3619.435302734375
502,-3621.36279296875
503,-3621.186279296875
504,-3622.9521484375
505,-3623.00146484375
506,-3622.63232421875
507,-3621.91015625
508,-3628.54248046875
509,-3621.552978515625
510,-3622.690673828125
511,-3618.114990234375
512,-3617.185791015625
513,-3624.346435546875
514,-3621.82177734375
515,-3621.3125
516,-3623.211669921875
517,-3619.302001953125
518,-3621.855224609375
519,-3622.0771484375
520,-3621.5654296875
521,-3622.4326171875
522,-3618.67333984375
523,-3622.45751953125
524,-3623.698974609375
525,-3621.15966796875
526,-3621.64501953125
527,-3620.018798828125
528,-3621.482421875
529,-3619.89306640625
530,-3619.1826171875
531,-3618.487548828125
532,-3620.511474609375
533,-3618.08056640625
534,-3619.779052734375
535,-3620.172119140625
536,-3617.81982421875
537,-3619.10986328125
538,-3619.196044921875
539,-3619.790771484375
540,-3617.748046875
541,-3619.278076171875
542,-3621.802734375
543,-3619.83740234375
544,-3620.310546875
545,-3619.61572265625
546,-3618.4892578125
547,-3620.536376953125
548,-3622.630615234375
549,-3616.79931640625
550,-3616.977783203125
551,-3620.0341796875
552,-3619.7490234375
553,-3620.638671875
554,-3621.551025390625
555,-3618.978515625
556,-3620.654052734375
557,-3620.86767578125
558,-3619.189697265625
559,-3621.07470703125
560,-3618.71142578125
561,-3619.9072265625
562,-3621.3251953125
563,-3620.648681640625
564,-3620.47802734375
565,-3619.537109375
566,-3619.06884765625
567,-3622.26220703125
568,-3619.6826171875
569,-3619.59423828125
570,-3618.256103515625
571,-3618.781005859375
572,-3621.91552734375
573,-3618.009765625
574,-3620.90185546875
575,-3620.60107421875
576,-3620.0869140625
577,-3620.070068359375
578,-3620.8486328125
579,-3619.1953125
580,-3622.931884765625
581,-3622.583251953125
582,-3621.03564453125
583,-3620.215576171875
584,-3620.679931640625
585,-3620.63330078125
586,-3623.8837890625
587,-3618.69580078125
588,-3617.2060546875
589,-3620.422119140625
590,-3618.389404296875
591,-3621.34521484375
592,-3620.06884765625
593,-3616.950439453125
594,-3619.91064453125
595,-3619.8232421875
596,-3620.724609375
597,-3618.964599609375
598,-3617.6416015625
599,-3622.06689453125
600,-3621.466796875
601,-3619.131591796875
602,-3619.4736328125
603,-3622.018798828125
604,-3620.884765625
605,-3622.09912109375
606,-3619.224609375
607,-3618.147216796875
608,-3622.775146484375
609,-3621.25244140625
610,-3622.055908203125
611,-3621.57861328125
612,-3619.4638671875
