,log_likelihood
0,-1219.561279296875
1,-1219.2841796875
2,-1217.942626953125
3,-1218.432373046875
4,-1217.27490234375
5,-1218.7872314453125
6,-1218.046142578125
7,-1217.600830078125
8,-1216.92822265625
9,-1217.37109375
10,-1216.8236083984375
11,-1216.625244140625
12,-1219.518310546875
13,-1217.4482421875
14,-1218.2041015625
15,-1215.882568359375
16,-1216.598388671875
17,-1217.728515625
18,-1218.6505126953125
19,-1217.595458984375
20,-1218.0599365234375
21,-1216.8809814453125
22,-1214.1259765625
23,-1215.888427734375
24,-1216.0125732421875
25,-1216.9111328125
26,-1216.889892578125
27,-1216.1385498046875
28,-1215.21728515625
29,-1217.4912109375
30,-1216.1746826171875
31,-1219.2066650390625
32,-1216.2218017578125
33,-1217.6553955078125
34,-1215.71533203125
35,-1215.776123046875
36,-1218.61083984375
37,-1218.1533203125
38,-1219.815185546875
39,-1216.21875
40,-1216.7557373046875
41,-1218.3037109375
42,-1219.078857421875
43,-1218.53076171875
44,-1217.3369140625
45,-1221.52001953125
46,-1218.952392578125
47,-1219.7164306640625
48,-1221.840576171875
49,-1218.72705078125
50,-1224.365966796875
51,-1217.351806640625
52,-1219.77490234375
53,-1217.43701171875
54,-1218.1728515625
55,-1214.461669921875
56,-1216.5531005859375
57,-1215.752197265625
58,-1216.59423828125
59,-1214.337646484375
60,-1216.619140625
61,-1216.431396484375
62,-1221.1334228515625
63,-1215.651611328125
64,-1217.323974609375
65,-1219.3731689453125
66,-1216.9090576171875
67,-1218.78759765625
68,-1212.432373046875
69,-1215.47900390625
70,-1219.504638671875
71,-1217.04150390625
72,-1215.606201171875
73,-1214.8011474609375
74,-1215.3470458984375
75,-1216.01025390625
76,-1215.776611328125
77,-1210.60595703125
78,-1214.738037109375
79,-1214.468505859375
80,-1218.891845703125
81,-1216.858154296875
82,-1216.076904296875
83,-1214.3817138671875
84,-1214.959716796875
85,-1216.2852783203125
86,-1214.24169921875
87,-1213.35009765625
88,-1217.00732421875
89,-1215.807373046875
90,-1215.6295166015625
91,-1217.425537109375
92,-1215.948974609375
93,-1218.59912109375
94,-1220.0556640625
95,-1217.011962890625
96,-1217.4259033203125
97,-1219.2740478515625
98,-1218.606201171875
99,-1218.140869140625
100,-1214.9921875
101,-1217.201171875
102,-1219.43896484375
103,-1216.901611328125
104,-1217.4730224609375
