,log_likelihood
0,-2973.471923828125
1,-2972.58642578125
2,-2973.96484375
3,-2972.58837890625
4,-2973.22705078125
5,-2975.134521484375
6,-2974.056884765625
7,-2971.822265625
8,-2973.1455078125
9,-2974.940185546875
10,-2972.726806640625
11,-2972.7392578125
12,-2974.808837890625
13,-2972.310546875
14,-2973.63525390625
15,-2973.17919921875
16,-2973.079345703125
17,-2973.63818359375
18,-2973.281005859375
19,-2973.20263671875
20,-2972.529541015625
21,-2972.650146484375
22,-2972.86328125
23,-2973.267578125
24,-2971.80712890625
25,-2975.07763671875
26,-2974.62939453125
27,-2975.08154296875
28,-2973.661865234375
29,-2973.7265625
30,-2972.939208984375
31,-2974.69091796875
32,-2975.498046875
33,-2973.91357421875
34,-2973.31298828125
35,-2975.206787109375
36,-2973.915771484375
37,-2972.72509765625
38,-2974.22412109375
39,-2974.52099609375
40,-2975.838623046875
41,-2975.840087890625
42,-2975.675048828125
43,-2975.2001953125
44,-2975.17431640625
45,-2976.40576171875
46,-2975.315185546875
47,-2974.16064453125
48,-2974.92138671875
49,-2975.443359375
50,-2974.86962890625
51,-2974.21484375
52,-2974.3935546875
53,-2974.564453125
54,-2973.747314453125
55,-2973.06640625
56,-2973.736328125
57,-2969.7763671875
58,-2974.111572265625
59,-2975.25732421875
60,-2975.6064453125
61,-2973.91064453125
62,-2974.74267578125
63,-2976.5361328125
64,-2973.262939453125
65,-2971.8251953125
66,-2973.6171875
67,-2973.68994140625
68,-2972.2060546875
69,-2971.84375
70,-2973.73046875
71,-2973.833251953125
72,-2972.334716796875
73,-2973.00830078125
74,-2975.09375
75,-2971.33203125
76,-2972.85888671875
77,-2973.67578125
78,-2971.2119140625
79,-2974.0
80,-2974.58935546875
81,-2975.4375
82,-2972.765380859375
83,-2977.173828125
84,-2976.43017578125
85,-2972.47998046875
86,-2975.191162109375
87,-2974.017578125
88,-2972.82861328125
89,-2976.330078125
90,-2973.5517578125
91,-2972.8134765625
92,-2972.9130859375
93,-2972.6083984375
94,-2974.2275390625
95,-2975.32373046875
96,-2974.92333984375
97,-2973.96142578125
98,-2974.05859375
99,-2972.986083984375
100,-2973.14306640625
101,-2972.37890625
102,-2974.29931640625
103,-2974.66650390625
104,-2973.482421875
105,-2973.07373046875
106,-2974.544677734375
107,-2972.79345703125
108,-2973.711669921875
109,-2973.0146484375
110,-2973.9580078125
111,-2974.67138671875
112,-2976.572021484375
113,-2972.4189453125
114,-2973.92431640625
115,-2974.53369140625
116,-2974.34326171875
117,-2973.73193359375
118,-2975.35546875
119,-2975.01416015625
120,-2975.215087890625
121,-2975.6552734375
122,-2974.736328125
123,-2975.627685546875
124,-2971.22265625
125,-2971.25830078125
126,-2971.97802734375
127,-2971.13671875
128,-2973.539306640625
129,-2974.274169921875
130,-2974.680908203125
131,-2974.5009765625
132,-2974.20849609375
133,-2974.6064453125
134,-2972.97900390625
135,-2974.93798828125
136,-2972.08837890625
137,-2974.224609375
138,-2972.076171875
139,-2974.145751953125
140,-2975.36962890625
141,-2971.7705078125
142,-2973.236328125
143,-2974.6015625
144,-2971.412841796875
145,-2974.3291015625
146,-2971.79248046875
147,-2973.32666015625
148,-2974.763427734375
149,-2973.67822265625
150,-2967.656982421875
151,-2973.201904296875
152,-2973.8515625
153,-2972.805908203125
154,-2974.615478515625
155,-2975.540771484375
156,-2971.533935546875
157,-2970.3828125
158,-2971.273193359375
159,-2971.571044921875
160,-2971.18359375
161,-2970.6376953125
162,-2971.660400390625
163,-2974.656982421875
164,-2972.370361328125
165,-2971.858154296875
166,-2972.17041015625
167,-2971.933837890625
168,-2970.95263671875
169,-2971.221435546875
170,-2973.486083984375
171,-2974.471435546875
172,-2969.673095703125
173,-2973.647216796875
174,-2972.90234375
175,-2972.98876953125
176,-2973.32763671875
177,-2974.55078125
178,-2973.228759765625
179,-2975.880859375
180,-2974.67822265625
181,-2972.890625
182,-2973.02880859375
183,-2972.3720703125
184,-2973.98486328125
185,-2974.27197265625
186,-2970.83349609375
187,-2975.214599609375
188,-2973.93603515625
189,-2974.469482421875
190,-2973.49365234375
191,-2973.13134765625
192,-2969.10498046875
193,-2973.4638671875
194,-2972.75537109375
195,-2971.62109375
196,-2972.30908203125
197,-2974.028564453125
198,-2973.530517578125
199,-2973.5166015625
200,-2972.73583984375
201,-2973.266357421875
202,-2972.998046875
203,-2974.98974609375
204,-2975.55078125
205,-2972.162353515625
206,-2975.9287109375
207,-2972.958740234375
208,-2973.65576171875
209,-2973.93798828125
210,-2971.67041015625
211,-2975.716064453125
212,-2974.77197265625
213,-2972.1689453125
214,-2970.290283203125
215,-2972.10205078125
216,-2976.554443359375
217,-2974.035400390625
218,-2972.150390625
219,-2970.731689453125
220,-2968.721923828125
221,-2970.46923828125
222,-2968.918701171875
223,-2969.889892578125
224,-2969.7802734375
225,-2971.04736328125
226,-2973.115234375
227,-2972.130859375
228,-2971.2724609375
229,-2971.81591796875
230,-2970.2041015625
231,-2970.60498046875
232,-2971.52880859375
233,-2972.211181640625
234,-2971.73828125
235,-2970.783935546875
236,-2970.74462890625
237,-2970.4716796875
238,-2971.0029296875
239,-2970.55078125
240,-2969.588623046875
241,-2969.711181640625
242,-2969.1064453125
243,-2976.115234375
244,-2970.394775390625
245,-2968.6748046875
246,-2971.2021484375
247,-2972.478759765625
248,-2971.83837890625
249,-2971.097412109375
250,-2973.59765625
251,-2973.404296875
252,-2975.22705078125
253,-2974.3701171875
254,-2971.4951171875
255,-2973.42236328125
256,-2971.998291015625
257,-2975.181640625
258,-2971.43603515625
259,-2971.6767578125
260,-2972.10302734375
261,-2970.691162109375
262,-2972.78955078125
263,-2972.2998046875
264,-2972.1904296875
265,-2969.906494140625
266,-2969.43359375
267,-2969.149658203125
268,-2972.318115234375
269,-2971.6337890625
270,-2970.9833984375
271,-2971.74853515625
272,-2972.5732421875
273,-2970.361572265625
274,-2971.158203125
275,-2969.79443359375
276,-2971.6982421875
277,-2970.193359375
278,-2971.399169921875
279,-2968.110595703125
280,-2971.078369140625
281,-2971.69921875
282,-2972.1015625
283,-2969.87744140625
284,-2969.566162109375
285,-2968.6201171875
286,-2973.28173828125
287,-2969.864990234375
288,-2972.11279296875
289,-2971.05029296875
290,-2972.844482421875
291,-2971.24658203125
292,-2973.9296875
293,-2974.76318359375
294,-2975.00146484375
295,-2975.40576171875
296,-2972.91015625
297,-2972.859619140625
298,-2973.662109375
299,-2972.687255859375
300,-2976.0625
301,-2974.597900390625
302,-2972.93994140625
303,-2973.23876953125
304,-2972.181884765625
305,-2972.975830078125
306,-2973.13671875
307,-2968.963134765625
308,-2969.6943359375
309,-2972.157958984375
310,-2973.98291015625
311,-2972.89404296875
312,-2973.591796875
313,-2973.0546875
314,-2972.564208984375
315,-2974.095703125
316,-2972.095703125
317,-2975.5498046875
318,-2976.43115234375
319,-2970.264892578125
