,log_likelihood
0,-3343.702880859375
1,-3347.1787109375
2,-3346.662109375
3,-3347.482666015625
4,-3345.37646484375
5,-3345.78125
6,-3345.25244140625
7,-3344.364501953125
8,-3344.990234375
9,-3345.189208984375
10,-3345.236572265625
11,-3347.76220703125
12,-3345.61181640625
13,-3344.33056640625
14,-3346.3974609375
15,-3344.14794921875
16,-3343.42431640625
17,-3347.111572265625
18,-3342.68115234375
19,-3342.724609375
20,-3343.88134765625
21,-3342.925537109375
22,-3342.250732421875
23,-3345.185302734375
24,-3343.737060546875
25,-3343.01611328125
26,-3343.67578125
27,-3343.18212890625
28,-3344.87451171875
29,-3344.866455078125
30,-3343.66943359375
31,-3345.416259765625
32,-3344.3388671875
33,-3343.85107421875
34,-3347.343017578125
35,-3343.533203125
36,-3344.03125
37,-3344.22509765625
38,-3343.323974609375
39,-3343.2138671875
40,-3347.12451171875
41,-3342.16015625
42,-3344.0390625
43,-3343.120849609375
44,-3342.583984375
45,-3344.2451171875
46,-3342.664794921875
47,-3344.23486328125
48,-3342.208984375
49,-3342.7421875
50,-3342.823486328125
51,-3341.83740234375
52,-3341.23828125
53,-3343.71826171875
54,-3342.0732421875
55,-3342.3544921875
56,-3344.325439453125
57,-3344.841796875
58,-3343.725341796875
59,-3342.895751953125
60,-3343.688720703125
61,-3343.32421875
62,-3345.27490234375
63,-3344.071044921875
64,-3345.14501953125
65,-3343.5634765625
66,-3344.57568359375
67,-3344.686279296875
68,-3346.93115234375
69,-3344.63037109375
70,-3343.36181640625
71,-3343.8310546875
72,-3343.9912109375
73,-3344.37841796875
74,-3343.97998046875
75,-3342.83154296875
76,-3345.601806640625
77,-3344.390380859375
78,-3344.2451171875
79,-3342.421142578125
80,-3345.51220703125
81,-3345.94189453125
82,-3343.35595703125
83,-3343.6455078125
84,-3343.238525390625
85,-3342.65380859375
86,-3346.119873046875
87,-3342.971435546875
88,-3343.257568359375
89,-3344.915771484375
90,-3343.403076171875
91,-3344.4775390625
92,-3342.544921875
93,-3343.6494140625
94,-3343.4345703125
95,-3345.54052734375
96,-3345.203857421875
97,-3344.119384765625
98,-3343.60595703125
99,-3344.18212890625
100,-3346.8330078125
101,-3343.422607421875
102,-3345.1396484375
103,-3344.74169921875
104,-3344.28076171875
105,-3346.59228515625
106,-3344.4033203125
107,-3342.48046875
108,-3343.88037109375
109,-3346.19384765625
110,-3343.997314453125
111,-3343.89892578125
112,-3345.389892578125
113,-3342.22412109375
114,-3344.258544921875
115,-3342.829345703125
116,-3342.3662109375
117,-3341.638671875
118,-3342.09423828125
119,-3345.186767578125
120,-3341.928466796875
121,-3341.69140625
122,-3342.702880859375
123,-3344.408203125
124,-3343.61962890625
125,-3341.431640625
126,-3343.80224609375
127,-3345.40185546875
128,-3342.199951171875
129,-3342.4580078125
130,-3343.3388671875
131,-3344.887451171875
132,-3343.9765625
133,-3343.849609375
134,-3342.93505859375
135,-3343.98046875
136,-3342.86767578125
137,-3343.519775390625
138,-3343.89306640625
139,-3343.9482421875
140,-3343.36083984375
141,-3344.225830078125
142,-3345.15966796875
143,-3344.20361328125
144,-3344.72412109375
145,-3342.56884765625
146,-3344.860595703125
147,-3343.033203125
148,-3345.099609375
149,-3344.903076171875
150,-3345.9150390625
151,-3344.111328125
152,-3342.7685546875
153,-3345.1484375
154,-3343.443359375
155,-3344.920654296875
156,-3344.591064453125
157,-3346.0498046875
158,-3344.66748046875
159,-3344.8359375
160,-3346.353271484375
161,-3346.02294921875
162,-3343.244873046875
163,-3344.173828125
164,-3344.10205078125
165,-3343.423095703125
166,-3345.4580078125
167,-3343.62158203125
168,-3346.41650390625
169,-3344.91455078125
170,-3344.18017578125
171,-3344.793212890625
172,-3344.70068359375
173,-3343.623046875
174,-3345.1533203125
175,-3346.831298828125
176,-3343.27392578125
177,-3344.986328125
178,-3345.53369140625
179,-3344.78173828125
180,-3344.356201171875
181,-3344.71728515625
182,-3343.73291015625
183,-3345.9052734375
184,-3344.756591796875
185,-3344.95166015625
186,-3343.18994140625
187,-3346.2412109375
188,-3344.532958984375
189,-3346.000244140625
190,-3343.501220703125
191,-3343.603515625
192,-3343.904541015625
193,-3342.935546875
194,-3345.248046875
195,-3346.99267578125
196,-3343.911376953125
197,-3343.3583984375
198,-3345.986328125
199,-3343.01953125
200,-3345.38427734375
201,-3344.534423828125
202,-3343.5947265625
203,-3343.63525390625
204,-3343.587158203125
205,-3344.175048828125
206,-3346.703369140625
207,-3344.82763671875
208,-3343.62060546875
209,-3344.486328125
210,-3344.41845703125
211,-3344.7353515625
212,-3344.57958984375
213,-3343.571533203125
214,-3343.25439453125
215,-3342.025634765625
216,-3344.18896484375
217,-3344.2021484375
218,-3344.65185546875
