,log_likelihood
0,-2009.0491943359375
1,-2012.41796875
2,-2007.7547607421875
3,-2008.488037109375
4,-2009.21142578125
5,-2012.2239990234375
6,-2009.752685546875
7,-2009.4930419921875
8,-2008.5302734375
9,-2009.1767578125
10,-2009.4053955078125
11,-2009.9761962890625
12,-2012.5931396484375
13,-2011.739990234375
14,-2009.885498046875
15,-2006.8927001953125
16,-2008.7138671875
17,-2007.7423095703125
18,-2007.283203125
19,-2006.636962890625
20,-2008.465087890625
21,-2006.58203125
22,-2010.7010498046875
23,-2008.0062255859375
24,-2006.3104248046875
25,-2011.67578125
26,-2007.12841796875
27,-2012.666748046875
28,-2006.3673095703125
29,-2011.265869140625
30,-2006.612060546875
31,-2011.00146484375
32,-2010.031494140625
33,-2013.3924560546875
34,-2010.9627685546875
35,-2006.8583984375
36,-2010.1790771484375
37,-2007.3465576171875
38,-2006.0596923828125
39,-2005.2783203125
40,-2007.8193359375
41,-2008.668701171875
42,-2009.602783203125
43,-2005.7060546875
44,-2004.3638916015625
45,-2005.5693359375
46,-2005.81494140625
47,-2005.4766845703125
48,-2005.975830078125
49,-2006.541748046875
50,-2009.277587890625
51,-2004.4429931640625
52,-2005.850341796875
53,-2009.335205078125
54,-2007.203369140625
55,-2005.3321533203125
56,-2011.78955078125
57,-2007.7724609375
58,-2010.0948486328125
59,-2009.351806640625
60,-2008.0045166015625
61,-2008.5416259765625
62,-2007.964599609375
63,-2009.447998046875
64,-2007.7164306640625
65,-2008.7935791015625
66,-2008.5552978515625
67,-2013.212158203125
68,-2006.8917236328125
69,-2009.8409423828125
70,-2010.4222412109375
71,-2008.736328125
72,-2008.58447265625
73,-2009.994140625
74,-2006.2811279296875
75,-2007.89208984375
76,-2004.6046142578125
77,-2005.96240234375
78,-2005.71337890625
79,-2006.10205078125
80,-2005.8138427734375
81,-2007.5443115234375
82,-2006.6197509765625
83,-2005.8582763671875
84,-2005.71875
85,-2009.1982421875
86,-2005.4066162109375
87,-2007.4041748046875
88,-2004.021728515625
89,-2009.562255859375
90,-2004.421630859375
91,-2005.4754638671875
92,-2005.2996826171875
93,-2011.3848876953125
94,-2004.525634765625
95,-2006.701904296875
96,-2008.1826171875
97,-2007.70849609375
98,-2008.51953125
99,-2007.495849609375
100,-2007.5277099609375
101,-2005.577392578125
102,-2012.849365234375
103,-2007.250244140625
104,-2005.4072265625
105,-2010.354736328125
106,-2004.442626953125
107,-2006.614990234375
108,-2006.6697998046875
109,-2005.477294921875
110,-2005.5667724609375
111,-2006.6341552734375
112,-2007.157958984375
113,-2004.983642578125
114,-2008.39990234375
115,-2006.719970703125
116,-2008.5146484375
117,-2006.0360107421875
118,-2012.91943359375
119,-2010.0263671875
120,-2004.572998046875
121,-2006.7158203125
122,-2006.058837890625
123,-2012.91455078125
124,-2007.347412109375
125,-2006.470947265625
126,-2011.77734375
127,-2011.1534423828125
128,-2006.622802734375
129,-2008.59375
130,-2008.774658203125
131,-2008.04345703125
132,-2007.7119140625
133,-2003.61572265625
134,-2005.4276123046875
135,-2002.57177734375
136,-2005.188720703125
137,-2007.39306640625
138,-2007.130615234375
139,-2004.36083984375
140,-2005.454345703125
141,-2004.02685546875
142,-2005.622314453125
143,-2002.9129638671875
144,-2003.851806640625
145,-2004.136962890625
146,-2007.3946533203125
147,-2006.292236328125
148,-2002.281494140625
149,-2004.962890625
150,-2010.061767578125
151,-2005.459716796875
152,-2004.46240234375
153,-2002.78271484375
154,-2006.296875
155,-2005.799072265625
156,-2003.8016357421875
157,-2001.83447265625
158,-2006.756591796875
159,-2005.1468505859375
160,-2001.714111328125
161,-2002.73681640625
162,-2002.4833984375
163,-2001.9427490234375
164,-2004.2239990234375
165,-2004.9736328125
166,-2004.5126953125
167,-2007.0096435546875
168,-2002.513427734375
169,-2003.546875
170,-2003.183837890625
171,-2005.8284912109375
172,-2006.861083984375
173,-2005.676025390625
174,-2005.3109130859375
175,-2004.603271484375
176,-2006.979736328125
177,-2007.8271484375
178,-2004.606689453125
179,-2006.0
180,-2003.9586181640625
181,-2007.462646484375
182,-2003.639892578125
183,-2004.6983642578125
184,-2005.2757568359375
185,-2008.662841796875
186,-2003.2713623046875
187,-2006.78125
188,-2004.7275390625
189,-2003.9541015625
190,-2008.1663818359375
191,-2009.1298828125
192,-2007.38818359375
193,-2015.122802734375
194,-2005.018310546875
195,-2004.3062744140625
196,-2013.9990234375
197,-2012.725341796875
198,-2004.4166259765625
199,-2008.1392822265625
200,-2005.78271484375
201,-2009.453857421875
202,-2007.206787109375
203,-2012.1102294921875
204,-2009.830810546875
205,-2012.99169921875
206,-2008.5582275390625
207,-2005.4033203125
208,-2011.4949951171875
209,-2004.76025390625
210,-2007.2889404296875
211,-2004.8056640625
212,-2008.295166015625
213,-2010.349365234375
214,-2012.472900390625
215,-2007.228271484375
216,-2005.6558837890625
217,-2009.6290283203125
218,-2010.57666015625
219,-2007.0047607421875
220,-2010.7841796875
221,-2005.37841796875
222,-2004.7381591796875
223,-2004.663818359375
224,-2006.51171875
225,-2006.425048828125
226,-2013.1534423828125
227,-2005.6878662109375
228,-2011.9835205078125
229,-2007.8846435546875
230,-2008.9150390625
231,-2006.1490478515625
232,-2011.865478515625
233,-2012.0494384765625
234,-2007.121826171875
235,-2007.57080078125
236,-2010.0574951171875
237,-2009.6524658203125
238,-2010.3062744140625
239,-2011.674072265625
240,-2009.68212890625
241,-2009.225341796875
242,-2011.3280029296875
243,-2005.7637939453125
244,-2014.3587646484375
245,-2008.4786376953125
246,-2007.717529296875
247,-2002.027099609375
248,-2004.6510009765625
249,-2005.7276611328125
250,-2007.475341796875
251,-2007.845458984375
252,-2007.3310546875
253,-2005.133544921875
254,-2005.778564453125
255,-2005.074462890625
256,-2006.48486328125
257,-2006.218505859375
258,-2006.618408203125
259,-2011.57177734375
260,-2002.461181640625
261,-2005.950439453125
262,-2004.9517822265625
263,-2006.8670654296875
264,-2006.955078125
265,-2007.72216796875
266,-2007.512451171875
267,-2008.383056640625
268,-2015.8179931640625
269,-2006.298828125
270,-2005.543701171875
271,-2007.1591796875
272,-2008.906494140625
273,-2008.1561279296875
274,-2007.201904296875
275,-2007.5560302734375
276,-2009.775146484375
277,-2012.537109375
278,-2008.858154296875
279,-2011.400390625
280,-2011.4915771484375
281,-2007.72900390625
282,-2004.372802734375
283,-2005.2052001953125
284,-2006.5418701171875
285,-2008.3822021484375
286,-2010.068359375
287,-2006.513671875
288,-2008.761474609375
289,-2010.8392333984375
290,-2008.900146484375
291,-2006.53955078125
292,-2007.589599609375
293,-2015.704833984375
294,-2007.7215576171875
