,log_likelihood
0,-2746.67333984375
1,-2834.1875
2,-2705.785400390625
3,-2785.084228515625
4,-2819.173828125
5,-2742.048095703125
6,-2758.208740234375
7,-2759.76025390625
8,-2771.988525390625
9,-2740.437255859375
10,-2776.586181640625
11,-2770.9580078125
12,-2752.40771484375
13,-2745.233642578125
14,-2771.57470703125
15,-2773.720458984375
16,-2765.984375
17,-2785.993408203125
18,-2764.348876953125
19,-2664.20068359375
20,-2680.489013671875
21,-2741.587890625
22,-2761.9814453125
23,-2683.3359375
24,-2680.564208984375
25,-2720.556396484375
26,-2760.5322265625
27,-2725.225341796875
28,-2670.013671875
29,-2703.624755859375
30,-2806.704345703125
31,-2672.16552734375
32,-2622.587890625
33,-2706.35693359375
34,-2717.74169921875
35,-2656.8095703125
36,-2717.619873046875
37,-2741.513671875
38,-2687.580078125
39,-2757.43115234375
40,-2762.27392578125
41,-2701.1083984375
42,-2726.308837890625
43,-2741.63134765625
44,-2713.6669921875
45,-2730.14990234375
46,-2747.60546875
47,-2789.2939453125
48,-2703.200439453125
49,-2729.4951171875
50,-2729.36572265625
51,-2737.66845703125
52,-2716.865234375
53,-2643.1416015625
54,-2767.4208984375
55,-2717.29541015625
56,-2740.6279296875
57,-2684.53955078125
58,-2747.7529296875
59,-2661.400146484375
60,-2689.53173828125
61,-2772.453125
62,-2727.289306640625
63,-2739.829345703125
64,-2689.3154296875
65,-2729.9384765625
66,-2644.85009765625
67,-2745.72412109375
68,-2728.90478515625
69,-2750.6689453125
70,-2647.680419921875
71,-2687.7490234375
72,-2704.81982421875
73,-2690.27294921875
74,-2702.834228515625
75,-2760.031982421875
76,-2752.595703125
77,-2716.6943359375
78,-2743.462158203125
79,-2740.9658203125
80,-2729.96826171875
81,-2770.22802734375
82,-2750.654296875
83,-2749.483642578125
84,-2761.240966796875
85,-2729.59912109375
86,-2755.8037109375
87,-2712.04833984375
88,-2724.0556640625
89,-2784.510986328125
90,-2679.275390625
91,-2722.240966796875
92,-2759.87548828125
93,-2701.6201171875
94,-2756.04052734375
95,-2722.29541015625
96,-2744.59716796875
97,-2798.428466796875
98,-2747.16259765625
99,-2740.855712890625
100,-2732.5634765625
101,-2765.67431640625
102,-2789.46435546875
103,-2746.36865234375
104,-2834.05859375
105,-2740.92236328125
106,-2797.59375
107,-2731.133544921875
108,-2733.18310546875
109,-2735.74951171875
110,-2750.0068359375
111,-2760.573974609375
112,-2736.9892578125
113,-2804.30322265625
114,-2804.763916015625
115,-2760.721923828125
116,-2764.75537109375
117,-2804.951416015625
118,-2823.3701171875
119,-2753.492919921875
120,-2744.931640625
121,-2770.994140625
122,-2786.6005859375
123,-2798.443359375
124,-2760.17626953125
125,-2738.951904296875
126,-2770.39599609375
127,-2778.11767578125
128,-2774.05908203125
129,-2775.1845703125
130,-2735.0654296875
131,-2747.620361328125
132,-2757.287109375
133,-2762.30517578125
134,-2726.76513671875
135,-2766.849609375
136,-2706.455078125
137,-2751.6201171875
138,-2738.32177734375
139,-2712.78125
140,-2752.2890625
141,-2742.08349609375
142,-2772.115966796875
143,-2747.467529296875
144,-2735.916015625
145,-2752.34716796875
146,-2720.94580078125
147,-2776.5908203125
148,-2731.463134765625
149,-2775.977294921875
150,-2735.82421875
151,-2680.3798828125
152,-2743.44775390625
153,-2712.655029296875
154,-2702.03564453125
155,-2722.2255859375
156,-2679.346435546875
157,-2691.28173828125
158,-2715.3388671875
159,-2746.287109375
160,-2736.9091796875
161,-2732.38427734375
162,-2709.42333984375
163,-2757.529296875
164,-2703.067626953125
165,-2716.59814453125
166,-2732.1806640625
167,-2697.703857421875
168,-2756.0859375
169,-2722.735595703125
170,-2794.91650390625
171,-2811.64013671875
172,-2822.7275390625
173,-2767.5751953125
174,-2803.553466796875
175,-2813.865966796875
176,-2789.454833984375
177,-2768.809326171875
178,-2770.1875
179,-2785.591796875
180,-2804.3818359375
181,-2778.3232421875
182,-2842.73974609375
183,-2803.767578125
184,-2818.078125
185,-2787.973876953125
186,-2795.78564453125
187,-2767.58056640625
188,-2824.898681640625
189,-2709.33984375
190,-2723.618896484375
191,-2727.501220703125
192,-2761.941162109375
193,-2752.686767578125
194,-2786.486572265625
195,-2727.01220703125
196,-2737.93701171875
197,-2707.340576171875
198,-2747.45751953125
199,-2740.79443359375
200,-2768.176025390625
201,-2756.591796875
202,-2713.740234375
203,-2755.782958984375
204,-2741.103515625
205,-2745.83203125
206,-2723.71728515625
207,-2701.89306640625
208,-2715.912109375
209,-2752.1435546875
210,-2793.655029296875
211,-2741.504638671875
212,-2723.190185546875
213,-2758.4345703125
214,-2748.89599609375
215,-2720.55517578125
216,-2705.282958984375
217,-2720.125732421875
218,-2732.818603515625
219,-2752.46533203125
220,-2742.07421875
221,-2719.4765625
222,-2714.471435546875
223,-2751.64501953125
