,log_likelihood
0,-3769.186279296875
1,-3736.630859375
2,-3707.4775390625
3,-3734.56787109375
4,-3697.70849609375
5,-3701.720458984375
6,-3731.80810546875
7,-3696.1552734375
8,-3688.145751953125
9,-3735.6357421875
10,-3737.08544921875
11,-3759.58203125
12,-3720.6220703125
13,-3829.031494140625
14,-3729.93701171875
15,-3731.15478515625
16,-3773.16943359375
17,-3717.5537109375
18,-3725.910400390625
19,-3720.8798828125
20,-3791.185791015625
21,-3801.4150390625
22,-3747.888916015625
23,-3733.9931640625
24,-3717.239990234375
25,-3675.4814453125
26,-3778.5576171875
27,-3721.449951171875
28,-3668.6298828125
29,-3761.116455078125
30,-3749.626708984375
31,-3747.583740234375
32,-3673.8427734375
33,-3711.260009765625
34,-3718.80078125
35,-3680.9296875
36,-3697.205078125
37,-3723.6708984375
38,-3702.115966796875
39,-3694.697998046875
40,-3685.4736328125
41,-3655.265380859375
42,-3720.23046875
43,-3727.99169921875
44,-3716.79931640625
45,-3566.480224609375
46,-3689.78857421875
47,-3710.29736328125
48,-3703.846923828125
49,-3647.25244140625
50,-3762.512451171875
51,-3813.545654296875
52,-3647.64599609375
53,-3876.22607421875
54,-3764.683349609375
55,-3587.551025390625
56,-3703.59521484375
57,-3695.91015625
58,-3670.9775390625
59,-3647.117919921875
60,-3651.71875
61,-3686.375244140625
62,-3763.3017578125
63,-3736.4306640625
64,-3660.442138671875
65,-3655.5888671875
66,-3733.768310546875
67,-3743.2294921875
68,-3689.820556640625
69,-3704.890869140625
70,-3729.071044921875
71,-3672.158935546875
72,-3689.482666015625
73,-3674.693359375
74,-3681.83935546875
75,-3641.52685546875
76,-3697.08837890625
77,-3727.345703125
78,-3729.8681640625
79,-3788.534423828125
80,-3789.7548828125
81,-3729.924560546875
82,-3731.230224609375
83,-3671.98193359375
84,-3750.1337890625
85,-3731.367919921875
86,-3690.502197265625
87,-3687.536376953125
88,-3663.796875
89,-3669.279541015625
90,-3715.90869140625
91,-3668.072265625
92,-3765.85400390625
93,-3665.502197265625
94,-3716.881103515625
95,-3648.91015625
96,-3667.53564453125
97,-3690.432373046875
98,-3662.782470703125
99,-3658.091796875
100,-3664.837646484375
101,-3708.844970703125
102,-3673.2021484375
103,-3634.77978515625
104,-3728.69677734375
105,-3633.70458984375
106,-3618.9951171875
107,-3758.5302734375
108,-3630.684814453125
109,-3677.73876953125
110,-3676.367431640625
111,-3683.29541015625
112,-3595.794677734375
113,-3756.983154296875
114,-3718.009765625
115,-3732.1474609375
116,-3722.40283203125
117,-3744.900146484375
118,-3740.146728515625
119,-3733.31982421875
120,-3737.96826171875
121,-3731.41845703125
122,-3725.11376953125
123,-3748.851806640625
124,-3735.03759765625
125,-3691.63720703125
126,-3669.54248046875
127,-3729.916015625
128,-3691.15625
129,-3763.441162109375
130,-3719.3115234375
131,-3661.9599609375
132,-3807.32421875
133,-3775.034423828125
134,-3742.748046875
135,-3768.271484375
136,-3756.575439453125
137,-3783.68115234375
138,-3729.1318359375
139,-3695.872314453125
140,-3711.169921875
141,-3789.90869140625
142,-3779.8857421875
143,-3694.90869140625
144,-3734.800048828125
145,-3680.02734375
146,-3717.06982421875
147,-3836.222900390625
148,-3718.61279296875
149,-3720.134521484375
150,-3739.60400390625
151,-3668.0283203125
152,-3739.78271484375
153,-3647.718994140625
154,-3730.02587890625
155,-3663.3837890625
156,-3720.8671875
157,-3763.30859375
158,-3712.09033203125
159,-3724.103759765625
160,-3724.90234375
161,-3684.532470703125
162,-3716.316162109375
163,-3712.28857421875
164,-3767.13330078125
165,-3728.939453125
166,-3652.276611328125
167,-3690.74658203125
168,-3710.9375
169,-3700.30712890625
170,-3710.69775390625
171,-3644.75341796875
172,-3636.705322265625
173,-3648.51953125
174,-3725.9970703125
175,-3670.459228515625
176,-3738.744384765625
177,-3631.839111328125
178,-3720.34521484375
179,-3657.283447265625
180,-3723.42138671875
181,-3733.4697265625
182,-3641.29248046875
183,-3657.62451171875
184,-3676.96240234375
185,-3634.32763671875
186,-3607.139892578125
187,-3651.497314453125
188,-3712.318115234375
189,-3723.298828125
190,-3756.783203125
191,-3816.30419921875
192,-3851.35205078125
193,-3723.69189453125
194,-3782.3671875
195,-3769.732421875
196,-3746.2646484375
197,-3782.49072265625
198,-3733.150146484375
199,-3714.3603515625
200,-3765.93994140625
201,-3685.29248046875
202,-3816.4482421875
203,-3748.55908203125
204,-3723.852294921875
205,-3757.5673828125
206,-3780.6650390625
