,log_likelihood
0,-2921.242919921875
1,-2850.17041015625
2,-2912.578125
3,-3007.642333984375
4,-2988.0849609375
5,-2982.58251953125
6,-2958.360595703125
7,-2993.5439453125
8,-3000.16845703125
9,-2966.54296875
10,-2950.82080078125
11,-2956.905517578125
12,-2944.50390625
13,-2970.75439453125
14,-2970.963623046875
15,-2939.5830078125
16,-2933.765625
17,-2915.77978515625
18,-2915.294677734375
19,-2904.373779296875
20,-2961.6708984375
21,-2937.685791015625
22,-2935.849609375
23,-2895.203125
24,-2922.71875
25,-2928.113525390625
26,-2957.670166015625
27,-2963.723876953125
28,-2971.7470703125
29,-2967.7001953125
30,-2947.916259765625
31,-2960.89501953125
32,-2933.599609375
33,-2955.137939453125
34,-2914.3583984375
35,-2947.55712890625
36,-2951.12744140625
37,-2904.1806640625
38,-2881.51708984375
39,-2918.66748046875
40,-2583.015625
41,-2862.791015625
42,-2877.127685546875
43,-2856.78662109375
44,-2814.350830078125
45,-2779.751953125
46,-2980.249755859375
47,-2880.8955078125
48,-2861.9990234375
49,-2826.355224609375
50,-2972.44873046875
51,-2851.92041015625
52,-2799.16796875
53,-2921.26513671875
54,-2806.9814453125
55,-2865.029296875
56,-2972.16552734375
57,-2922.96728515625
58,-2853.4716796875
59,-2940.35546875
60,-2961.94580078125
61,-2922.853271484375
62,-2934.5654296875
63,-2958.18310546875
64,-2890.4541015625
65,-2877.19287109375
66,-2964.628173828125
67,-2930.41357421875
68,-2972.909912109375
69,-2885.756103515625
70,-2803.697998046875
71,-2946.00927734375
72,-2843.48291015625
73,-2864.181640625
74,-2806.5673828125
75,-2931.017822265625
76,-2925.412841796875
77,-2912.470703125
78,-2963.45556640625
79,-2951.55224609375
80,-2962.739990234375
81,-2945.75830078125
82,-2977.87255859375
83,-2965.136962890625
84,-2929.47802734375
85,-2957.05029296875
86,-2910.590087890625
87,-2851.49951171875
88,-2935.11474609375
89,-2933.17724609375
90,-2871.9736328125
91,-2995.929443359375
92,-2941.296875
93,-2950.21630859375
94,-2935.36669921875
95,-3014.6328125
96,-3037.53466796875
97,-2938.7255859375
98,-3020.7080078125
99,-2991.2880859375
100,-2966.181396484375
101,-3017.876953125
102,-2953.27197265625
103,-2998.39794921875
104,-3006.11669921875
105,-3032.97021484375
