,log_likelihood
0,-3987.147216796875
1,-3989.295166015625
2,-3981.89794921875
3,-4021.80908203125
4,-3997.7197265625
5,-4005.7734375
6,-4011.1103515625
7,-4021.455078125
8,-3993.08203125
9,-4003.040771484375
10,-3992.21435546875
11,-3983.0947265625
12,-4015.302734375
13,-4016.330810546875
14,-4031.313720703125
15,-3995.619140625
16,-4012.0146484375
17,-3978.4599609375
18,-3996.580322265625
19,-4035.565673828125
20,-3987.4267578125
21,-3998.03857421875
22,-3993.37451171875
23,-3988.642578125
24,-3983.202880859375
25,-4022.01171875
26,-3992.735107421875
27,-4017.88916015625
28,-3994.376220703125
29,-3982.17138671875
30,-3993.2021484375
31,-3972.51708984375
32,-3973.79443359375
33,-3988.49755859375
34,-3997.849609375
35,-3993.826171875
36,-4005.4228515625
37,-4002.6044921875
38,-3996.908203125
39,-3994.73681640625
40,-3988.196533203125
41,-3988.12548828125
42,-3987.39013671875
43,-3976.53125
44,-3990.662841796875
45,-4028.1796875
46,-4031.08642578125
47,-3992.89599609375
48,-4000.8740234375
49,-4010.1796875
50,-4011.12841796875
51,-3987.700927734375
52,-4012.23095703125
53,-3977.927490234375
54,-3998.987548828125
55,-4016.1376953125
56,-4034.762939453125
57,-3966.94970703125
58,-3991.467041015625
59,-4024.416748046875
60,-4000.1796875
61,-4040.13427734375
62,-3987.505859375
63,-3999.498046875
64,-3980.0498046875
65,-3994.647705078125
66,-3981.07080078125
67,-4004.80615234375
68,-4005.4345703125
69,-4000.487548828125
70,-4040.164306640625
71,-4009.74267578125
72,-4012.0595703125
73,-4017.8359375
74,-4001.23828125
75,-3996.422119140625
76,-4010.18701171875
77,-4035.0712890625
78,-4039.5224609375
79,-3996.82568359375
80,-4014.28564453125
81,-4026.05810546875
82,-4039.4267578125
83,-4028.92724609375
84,-4035.06201171875
85,-4059.63720703125
86,-3971.56396484375
87,-4001.82666015625
88,-4049.0068359375
89,-4019.380126953125
90,-4034.71337890625
91,-4015.05517578125
92,-4021.023681640625
93,-4042.56298828125
94,-4050.336181640625
95,-4040.08203125
96,-4056.06689453125
97,-4000.28857421875
98,-4045.140625
99,-4055.730224609375
100,-4044.3017578125
101,-4038.2646484375
102,-4043.4912109375
103,-4039.802490234375
104,-4063.8203125
105,-4065.0654296875
106,-4021.06298828125
107,-4024.59130859375
108,-4064.180419921875
109,-4049.639404296875
110,-4034.53125
111,-4053.2763671875
112,-4045.041015625
113,-4005.31884765625
114,-4020.297607421875
115,-4020.48876953125
116,-4006.572265625
117,-4005.806640625
118,-3992.835693359375
119,-4016.4423828125
120,-3993.3095703125
121,-4010.9326171875
122,-4024.75341796875
123,-4010.75439453125
124,-4020.18896484375
125,-4021.73388671875
126,-4031.4990234375
127,-4040.66455078125
128,-4029.657958984375
129,-4023.78125
130,-4026.19140625
131,-4030.552734375
132,-4023.87841796875
133,-4015.04248046875
134,-4024.9658203125
135,-3999.873046875
136,-4023.751708984375
137,-4024.748779296875
138,-4020.0908203125
139,-4013.267333984375
140,-4014.23291015625
141,-4009.5869140625
142,-4015.77587890625
143,-4000.64892578125
144,-3997.1044921875
145,-4010.14453125
146,-4000.416015625
147,-4029.7744140625
148,-4028.723876953125
149,-4006.0595703125
150,-4033.6552734375
151,-4043.55908203125
152,-4043.3876953125
153,-4043.9814453125
154,-4019.705078125
155,-4038.2900390625
156,-4028.65185546875
157,-4040.360107421875
158,-4033.70751953125
159,-4040.5615234375
160,-4038.00146484375
161,-4044.854248046875
162,-4075.6435546875
163,-4047.298828125
164,-4024.717041015625
165,-4029.7431640625
166,-4044.37548828125
167,-4043.251708984375
168,-4045.1240234375
169,-4033.7763671875
170,-4025.15185546875
171,-3996.572265625
172,-4015.912109375
173,-4058.3212890625
174,-4001.562255859375
175,-3983.169677734375
176,-4001.19482421875
177,-3985.88818359375
178,-3987.630615234375
179,-4028.699951171875
180,-3996.03759765625
181,-4030.33154296875
182,-3992.028076171875
183,-3978.406005859375
184,-4040.521484375
185,-4021.102294921875
186,-4031.388916015625
187,-4022.380859375
188,-4020.173828125
189,-3998.57861328125
190,-4035.908203125
191,-4041.620849609375
192,-4030.72705078125
193,-4040.1318359375
194,-3997.82763671875
195,-3995.02099609375
196,-4024.944091796875
197,-4015.65087890625
198,-3989.20263671875
199,-4013.58837890625
200,-4006.916259765625
201,-4006.63671875
202,-4030.60888671875
203,-4026.82958984375
204,-4008.24609375
205,-4029.27685546875
206,-4030.1904296875
207,-4049.38330078125
208,-4027.1259765625
209,-3983.697265625
210,-3995.84130859375
211,-4032.46826171875
212,-4028.937255859375
213,-4019.129150390625
214,-4050.2705078125
215,-4021.071533203125
216,-4020.60595703125
217,-4002.677734375
218,-3992.4970703125
219,-4016.779052734375
220,-4006.643310546875
221,-4022.42138671875
222,-4025.36669921875
223,-4019.28662109375
224,-4009.38818359375
225,-3994.995849609375
226,-4022.936767578125
227,-4018.427001953125
228,-4061.31982421875
229,-4041.97607421875
230,-4046.36865234375
231,-4009.546875
232,-4055.9970703125
233,-4036.5625
234,-3995.646240234375
235,-4006.56201171875
236,-4023.41259765625
237,-4019.345703125
238,-4004.850830078125
239,-4033.745849609375
240,-4028.923828125
241,-4019.7509765625
242,-4043.43408203125
243,-4013.90283203125
244,-4024.695068359375
245,-4029.26318359375
246,-4020.830078125
247,-4040.080078125
248,-4057.86669921875
249,-4010.79150390625
250,-4000.9248046875
251,-4034.63623046875
252,-3995.29345703125
253,-3992.44287109375
254,-4033.21240234375
255,-4020.227783203125
256,-4052.485595703125
257,-4000.86865234375
258,-4014.787109375
259,-4014.9375
260,-3987.6298828125
261,-4028.46875
262,-4050.3486328125
263,-4035.7529296875
264,-4058.15283203125
265,-4064.707763671875
266,-4021.5048828125
267,-4025.22412109375
268,-4020.176025390625
269,-4058.8193359375
270,-4011.4208984375
271,-4040.985107421875
272,-4005.21142578125
273,-3992.4375
274,-3986.07421875
275,-4047.04150390625
276,-4054.658935546875
277,-3987.38671875
278,-4039.778564453125
279,-4040.70263671875
280,-3998.81201171875
281,-4001.52978515625
282,-4045.919921875
283,-4015.689697265625
284,-4012.29736328125
285,-4006.997314453125
286,-4013.99072265625
287,-4003.15283203125
288,-4012.34130859375
289,-4004.8408203125
290,-4008.385986328125
291,-4003.015869140625
292,-4049.48046875
293,-3999.45703125
294,-3998.5078125
295,-4005.673583984375
296,-3987.66162109375
297,-4015.89794921875
298,-4024.90576171875
299,-4070.73681640625
300,-4011.4794921875
301,-4024.763671875
302,-4021.0615234375
303,-4010.429443359375
304,-4011.294921875
305,-4024.405029296875
306,-4025.944091796875
307,-4011.189453125
308,-4006.13720703125
309,-4022.681396484375
310,-4012.62841796875
311,-4021.37939453125
312,-4047.63330078125
313,-4058.427734375
314,-4015.87939453125
315,-4030.771484375
316,-4001.45458984375
317,-4025.87548828125
318,-4014.98193359375
319,-4024.962158203125
320,-4029.5283203125
321,-4015.330078125
322,-4006.1376953125
323,-4036.83349609375
324,-4036.5078125
325,-4010.927734375
326,-4024.95556640625
327,-4024.77099609375
