,log_likelihood
0,-4200.02294921875
1,-4189.7958984375
2,-4179.7197265625
3,-4189.74169921875
4,-4195.291015625
5,-4215.81201171875
6,-4179.5419921875
7,-4183.49609375
8,-4191.1845703125
9,-4185.978515625
10,-4209.23046875
11,-4171.36572265625
12,-4219.365234375
13,-4184.787109375
14,-4165.73291015625
15,-4175.7998046875
16,-4189.91796875
17,-4176.24951171875
18,-4190.0615234375
19,-4159.1865234375
20,-4178.19921875
21,-4172.65234375
22,-4173.625
23,-4177.80224609375
24,-4173.9208984375
25,-4181.66259765625
26,-4172.1796875
27,-4172.27685546875
28,-4177.3125
29,-4158.22900390625
30,-4182.81494140625
31,-4173.04541015625
32,-4178.27685546875
33,-4187.18408203125
34,-4167.5732421875
35,-4182.4013671875
36,-4163.76513671875
37,-4153.3291015625
38,-4171.7431640625
39,-4215.0791015625
40,-4191.099609375
41,-4208.9697265625
42,-4202.3134765625
43,-4172.0751953125
44,-4162.4970703125
45,-4208.1005859375
46,-4175.6552734375
47,-4148.2109375
48,-4180.7841796875
49,-4163.77978515625
50,-4185.45654296875
51,-4177.5537109375
52,-4177.6474609375
53,-4166.26171875
54,-4148.3583984375
55,-4174.5595703125
56,-4204.78466796875
57,-4173.4912109375
58,-4174.595703125
59,-4168.8798828125
60,-4184.14306640625
61,-4183.412109375
62,-4169.05322265625
63,-4183.17822265625
64,-4187.462890625
65,-4183.2666015625
66,-4173.484375
67,-4168.8818359375
68,-4169.5595703125
69,-4178.66796875
70,-4174.1337890625
71,-4177.5166015625
72,-4182.4921875
73,-4178.3994140625
74,-4163.94921875
75,-4173.873046875
76,-4191.3447265625
77,-4192.16064453125
78,-4206.06396484375
79,-4172.3642578125
80,-4196.9404296875
81,-4177.9140625
82,-4181.72216796875
83,-4181.091796875
84,-4181.43798828125
85,-4176.6865234375
86,-4181.3740234375
87,-4182.986328125
88,-4181.876953125
89,-4191.8310546875
90,-4186.49365234375
91,-4182.6201171875
92,-4182.14501953125
93,-4167.619140625
94,-4177.50732421875
95,-4172.68896484375
96,-4177.0234375
97,-4166.6591796875
98,-4181.5537109375
99,-4186.5107421875
100,-4187.44189453125
101,-4171.50830078125
102,-4161.32470703125
103,-4176.92431640625
104,-4181.080078125
105,-4191.9306640625
106,-4162.0693359375
107,-4176.29443359375
108,-4182.828125
109,-4185.4169921875
110,-4175.3408203125
111,-4161.7900390625
112,-4181.61181640625
113,-4167.466796875
114,-4177.4677734375
115,-4183.1748046875
116,-4182.2548828125
117,-4172.7001953125
118,-4172.77099609375
119,-4168.99658203125
120,-4171.7392578125
121,-4176.5810546875
122,-4152.84423828125
123,-4157.6201171875
124,-4173.078125
125,-4173.5185546875
126,-4176.96484375
127,-4174.1171875
128,-4162.61767578125
129,-4168.7724609375
130,-4177.4130859375
131,-4167.92724609375
132,-4162.8408203125
133,-4168.8017578125
134,-4169.31396484375
135,-4172.3720703125
136,-4168.1767578125
137,-4174.06201171875
138,-4169.77734375
139,-4172.51171875
140,-4167.578125
141,-4167.7109375
142,-4163.1220703125
143,-4173.7421875
144,-4154.583984375
145,-4153.34814453125
146,-4173.3896484375
147,-4164.35546875
148,-4188.41162109375
149,-4162.7587890625
150,-4163.22265625
151,-4169.083984375
152,-4186.02197265625
153,-4176.11181640625
154,-4176.7109375
155,-4204.08251953125
156,-4192.7431640625
157,-4180.2021484375
158,-4180.89453125
159,-4210.044921875
160,-4182.35107421875
161,-4180.99267578125
162,-4172.8916015625
163,-4199.5302734375
164,-4195.6494140625
165,-4173.00390625
166,-4167.98583984375
167,-4177.3447265625
168,-4177.9267578125
169,-4185.58447265625
170,-4182.3681640625
171,-4182.0576171875
172,-4177.67578125
173,-4172.095703125
174,-4176.9169921875
175,-4169.462890625
176,-4167.39794921875
177,-4181.5986328125
178,-4191.0341796875
179,-4172.41796875
180,-4168.6630859375
181,-4164.056640625
182,-4172.8203125
183,-4168.44140625
184,-4181.54541015625
185,-4172.94140625
186,-4177.21728515625
187,-4171.541015625
188,-4172.8896484375
189,-4192.92333984375
190,-4178.9970703125
191,-4182.69677734375
192,-4173.3349609375
193,-4173.0634765625
194,-4173.65283203125
195,-4196.474609375
196,-4177.5302734375
197,-4186.6865234375
198,-4177.8056640625
199,-4183.14013671875
200,-4192.5
201,-4183.4951171875
202,-4188.42138671875
203,-4173.908203125
204,-4197.0419921875
205,-4191.984375
206,-4172.5322265625
207,-4177.98095703125
208,-4183.400390625
209,-4193.36767578125
210,-4182.705078125
211,-4187.5654296875
212,-4177.5927734375
213,-4202.35205078125
214,-4172.33203125
215,-4173.3447265625
216,-4171.97119140625
217,-4168.107421875
218,-4188.609375
219,-4183.6708984375
220,-4177.8193359375
221,-4179.1875
222,-4196.07080078125
223,-4182.7587890625
224,-4173.095703125
225,-4173.4765625
226,-4187.11328125
227,-4192.69921875
228,-4178.4375
229,-4177.880859375
230,-4182.1318359375
231,-4198.24755859375
232,-4187.7890625
233,-4182.474609375
234,-4191.6015625
235,-4197.5732421875
236,-4177.59765625
237,-4192.02294921875
238,-4187.67626953125
239,-4196.6767578125
240,-4192.58203125
241,-4187.6484375
242,-4197.31005859375
243,-4183.1494140625
244,-4197.69189453125
245,-4187.27783203125
246,-4119.30078125
247,-4156.7421875
248,-4243.78125
249,-4177.0791015625
250,-4178.0341796875
251,-4115.1337890625
252,-4287.283203125
253,-4201.599609375
254,-4118.0595703125
255,-4182.1982421875
256,-4142.91015625
257,-4124.9248046875
258,-4124.15478515625
259,-4176.99609375
260,-4110.7451171875
261,-4118.9423828125
262,-4215.59716796875
263,-4195.79833984375
264,-4123.0595703125
265,-4192.259765625
266,-4188.26953125
267,-4162.26904296875
268,-4168.09033203125
269,-4173.07275390625
270,-4173.57568359375
271,-4187.24609375
272,-4176.60302734375
273,-4176.833984375
274,-4172.4853515625
275,-4182.92919921875
276,-4164.6923828125
277,-4182.6962890625
278,-4178.173828125
279,-4187.0400390625
280,-4173.6396484375
281,-4172.50439453125
282,-4182.533203125
283,-4192.00244140625
284,-4187.955078125
285,-4191.83349609375
286,-4195.7607421875
287,-4181.7685546875
288,-4157.6748046875
289,-4182.14892578125
290,-4176.12939453125
291,-4176.0537109375
292,-4191.365234375
293,-4166.68505859375
294,-4187.3232421875
295,-4183.697265625
296,-4187.3125
297,-4186.83154296875
298,-4162.373046875
299,-4172.38134765625
300,-4171.470703125
301,-4166.861328125
302,-4187.28759765625
303,-4188.03759765625
304,-4179.29736328125
305,-4172.921875
306,-4167.7041015625
307,-4174.01416015625
308,-4183.626953125
309,-4196.72802734375
310,-4177.65771484375
311,-4188.30126953125
312,-4187.59716796875
313,-4172.7861328125
314,-4188.92333984375
315,-4188.142578125
316,-4187.66162109375
317,-4183.28076171875
318,-4177.83056640625
319,-4186.77392578125
320,-4174.3212890625
321,-4178.2421875
322,-4196.486328125
323,-4202.41796875
324,-4168.8818359375
325,-4186.5576171875
326,-4168.59912109375
327,-4177.44189453125
328,-4171.607421875
329,-4171.7734375
330,-4192.41796875
331,-4182.8212890625
332,-4177.46875
333,-4168.75927734375
334,-4173.32958984375
335,-4187.2255859375
336,-4177.5947265625
337,-4187.72119140625
338,-4177.9619140625
339,-4196.9990234375
340,-4177.2392578125
341,-4168.5478515625
342,-4183.75927734375
343,-4187.17431640625
344,-4163.603515625
345,-4168.6337890625
346,-4164.0283203125
347,-4181.490234375
348,-4171.32861328125
349,-4192.02490234375
