,log_likelihood
0,-4054.203857421875
1,-4054.318359375
2,-4090.712890625
3,-4069.01708984375
4,-4075.739013671875
5,-4086.23291015625
6,-4069.9658203125
7,-4084.521240234375
8,-4072.859130859375
9,-4067.3056640625
10,-4052.243408203125
11,-4061.189697265625
12,-4056.7841796875
13,-4072.415771484375
14,-4062.453125
15,-4068.103271484375
16,-4058.892333984375
17,-4061.28564453125
18,-4086.7431640625
19,-4071.974365234375
20,-4066.364013671875
21,-4061.5947265625
22,-4096.25
23,-4054.0966796875
24,-4085.41357421875
25,-4071.509033203125
26,-4063.85986328125
27,-4061.66943359375
28,-4053.043212890625
29,-4050.371826171875
30,-4049.35986328125
31,-4063.6162109375
32,-4072.3466796875
33,-4062.9306640625
34,-4080.889404296875
35,-4085.330810546875
36,-4057.67236328125
37,-4053.90625
38,-4072.88671875
39,-4054.191650390625
40,-4067.0263671875
41,-4073.4853515625
42,-4095.601806640625
43,-4066.97705078125
44,-4071.8798828125
45,-4086.3671875
46,-4090.47216796875
47,-4080.59814453125
48,-4057.1533203125
49,-4062.6435546875
50,-4081.64892578125
51,-4081.37744140625
52,-4089.7900390625
53,-4087.4736328125
54,-4104.830078125
55,-4096.00537109375
56,-4075.925048828125
57,-4047.464599609375
58,-4068.02197265625
59,-4022.705810546875
60,-4105.9443359375
61,-4077.673583984375
62,-4078.468994140625
63,-4067.693115234375
64,-4062.32470703125
65,-4057.548828125
66,-4077.322509765625
67,-4058.124755859375
68,-4116.09423828125
69,-4072.922119140625
70,-4072.69189453125
71,-4076.95751953125
72,-4059.00244140625
73,-4071.88818359375
74,-4073.416259765625
75,-4086.08154296875
76,-4070.95068359375
77,-4085.15380859375
78,-4077.63037109375
79,-4062.736328125
80,-4087.1708984375
81,-4086.79736328125
82,-4096.1748046875
83,-4090.86328125
84,-4090.49951171875
85,-4092.09228515625
86,-4077.6904296875
87,-4079.16845703125
88,-4076.43017578125
89,-4097.771484375
90,-4080.8701171875
91,-4072.16650390625
92,-4091.781005859375
93,-4086.77880859375
94,-4061.2509765625
95,-4076.177490234375
96,-4100.33544921875
97,-4070.6748046875
98,-4081.766845703125
99,-4105.1005859375
100,-4085.839111328125
101,-4075.921630859375
102,-4100.10986328125
103,-4065.320556640625
104,-4062.29150390625
105,-4081.7861328125
106,-4066.052490234375
107,-4080.491455078125
108,-4091.29296875
109,-4052.3125
110,-4094.21484375
111,-4070.4638671875
112,-4070.4150390625
113,-4064.2080078125
114,-4035.202392578125
115,-4047.43115234375
116,-4061.936767578125
117,-4096.056640625
118,-4079.569580078125
119,-4073.482177734375
120,-4043.67919921875
121,-4037.019287109375
122,-4106.76806640625
123,-4047.140625
124,-4028.06103515625
125,-4067.6396484375
126,-4053.904052734375
127,-4049.072509765625
128,-4043.722900390625
129,-4035.596435546875
130,-4062.3701171875
131,-4052.2900390625
132,-4085.87255859375
133,-4051.86572265625
134,-4072.321044921875
135,-4076.016357421875
136,-4091.687255859375
137,-4090.24951171875
138,-4071.610107421875
139,-4087.41357421875
140,-4036.62451171875
141,-4081.4833984375
142,-4084.889892578125
143,-4084.66943359375
144,-4071.94287109375
145,-4077.43798828125
146,-4067.28759765625
147,-4056.582275390625
148,-4096.7578125
149,-4096.1015625
150,-4082.18212890625
151,-4048.10546875
152,-4085.8212890625
153,-4060.7099609375
154,-4051.37060546875
155,-4084.916015625
156,-4086.0380859375
157,-4062.138671875
158,-4095.5048828125
159,-4084.11474609375
160,-4060.860107421875
161,-4041.267578125
162,-4072.115478515625
163,-4057.63037109375
164,-4090.6572265625
165,-4077.644287109375
166,-4085.77197265625
167,-4076.008056640625
168,-4089.983154296875
169,-4070.267333984375
170,-4061.8671875
171,-4094.730224609375
172,-4048.220703125
173,-4055.39404296875
174,-4065.95068359375
175,-4046.92041015625
176,-4061.13623046875
177,-4063.611572265625
178,-4080.37548828125
179,-4080.818359375
180,-4077.935546875
181,-4042.9892578125
182,-4047.271240234375
183,-4095.15234375
184,-4067.296875
185,-4060.513427734375
186,-4047.583740234375
187,-4051.224853515625
188,-4080.1923828125
189,-4053.4638671875
190,-4042.94775390625
191,-4028.43017578125
192,-4054.0546875
193,-4018.67431640625
194,-4013.76904296875
195,-4076.238037109375
196,-4036.6953125
197,-4038.77099609375
198,-4062.9638671875
199,-4072.629638671875
200,-4052.656005859375
201,-4032.12548828125
202,-4046.671875
203,-4021.65771484375
204,-4057.57275390625
205,-4076.504150390625
206,-4034.7255859375
207,-4026.678955078125
208,-4081.747802734375
209,-4034.068603515625
210,-4075.12890625
211,-4076.6044921875
212,-4053.149169921875
213,-4079.1826171875
214,-4059.39306640625
215,-4026.505126953125
216,-4090.60986328125
217,-4084.8349609375
218,-4093.2265625
219,-4068.03076171875
220,-4044.287841796875
221,-4071.403076171875
222,-4066.005126953125
223,-4085.8994140625
224,-4063.177001953125
225,-4060.6220703125
226,-4044.9296875
227,-4018.03759765625
228,-4043.03076171875
229,-4081.934814453125
230,-4083.78515625
231,-4072.77197265625
232,-4084.417236328125
233,-4086.49560546875
234,-4071.021484375
235,-4062.602294921875
236,-4046.899658203125
237,-4075.0966796875
