,log_likelihood
0,-503.6741027832031
1,-518.7494506835938
2,-527.5169067382812
3,-504.6653137207031
4,-507.5963134765625
5,-518.2283935546875
6,-523.4656982421875
7,-499.85137939453125
8,-512.8931884765625
9,-503.89678955078125
10,-493.85406494140625
11,-533.814208984375
12,-526.239990234375
13,-508.4372253417969
14,-518.33984375
15,-490.0064697265625
16,-523.8980712890625
17,-509.0841064453125
18,-489.72235107421875
19,-494.8434753417969
20,-499.0548095703125
21,-498.8334655761719
22,-493.2583312988281
23,-512.576904296875
24,-503.70745849609375
25,-517.36328125
26,-507.6889343261719
27,-503.88592529296875
28,-498.95843505859375
29,-511.8194580078125
30,-508.0274658203125
31,-502.9368896484375
32,-501.8265380859375
33,-497.8970947265625
34,-493.3578186035156
35,-518.87744140625
36,-513.1237182617188
37,-498.7349548339844
38,-517.5693969726562
39,-528.2376708984375
40,-494.7327880859375
41,-522.2769775390625
42,-513.869384765625
43,-509.03424072265625
44,-502.64459228515625
45,-519.6221923828125
46,-500.7157897949219
47,-504.73577880859375
48,-508.6407470703125
49,-513.5443115234375
50,-522.5557861328125
51,-498.6065673828125
52,-524.0347900390625
53,-532.1162719726562
54,-513.7699584960938
55,-505.6318664550781
56,-499.32708740234375
57,-521.5823364257812
58,-495.62353515625
59,-522.1768798828125
60,-493.79388427734375
61,-514.0217895507812
62,-507.9965515136719
63,-497.618896484375
64,-508.34320068359375
65,-504.73876953125
66,-508.6891174316406
67,-508.79107666015625
68,-506.63702392578125
69,-507.1202392578125
70,-494.9024658203125
71,-511.4929504394531
72,-508.9072265625
73,-512.3192138671875
74,-517.97021484375
75,-500.31646728515625
76,-503.4276123046875
77,-499.2143249511719
78,-493.94500732421875
79,-522.2198486328125
80,-521.3215942382812
81,-513.2711791992188
82,-497.4497985839844
83,-493.57177734375
84,-511.342529296875
85,-518.260009765625
86,-513.9131469726562
87,-507.074462890625
88,-503.64227294921875
89,-508.3265075683594
90,-503.27215576171875
91,-493.8822021484375
92,-540.03564453125
93,-503.4472961425781
94,-511.400634765625
95,-517.47509765625
96,-498.09613037109375
97,-497.9055480957031
98,-510.8667907714844
99,-508.5509033203125
100,-512.4500122070312
101,-512.59521484375
102,-498.3641052246094
103,-493.0818786621094
104,-518.88134765625
105,-499.31683349609375
106,-493.70294189453125
107,-511.4390869140625
108,-504.01446533203125
109,-488.7693786621094
110,-498.1885986328125
111,-535.41064453125
112,-493.3912048339844
113,-512.1682739257812
114,-531.4981689453125
115,-494.3757629394531
116,-527.36767578125
117,-518.7911376953125
118,-493.68450927734375
119,-507.34539794921875
120,-504.65045166015625
121,-512.70458984375
122,-512.056396484375
123,-502.0491027832031
124,-495.30780029296875
125,-527.042724609375
126,-503.01849365234375
127,-498.15618896484375
128,-509.6724853515625
129,-516.0667724609375
130,-498.54736328125
131,-507.491455078125
132,-508.8449401855469
133,-506.822021484375
134,-502.43072509765625
135,-488.14129638671875
136,-498.4984436035156
137,-493.3150634765625
138,-511.90765380859375
139,-506.44573974609375
140,-494.5091247558594
141,-513.8585205078125
142,-511.49713134765625
143,-508.199462890625
144,-503.3527526855469
145,-503.86016845703125
146,-517.111572265625
147,-522.1641235351562
148,-502.18060302734375
149,-498.8790283203125
150,-498.51141357421875
151,-521.7657470703125
152,-512.0206909179688
153,-507.13189697265625
154,-499.032958984375
155,-497.9833984375
156,-492.5811462402344
157,-508.47332763671875
158,-517.5950317382812
159,-507.3103332519531
160,-498.1042785644531
161,-502.25726318359375
162,-492.7889709472656
163,-512.426025390625
164,-513.3900146484375
165,-503.0462951660156
166,-516.3899536132812
167,-498.1941223144531
168,-504.1004333496094
169,-493.1200256347656
170,-507.3917236328125
171,-508.53851318359375
172,-517.5374755859375
173,-509.0863342285156
174,-502.56610107421875
175,-512.63916015625
176,-509.1692199707031
177,-503.1278076171875
178,-522.7518310546875
179,-499.1814270019531
180,-497.710205078125
181,-487.85516357421875
182,-503.57012939453125
183,-502.55133056640625
184,-513.5335693359375
185,-513.520263671875
186,-513.4857177734375
187,-494.13751220703125
188,-512.8115234375
189,-508.7542419433594
190,-513.5576171875
191,-503.503662109375
192,-498.55303955078125
193,-518.339599609375
194,-494.2733154296875
195,-512.570068359375
196,-508.52685546875
197,-503.2303466796875
198,-537.0294189453125
199,-533.2001953125
200,-502.7770690917969
201,-547.5654296875
202,-527.6692504882812
203,-517.243408203125
204,-498.4990539550781
205,-494.30682373046875
206,-517.7763671875
207,-494.0637512207031
208,-517.6145629882812
209,-513.9775390625
210,-489.8802490234375
211,-499.71087646484375
212,-514.5487060546875
213,-524.06201171875
214,-524.1077270507812
215,-499.4683532714844
216,-523.4107666015625
217,-508.25311279296875
218,-513.6192626953125
219,-513.5635986328125
220,-499.2695007324219
221,-489.0755920410156
222,-529.1231079101562
223,-489.4559326171875
224,-523.4766235351562
225,-513.2462158203125
226,-495.2585754394531
227,-518.890380859375
228,-514.4456176757812
229,-509.01318359375
230,-504.055908203125
231,-519.1588134765625
232,-510.8846740722656
233,-498.7364196777344
234,-513.87109375
235,-514.3543701171875
236,-508.77349853515625
237,-509.23583984375
238,-513.49267578125
239,-498.837646484375
240,-508.73284912109375
241,-508.40509033203125
242,-514.0823974609375
243,-505.79718017578125
244,-499.5018615722656
245,-508.86444091796875
246,-510.1164855957031
247,-488.10821533203125
248,-517.425537109375
249,-499.3543395996094
250,-503.832763671875
251,-493.0294189453125
252,-498.7146301269531
253,-503.1642150878906
254,-494.6777038574219
255,-508.27471923828125
256,-511.80419921875
257,-487.9368591308594
258,-497.9958190917969
259,-517.381103515625
260,-513.5982666015625
261,-502.74114990234375
262,-498.6898193359375
263,-509.22259521484375
264,-498.3320617675781
265,-507.79486083984375
266,-508.2344665527344
267,-523.2752075195312
268,-503.1720275878906
269,-503.402587890625
270,-493.6156005859375
271,-499.06390380859375
272,-498.54266357421875
273,-513.8521118164062
274,-508.6661071777344
275,-507.5125732421875
276,-518.2614135742188
277,-517.3154296875
278,-508.6788330078125
279,-512.5963745117188
280,-499.4763488769531
281,-497.7511901855469
282,-504.2242126464844
283,-518.7781982421875
284,-532.3501586914062
285,-512.16455078125
286,-498.02581787109375
287,-528.0916137695312
288,-527.4313354492188
289,-494.8488464355469
290,-517.9371337890625
291,-512.8680419921875
292,-502.76025390625
293,-513.866943359375
294,-498.6773986816406
295,-507.9058837890625
296,-514.6621704101562
297,-503.71142578125
298,-513.340576171875
299,-507.5067443847656
300,-499.9671630859375
301,-522.177001953125
302,-502.8144836425781
303,-512.203369140625
304,-489.1614074707031
305,-498.55548095703125
306,-494.1681823730469
307,-498.0487060546875
308,-488.96099853515625
309,-517.059326171875
310,-521.7220458984375
311,-488.06231689453125
312,-497.57208251953125
313,-517.7606201171875
314,-488.4310607910156
315,-489.03131103515625
316,-493.3563232421875
317,-492.78790283203125
318,-489.175537109375
319,-498.64483642578125
320,-506.84429931640625
321,-497.3241271972656
322,-502.06195068359375
323,-513.096923828125
324,-513.1170043945312
325,-513.9444580078125
326,-489.1822509765625
327,-504.1982727050781
328,-504.05975341796875
329,-498.7695617675781
330,-494.02667236328125
331,-488.9962463378906
332,-499.2801818847656
333,-494.43658447265625
334,-499.57366943359375
335,-499.5386657714844
336,-497.7879638671875
337,-509.16729736328125
338,-509.4852294921875
339,-508.018798828125
340,-503.39703369140625
341,-498.9679260253906
342,-499.43121337890625
343,-503.09405517578125
344,-508.6009521484375
345,-503.8304138183594
346,-513.61474609375
347,-498.92852783203125
348,-515.1602783203125
349,-509.2995300292969
350,-503.9880676269531
351,-498.6702575683594
352,-517.892578125
353,-498.61700439453125
354,-499.3666687011719
355,-509.58355712890625
356,-494.5814208984375
357,-510.44873046875
358,-509.6590576171875
359,-513.7513427734375
360,-507.7140808105469
361,-508.58203125
362,-493.947021484375
363,-493.45623779296875
364,-504.0389709472656
365,-498.5715637207031
366,-498.03076171875
367,-513.5782470703125
368,-512.5855712890625
369,-503.8287658691406
370,-489.3631591796875
371,-498.2628173828125
372,-489.3233337402344
373,-493.7411193847656
374,-503.12677001953125
375,-494.5489501953125
376,-504.3897399902344
377,-502.7574462890625
378,-493.5733642578125
379,-508.97589111328125
380,-513.3092651367188
381,-518.3639526367188
382,-518.9439697265625
383,-523.20458984375
384,-508.49908447265625
385,-509.19647216796875
386,-518.2947998046875
387,-498.4515686035156
388,-507.8738098144531
389,-503.23980712890625
390,-518.7762451171875
