,log_likelihood
0,-367.9941711425781
1,-374.9601745605469
2,-372.2882995605469
3,-378.18505859375
4,-371.0536804199219
5,-377.14276123046875
6,-362.90478515625
7,-368.79241943359375
8,-372.5924377441406
9,-363.64263916015625
10,-371.5867004394531
11,-372.30914306640625
12,-373.91259765625
13,-376.93121337890625
14,-368.32427978515625
15,-389.48681640625
16,-367.6731872558594
17,-395.1207580566406
18,-373.03997802734375
19,-368.1827087402344
20,-373.56103515625
21,-368.8993835449219
22,-386.7147216796875
23,-371.26287841796875
24,-376.92431640625
25,-363.72576904296875
26,-363.5771789550781
27,-367.37213134765625
28,-373.150390625
29,-372.32952880859375
30,-385.910400390625
31,-371.5818786621094
32,-362.91656494140625
33,-362.5403747558594
34,-372.8782653808594
35,-368.416259765625
36,-373.49554443359375
37,-364.0580139160156
38,-362.927001953125
39,-385.33056640625
40,-363.6568603515625
41,-394.4366760253906
42,-366.5213623046875
43,-391.45220947265625
44,-390.2569885253906
45,-366.2173767089844
46,-376.0039978027344
47,-377.71673583984375
48,-382.8172607421875
49,-362.8389892578125
50,-417.53814697265625
51,-363.37847900390625
52,-367.61053466796875
53,-372.1851501464844
54,-376.544921875
55,-373.302978515625
56,-363.43115234375
57,-366.91949462890625
58,-377.70489501953125
59,-371.794189453125
60,-378.78802490234375
61,-367.572998046875
62,-368.4915771484375
63,-362.4196472167969
64,-363.42950439453125
65,-366.58929443359375
66,-371.5823974609375
67,-371.8273620605469
68,-378.9896240234375
69,-375.8816833496094
70,-368.67327880859375
71,-376.07965087890625
72,-378.4874572753906
73,-372.2029113769531
74,-366.7623291015625
75,-371.6939697265625
76,-381.8950500488281
77,-377.90380859375
78,-373.17828369140625
79,-373.96099853515625
80,-374.16217041015625
81,-368.71478271484375
82,-374.19085693359375
83,-364.5079650878906
84,-368.39947509765625
85,-377.7881774902344
86,-369.702880859375
87,-373.2829284667969
88,-377.7492980957031
89,-382.91424560546875
90,-372.7071533203125
91,-377.2102355957031
92,-367.4783935546875
93,-378.66485595703125
94,-373.9034423828125
95,-362.4764404296875
96,-380.25152587890625
97,-387.8876647949219
98,-371.02044677734375
99,-370.14447021484375
100,-377.39801025390625
101,-385.43560791015625
102,-380.42742919921875
103,-376.57305908203125
104,-372.7825622558594
105,-380.58636474609375
106,-371.91192626953125
107,-371.73773193359375
108,-375.903076171875
109,-371.4713134765625
110,-381.173828125
111,-391.73101806640625
112,-362.1275634765625
113,-372.9803466796875
114,-380.76629638671875
115,-371.3907470703125
116,-368.04034423828125
117,-375.961669921875
118,-380.41534423828125
119,-366.39501953125
120,-377.28533935546875
121,-386.636962890625
122,-376.4360046386719
123,-367.374267578125
124,-377.1982421875
125,-367.5286865234375
126,-387.33148193359375
127,-386.172607421875
128,-374.7587890625
129,-371.73748779296875
130,-380.6990051269531
131,-377.461181640625
132,-380.5732116699219
133,-373.24066162109375
134,-372.8018798828125
135,-368.882568359375
136,-382.8704833984375
137,-368.600830078125
138,-367.35223388671875
139,-371.6968688964844
140,-367.27142333984375
141,-363.173095703125
142,-363.6020202636719
143,-377.308349609375
144,-371.8005065917969
145,-364.5941162109375
146,-377.1019287109375
147,-373.3212585449219
148,-372.8240966796875
149,-387.0330505371094
150,-362.4958801269531
151,-378.538330078125
152,-397.4750061035156
153,-392.10406494140625
154,-376.19183349609375
155,-397.09490966796875
156,-387.56427001953125
157,-386.78375244140625
158,-386.57891845703125
159,-363.3080749511719
160,-387.1371154785156
161,-381.7414245605469
162,-371.4609680175781
163,-382.3112487792969
164,-407.28363037109375
165,-386.9224548339844
166,-402.46136474609375
167,-378.7929382324219
168,-396.5732421875
169,-401.2243957519531
170,-376.5733642578125
171,-370.5371398925781
172,-371.5185241699219
173,-376.8765563964844
174,-377.0912780761719
175,-366.31866455078125
176,-371.7585144042969
177,-366.88922119140625
178,-381.4422912597656
179,-364.3973083496094
180,-370.98345947265625
181,-375.91534423828125
182,-371.61126708984375
183,-365.32379150390625
184,-366.46136474609375
185,-378.4480895996094
186,-367.0753173828125
187,-376.9787902832031
188,-375.86456298828125
189,-368.2530212402344
190,-377.2810363769531
191,-373.55389404296875
192,-379.056396484375
193,-378.8737487792969
194,-374.16864013671875
195,-382.549560546875
196,-388.85394287109375
197,-370.264892578125
198,-383.70159912109375
199,-378.02386474609375
200,-387.5062561035156
201,-373.12579345703125
202,-367.56475830078125
203,-378.6155700683594
204,-382.90484619140625
205,-369.3662109375
206,-388.49786376953125
207,-373.73162841796875
208,-374.17352294921875
209,-378.822998046875
210,-404.70623779296875
211,-382.7030334472656
212,-372.9798278808594
213,-374.14849853515625
214,-379.0885009765625
215,-388.945068359375
216,-376.8382873535156
217,-387.768310546875
218,-378.36895751953125
219,-385.485595703125
220,-386.3220520019531
221,-373.8869934082031
222,-378.2242126464844
223,-392.6517333984375
224,-397.5741271972656
225,-379.4917297363281
226,-383.2672424316406
227,-373.3084716796875
228,-378.5534362792969
229,-373.9540100097656
230,-379.10791015625
231,-368.9559326171875
232,-378.537353515625
233,-368.0379638671875
234,-378.1748046875
235,-373.20684814453125
236,-368.9895324707031
237,-378.99395751953125
238,-375.7770690917969
239,-378.45123291015625
240,-374.1812744140625
241,-388.52752685546875
242,-373.95172119140625
243,-378.4275817871094
244,-387.6934814453125
245,-380.03179931640625
246,-374.2861328125
247,-375.41845703125
248,-375.44488525390625
249,-374.2029113769531
250,-369.192138671875
251,-372.927001953125
252,-373.41253662109375
253,-375.5498046875
254,-373.06378173828125
255,-374.77435302734375
256,-378.2151794433594
257,-379.3901672363281
258,-368.3175048828125
259,-368.9540100097656
260,-384.1775817871094
261,-378.59918212890625
262,-384.5043029785156
263,-368.9615478515625
264,-400.08544921875
265,-369.48980712890625
266,-382.55621337890625
267,-382.6583251953125
268,-392.6759948730469
269,-377.01123046875
270,-373.2447509765625
271,-392.80645751953125
272,-387.57952880859375
273,-383.3844299316406
274,-377.1335144042969
275,-386.923828125
276,-377.9440612792969
277,-387.69512939453125
278,-392.42218017578125
279,-384.02337646484375
280,-381.51751708984375
281,-387.55169677734375
282,-372.968994140625
283,-377.24884033203125
284,-373.6014404296875
285,-373.4156799316406
286,-383.0174560546875
287,-386.744384765625
288,-378.72393798828125
289,-378.26220703125
290,-373.65673828125
291,-382.0108642578125
292,-377.78314208984375
293,-382.7855224609375
294,-392.3042907714844
295,-383.00555419921875
296,-377.8868713378906
297,-379.2523193359375
298,-378.5295104980469
299,-373.71173095703125
300,-373.60736083984375
301,-377.5620422363281
302,-386.85455322265625
303,-383.6825256347656
304,-375.81341552734375
305,-372.1551513671875
306,-385.42193603515625
307,-368.29345703125
308,-385.81378173828125
309,-372.68206787109375
310,-385.8649597167969
311,-372.0727844238281
312,-371.6742248535156
313,-368.8466796875
314,-380.5648193359375
315,-383.7541198730469
316,-373.7333679199219
317,-372.95458984375
318,-372.57366943359375
319,-373.127685546875
320,-373.7760009765625
321,-372.369140625
322,-372.25799560546875
323,-377.65887451171875
324,-373.0645751953125
325,-406.35382080078125
326,-376.9280700683594
327,-376.884033203125
328,-376.5531921386719
329,-372.86029052734375
330,-377.9657287597656
331,-372.25103759765625
332,-386.227783203125
333,-380.98095703125
334,-377.1744689941406
335,-371.97735595703125
336,-400.624267578125
337,-381.1545104980469
338,-395.6294250488281
339,-377.50225830078125
340,-383.7618408203125
341,-397.03546142578125
