,log_likelihood
816,-3234.689208984375
817,-3241.6025390625
818,-3237.331298828125
819,-3238.16015625
820,-3238.48291015625
821,-3237.791015625
822,-3238.6982421875
823,-3238.951171875
824,-3237.8828125
825,-3243.043212890625
826,-3238.32763671875
827,-3237.968505859375
828,-3243.16162109375
829,-3237.433349609375
830,-3236.3349609375
831,-3238.446533203125
832,-3238.31396484375
833,-3237.990966796875
834,-3241.311767578125
835,-3238.15576171875
836,-3240.366455078125
837,-3238.33935546875
838,-3237.41552734375
839,-3237.833251953125
840,-3237.13671875
841,-3241.87158203125
842,-3240.61328125
843,-3237.77294921875
844,-3239.83740234375
845,-3241.33935546875
846,-3237.693359375
847,-3238.21337890625
848,-3237.13134765625
849,-3238.375732421875
850,-3239.92236328125
851,-3239.818359375
852,-3237.838134765625
853,-3236.8173828125
854,-3234.087646484375
855,-3238.376220703125
856,-3240.017578125
857,-3240.63623046875
858,-3237.75341796875
859,-3238.321044921875
860,-3240.028564453125
861,-3236.38134765625
862,-3237.06982421875
863,-3239.13671875
864,-3239.479736328125
865,-3238.724853515625
866,-3239.441162109375
867,-3237.17822265625
868,-3239.503173828125
869,-3236.6083984375
870,-3236.935546875
871,-3237.892333984375
872,-3235.296875
873,-3237.637939453125
874,-3237.3583984375
875,-3238.133056640625
876,-3239.50927734375
877,-3242.110107421875
878,-3239.20849609375
879,-3240.564697265625
880,-3237.18701171875
881,-3241.330810546875
882,-3239.9375
883,-3240.2822265625
884,-3239.2099609375
885,-3241.96826171875
886,-3238.033203125
887,-3244.1689453125
888,-3236.884765625
889,-3240.449462890625
890,-3237.240234375
891,-3239.94384765625
892,-3238.03271484375
893,-3239.9228515625
894,-3240.05517578125
895,-3237.45654296875
896,-3241.144287109375
897,-3238.568115234375
898,-3240.759765625
899,-3237.670166015625
900,-3236.951171875
901,-3236.967041015625
902,-3238.5361328125
903,-3239.41015625
904,-3237.63037109375
905,-3237.935302734375
906,-3237.999755859375
907,-3238.5517578125
908,-3237.0419921875
909,-3240.06103515625
910,-3238.2412109375
911,-3237.720703125
912,-3238.00634765625
913,-3238.228271484375
914,-3240.382568359375
915,-3236.254638671875
916,-3235.88623046875
917,-3238.10595703125
918,-3239.02978515625
919,-3237.0703125
920,-3238.005615234375
921,-3241.016357421875
922,-3240.642578125
923,-3236.65087890625
924,-3240.52587890625
925,-3241.008544921875
926,-3236.22607421875
927,-3236.928466796875
928,-3236.77880859375
929,-3238.91796875
930,-3237.441162109375
931,-3242.182373046875
932,-3238.40478515625
933,-3238.17138671875
934,-3236.3173828125
935,-3237.41357421875
936,-3241.6318359375
937,-3236.931884765625
938,-3238.4736328125
939,-3238.517578125
940,-3238.7890625
941,-3239.8330078125
