,log_likelihood
0,-2221.4111328125
1,-2220.349365234375
2,-2222.843017578125
3,-2220.53271484375
4,-2221.140380859375
5,-2222.129150390625
6,-2222.93115234375
7,-2220.03955078125
8,-2222.364990234375
9,-2221.107421875
10,-2221.452880859375
11,-2220.8505859375
12,-2222.00341796875
13,-2219.830078125
14,-2220.201416015625
15,-2222.637939453125
16,-2221.3681640625
17,-2220.3974609375
18,-2220.37890625
19,-2221.97216796875
20,-2221.38720703125
21,-2220.503662109375
22,-2220.8681640625
23,-2220.1015625
24,-2220.85595703125
25,-2221.997802734375
26,-2221.26171875
27,-2220.458984375
28,-2221.34814453125
29,-2219.9423828125
30,-2223.665771484375
31,-2221.163330078125
32,-2220.779296875
33,-2222.189208984375
34,-2219.13525390625
35,-2221.27685546875
36,-2220.518310546875
37,-2220.337890625
38,-2221.29296875
39,-2221.40673828125
40,-2220.75927734375
41,-2219.84814453125
42,-2220.9833984375
43,-2220.627197265625
44,-2222.533935546875
45,-2219.034912109375
46,-2222.3369140625
47,-2222.4921875
48,-2220.529052734375
49,-2222.67626953125
50,-2221.767822265625
51,-2221.27490234375
52,-2221.6689453125
53,-2222.990966796875
54,-2220.74658203125
55,-2220.47802734375
56,-2221.90869140625
57,-2223.784423828125
58,-2226.9287109375
59,-2221.6240234375
60,-2221.185546875
61,-2220.509033203125
62,-2220.48583984375
63,-2220.443359375
64,-2219.42236328125
65,-2219.845947265625
66,-2222.63525390625
67,-2222.045166015625
68,-2220.67724609375
69,-2221.722412109375
70,-2220.9736328125
71,-2222.01953125
72,-2221.168701171875
73,-2220.987060546875
74,-2220.3779296875
75,-2222.75634765625
76,-2225.4599609375
77,-2221.309814453125
78,-2221.022705078125
79,-2221.904541015625
80,-2219.317138671875
81,-2224.4677734375
82,-2221.32373046875
83,-2221.3544921875
84,-2220.212890625
85,-2224.67138671875
86,-2222.65625
87,-2221.517578125
88,-2221.1591796875
89,-2222.40234375
90,-2222.435302734375
91,-2221.827880859375
92,-2220.17041015625
93,-2221.849609375
94,-2220.1669921875
95,-2220.840576171875
96,-2221.551513671875
97,-2221.05419921875
98,-2220.732177734375
99,-2222.815185546875
100,-2221.547119140625
101,-2222.13232421875
102,-2224.7587890625
103,-2223.48876953125
104,-2223.60205078125
105,-2222.22607421875
106,-2220.49755859375
107,-2220.875244140625
108,-2221.2021484375
109,-2221.0224609375
110,-2223.2119140625
111,-2221.309814453125
112,-2219.6923828125
113,-2220.977783203125
114,-2218.90283203125
115,-2221.845458984375
116,-2223.97265625
117,-2218.981689453125
118,-2220.958740234375
119,-2221.54833984375
120,-2226.5693359375
121,-2220.2041015625
122,-2219.45263671875
123,-2220.42333984375
124,-2223.3525390625
125,-2221.48046875
