,log_likelihood
1364,-2876.6376953125
1365,-2876.908203125
1366,-2878.6787109375
1367,-2875.326171875
1368,-2876.91455078125
1369,-2879.166259765625
1370,-2875.873779296875
1371,-2875.044677734375
1372,-2877.1171875
1373,-2877.1787109375
1374,-2878.97607421875
1375,-2874.21044921875
1376,-2875.82666015625
1377,-2877.4130859375
1378,-2877.190185546875
1379,-2877.86962890625
1380,-2875.495849609375
1381,-2880.921875
1382,-2878.92919921875
1383,-2878.81689453125
1384,-2876.7041015625
1385,-2875.97705078125
1386,-2876.9091796875
1387,-2882.964599609375
1388,-2876.986328125
1389,-2878.353515625
1390,-2876.31884765625
1391,-2880.0322265625
1392,-2881.71337890625
1393,-2878.644287109375
1394,-2877.150634765625
1395,-2874.84130859375
1396,-2876.927978515625
1397,-2881.036865234375
1398,-2876.767578125
1399,-2873.0478515625
1400,-2878.248779296875
1401,-2879.876953125
1402,-2877.60498046875
1403,-2875.32080078125
1404,-2875.59033203125
1405,-2877.03662109375
1406,-2875.9541015625
1407,-2877.15283203125
1408,-2879.1298828125
1409,-2875.7529296875
1410,-2874.94091796875
1411,-2875.038818359375
1412,-2877.453125
1413,-2874.814453125
1414,-2879.90625
1415,-2876.13134765625
1416,-2878.17333984375
1417,-2879.70263671875
1418,-2877.20947265625
1419,-2875.7724609375
1420,-2878.819580078125
1421,-2879.7998046875
1422,-2877.26953125
1423,-2878.121826171875
1424,-2874.2958984375
1425,-2875.692138671875
1426,-2878.6220703125
1427,-2875.75
1428,-2878.54638671875
1429,-2876.706787109375
1430,-2875.48583984375
1431,-2877.562255859375
1432,-2877.93603515625
1433,-2874.24609375
1434,-2878.69775390625
1435,-2878.400146484375
1436,-2876.81298828125
1437,-2876.443359375
1438,-2878.21142578125
1439,-2876.45654296875
1440,-2882.876220703125
1441,-2876.651611328125
1442,-2876.1103515625
1443,-2880.341796875
1444,-2880.09521484375
1445,-2878.8779296875
1446,-2875.05224609375
1447,-2878.2294921875
1448,-2876.208984375
1449,-2879.177734375
1450,-2877.257568359375
1451,-2876.339111328125
1452,-2876.291748046875
1453,-2877.81298828125
1454,-2876.986328125
1455,-2874.880126953125
1456,-2879.7119140625
1457,-2875.998291015625
1458,-2876.87744140625
1459,-2873.4521484375
1460,-2878.67236328125
1461,-2878.1005859375
1462,-2877.667724609375
1463,-2877.405517578125
1464,-2876.04248046875
1465,-2877.749755859375
1466,-2878.1845703125
1467,-2877.40869140625
1468,-2875.43017578125
1469,-2876.93994140625
1470,-2878.5244140625
1471,-2880.365234375
1472,-2874.89599609375
1473,-2873.99951171875
1474,-2873.833984375
1475,-2879.09130859375
1476,-2875.2744140625
1477,-2880.49169921875
1478,-2878.879150390625
1479,-2876.955078125
1480,-2875.4970703125
1481,-2874.77001953125
1482,-2879.58056640625
1483,-2877.5908203125
1484,-2876.6953125
1485,-2879.61767578125
1486,-2878.8720703125
1487,-2877.62060546875
1488,-2878.6416015625
1489,-2876.24560546875
