,log_likelihood
504,-1820.108154296875
505,-1818.923095703125
506,-1822.56689453125
507,-1820.343505859375
508,-1820.091064453125
509,-1820.810546875
510,-1819.240966796875
511,-1820.844482421875
512,-1821.437255859375
513,-1819.32275390625
514,-1820.6304931640625
515,-1821.638916015625
516,-1821.1202392578125
517,-1820.122314453125
518,-1819.1895751953125
519,-1820.7978515625
520,-1820.1536865234375
521,-1820.824951171875
522,-1819.0328369140625
523,-1820.4664306640625
524,-1821.4453125
525,-1820.7685546875
526,-1821.5421142578125
527,-1820.4501953125
528,-1820.40673828125
529,-1820.43994140625
530,-1820.615478515625
531,-1819.8251953125
532,-1822.75048828125
533,-1820.99267578125
534,-1820.371826171875
535,-1821.413818359375
536,-1820.534912109375
537,-1821.4931640625
538,-1820.7080078125
539,-1821.4730224609375
540,-1820.59521484375
541,-1821.25537109375
542,-1821.265625
543,-1820.714111328125
544,-1819.092041015625
545,-1819.6591796875
546,-1821.441650390625
547,-1820.23388671875
548,-1820.479736328125
549,-1819.5364990234375
550,-1819.7657470703125
551,-1820.739990234375
552,-1818.949462890625
553,-1822.258056640625
554,-1820.052001953125
555,-1820.2135009765625
556,-1822.771240234375
557,-1821.73681640625
558,-1820.83740234375
559,-1820.468017578125
560,-1820.53271484375
561,-1820.98388671875
562,-1819.3875732421875
563,-1822.5316162109375
