,log_likelihood
378,-2813.468017578125
379,-2812.882080078125
380,-2812.2744140625
381,-2810.37890625
382,-2812.4638671875
383,-2814.791015625
384,-2813.383056640625
385,-2814.242919921875
386,-2813.21533203125
387,-2812.093994140625
388,-2812.7822265625
389,-2813.80029296875
390,-2812.64404296875
391,-2812.728759765625
392,-2812.55908203125
393,-2813.889404296875
394,-2814.13134765625
395,-2812.426025390625
396,-2812.13232421875
397,-2813.045166015625
398,-2813.10888671875
399,-2813.4296875
400,-2814.8681640625
401,-2814.59619140625
402,-2813.1689453125
403,-2810.69482421875
404,-2813.1376953125
405,-2813.47021484375
406,-2811.957763671875
407,-2812.7607421875
408,-2813.03173828125
409,-2813.34326171875
410,-2814.166259765625
411,-2813.874755859375
412,-2811.8505859375
413,-2811.187255859375
414,-2812.062744140625
415,-2810.3916015625
416,-2812.782470703125
417,-2814.034912109375
418,-2811.93408203125
419,-2813.3046875
420,-2813.348876953125
421,-2811.9140625
422,-2811.96923828125
423,-2813.42724609375
424,-2813.02587890625
425,-2813.830078125
426,-2816.109375
427,-2813.923095703125
428,-2815.77490234375
429,-2813.755126953125
430,-2812.3359375
431,-2815.724609375
432,-2811.841064453125
433,-2811.95947265625
434,-2815.91845703125
435,-2812.978759765625
436,-2809.6083984375
437,-2812.66845703125
438,-2813.59033203125
439,-2813.304931640625
440,-2814.34619140625
441,-2813.455810546875
442,-2810.73388671875
443,-2813.494873046875
444,-2813.49853515625
445,-2813.980712890625
446,-2812.8603515625
447,-2812.30615234375
448,-2813.93896484375
449,-2814.271484375
450,-2812.88330078125
451,-2811.303466796875
452,-2814.07861328125
453,-2813.54052734375
454,-2812.38671875
455,-2811.32177734375
456,-2813.3369140625
457,-2807.377197265625
458,-2813.06884765625
459,-2814.529052734375
460,-2813.4169921875
461,-2812.89306640625
462,-2812.36767578125
463,-2812.01220703125
464,-2812.95166015625
465,-2812.420654296875
466,-2812.0458984375
467,-2815.40283203125
468,-2807.59912109375
469,-2812.87890625
470,-2811.2255859375
471,-2812.8720703125
472,-2812.614013671875
473,-2813.677490234375
474,-2813.47265625
475,-2809.79248046875
476,-2809.006103515625
477,-2813.521484375
478,-2806.29248046875
479,-2811.6103515625
480,-2812.15087890625
481,-2814.1826171875
482,-2814.9658203125
483,-2812.883544921875
484,-2813.26953125
485,-2811.7060546875
486,-2813.69091796875
487,-2815.071533203125
488,-2812.49560546875
489,-2811.492431640625
490,-2813.883056640625
491,-2813.61181640625
492,-2812.66162109375
493,-2813.35302734375
494,-2811.52587890625
495,-2812.87109375
496,-2814.143310546875
497,-2813.613525390625
498,-2813.177734375
499,-2814.720703125
500,-2812.59912109375
501,-2811.767578125
502,-2809.10595703125
503,-2814.462890625
