,log_likelihood
1490,-1184.0255126953125
1491,-1183.214111328125
1492,-1182.466796875
1493,-1180.5113525390625
1494,-1181.13232421875
1495,-1183.391845703125
1496,-1183.1085205078125
1497,-1183.3397216796875
1498,-1180.7342529296875
1499,-1180.463623046875
1500,-1180.8262939453125
1501,-1183.61083984375
1502,-1181.952392578125
1503,-1183.0595703125
1504,-1181.57958984375
1505,-1183.088134765625
1506,-1180.67919921875
1507,-1182.126953125
1508,-1182.54296875
1509,-1181.7308349609375
1510,-1178.8944091796875
1511,-1181.159423828125
1512,-1181.34619140625
1513,-1181.078857421875
1514,-1182.7987060546875
1515,-1179.2379150390625
1516,-1179.15087890625
1517,-1180.771240234375
1518,-1181.0333251953125
1519,-1182.111572265625
1520,-1181.169189453125
1521,-1182.159423828125
1522,-1182.254638671875
1523,-1180.96337890625
1524,-1181.998291015625
1525,-1180.290283203125
1526,-1183.6214599609375
1527,-1182.628173828125
1528,-1181.35009765625
1529,-1183.349853515625
1530,-1182.6737060546875
1531,-1181.6767578125
1532,-1183.469482421875
1533,-1181.08984375
1534,-1180.0863037109375
1535,-1183.9891357421875
1536,-1181.6826171875
1537,-1181.1478271484375
1538,-1182.891845703125
1539,-1182.0400390625
1540,-1179.6566162109375
1541,-1181.5205078125
1542,-1180.903564453125
1543,-1180.7132568359375
1544,-1181.4520263671875
1545,-1181.194580078125
1546,-1182.994384765625
1547,-1181.570068359375
1548,-1178.92724609375
1549,-1182.989501953125
1550,-1181.0260009765625
1551,-1183.952392578125
1552,-1180.7427978515625
1553,-1179.816650390625
1554,-1180.41162109375
1555,-1181.57080078125
1556,-1183.331298828125
1557,-1180.9119873046875
1558,-1180.273681640625
1559,-1178.79736328125
1560,-1180.9967041015625
1561,-1181.6844482421875
1562,-1183.357666015625
1563,-1182.0936279296875
1564,-1181.690673828125
1565,-1183.63671875
1566,-1181.4649658203125
1567,-1181.411376953125
1568,-1183.44970703125
1569,-1179.7467041015625
1570,-1181.1005859375
1571,-1179.2017822265625
1572,-1182.3089599609375
1573,-1180.784912109375
1574,-1183.117431640625
1575,-1180.16064453125
1576,-1183.3397216796875
1577,-1182.7462158203125
1578,-1182.5986328125
1579,-1182.1258544921875
1580,-1180.375
1581,-1181.5802001953125
1582,-1180.854736328125
1583,-1181.083251953125
1584,-1180.65576171875
1585,-1185.37841796875
1586,-1181.09228515625
1587,-1181.682861328125
1588,-1181.41259765625
1589,-1180.741455078125
1590,-1180.3828125
1591,-1181.11865234375
1592,-1181.81884765625
1593,-1181.4742431640625
1594,-1181.656005859375
1595,-1182.0933837890625
1596,-1181.297119140625
1597,-1181.4383544921875
1598,-1183.5517578125
1599,-1179.3709716796875
1600,-1179.9779052734375
1601,-1181.5592041015625
1602,-1182.767822265625
1603,-1182.760498046875
1604,-1182.10107421875
1605,-1182.544189453125
1606,-1181.9931640625
1607,-1181.66650390625
1608,-1179.9202880859375
1609,-1178.984375
1610,-1180.425537109375
1611,-1182.15234375
1612,-1182.0555419921875
1613,-1183.691162109375
1614,-1181.2962646484375
1615,-1179.694091796875
