,log_likelihood
1742,-2969.3828125
1743,-2972.0087890625
1744,-2970.62060546875
1745,-2968.46337890625
1746,-2968.4345703125
1747,-2969.572265625
1748,-2970.55859375
1749,-2969.461181640625
1750,-2968.90966796875
1751,-2966.2734375
1752,-2970.680419921875
1753,-2970.20166015625
1754,-2972.73388671875
1755,-2968.353271484375
1756,-2969.260986328125
1757,-2963.55859375
1758,-2972.99951171875
1759,-2966.397705078125
1760,-2967.929443359375
1761,-2970.19140625
1762,-2971.369873046875
1763,-2972.40087890625
1764,-2969.74609375
1765,-2969.2900390625
1766,-2968.42529296875
1767,-2969.075439453125
1768,-2970.22607421875
1769,-2970.44091796875
1770,-2974.03955078125
1771,-2971.6083984375
1772,-2969.47216796875
1773,-2972.44287109375
1774,-2967.66748046875
1775,-2970.79931640625
1776,-2969.143798828125
1777,-2975.722412109375
1778,-2969.458984375
1779,-2969.703125
1780,-2969.705078125
1781,-2972.5732421875
1782,-2969.338134765625
1783,-2968.53759765625
1784,-2968.84814453125
1785,-2969.95849609375
1786,-2969.459228515625
1787,-2969.82666015625
1788,-2968.595458984375
1789,-2971.04638671875
1790,-2971.142822265625
1791,-2969.05029296875
1792,-2969.11376953125
1793,-2970.34619140625
1794,-2971.811767578125
1795,-2971.50146484375
1796,-2970.5625
1797,-2969.7783203125
1798,-2969.5361328125
1799,-2970.16650390625
1800,-2974.61474609375
1801,-2973.62939453125
1802,-2967.3642578125
1803,-2971.6689453125
1804,-2971.035888671875
1805,-2969.27734375
1806,-2972.954345703125
1807,-2971.087890625
1808,-2968.040283203125
1809,-2968.289794921875
1810,-2968.01025390625
1811,-2970.7900390625
1812,-2969.451416015625
1813,-2970.19873046875
1814,-2971.188720703125
1815,-2970.3310546875
1816,-2967.8564453125
1817,-2970.470947265625
1818,-2970.33740234375
1819,-2970.368896484375
1820,-2970.34423828125
1821,-2970.82080078125
1822,-2970.215087890625
1823,-2973.022216796875
1824,-2969.155029296875
1825,-2969.44580078125
1826,-2969.7744140625
1827,-2969.596923828125
1828,-2969.123046875
1829,-2971.98779296875
1830,-2970.14013671875
1831,-2974.638427734375
1832,-2968.532958984375
1833,-2969.986328125
1834,-2971.54638671875
1835,-2969.53662109375
1836,-2970.80419921875
1837,-2971.46826171875
1838,-2972.79638671875
1839,-2972.35888671875
1840,-2970.45361328125
1841,-2968.709716796875
1842,-2968.63037109375
1843,-2967.910400390625
1844,-2969.884521484375
1845,-2969.757568359375
1846,-2969.833740234375
1847,-2970.890869140625
1848,-2969.58642578125
1849,-2969.537109375
1850,-2969.4765625
1851,-2967.11181640625
1852,-2971.75634765625
1853,-2970.586669921875
1854,-2968.3173828125
1855,-2967.87890625
1856,-2971.240966796875
1857,-2970.882080078125
1858,-2968.805419921875
1859,-2967.81005859375
1860,-2969.191162109375
1861,-2969.718505859375
1862,-2968.13232421875
1863,-2971.94775390625
1864,-2968.6943359375
1865,-2969.27783203125
1866,-2969.119384765625
1867,-2969.326171875
