file,perplexity
0,4.8919973
1,5.252134
10,4.811534
100,4.9792466
101,5.1235
102,5.1188626
103,4.960493
104,5.1812725
105,5.28848
106,5.292533
107,5.1027145
108,5.123393
109,4.975883
11,5.3336587
110,5.1429715
111,4.966268
112,5.1126246
113,4.957482
114,5.157766
115,4.9294877
116,4.9109597
117,5.2264466
118,5.12739
119,4.921622
12,5.125831
120,5.12979
121,4.8787704
122,5.204497
123,5.228234
124,4.944333
125,4.984828
126,4.8464284
127,5.254117
128,5.11272
129,5.167547
13,4.8776736
130,5.031793
131,5.3401365
132,5.3151445
133,5.2583084
134,5.2976522
135,5.180924
136,4.9870744
137,5.2817554
138,4.887293
139,4.883604
14,4.8386045
140,4.9044075
141,5.1920385
142,4.9808693
143,5.0198717
144,5.263666
145,4.836225
146,5.176799
147,5.218836
148,5.3013377
149,5.1191864
15,5.3157797
150,5.0613694
151,5.147296
152,5.1561184
153,4.8324347
154,4.9629636
155,4.808093
156,5.28339
157,5.246435
158,4.9590187
159,5.0225344
16,4.8809204
160,4.9257255
161,5.1936088
162,5.115789
163,4.971853
164,5.26528
165,4.984503
166,4.9656677
167,5.1833754
168,4.9556975
169,4.96518
17,4.816029
170,5.29156
171,4.9093494
172,4.8614326
173,5.12983
174,5.1320558
175,5.2328095
176,5.2116904
177,5.298689
178,4.9307756
179,4.9200177
18,5.205374
180,4.864809
181,4.91098
182,4.972538
183,5.0490346
184,5.1387277
185,5.2703547
186,5.1042213
187,4.7824445
188,5.259556
189,5.204047
19,4.987343
190,5.1745505
191,5.304449
192,4.9047318
193,5.2030888
194,5.1874876
195,4.9999375
196,5.148282
197,4.9112267
198,4.915958
199,5.073033
2,4.9135904
20,4.888201
200,5.214917
201,5.106966
202,4.8641925
203,5.0954833
204,5.152882
205,4.9522533
206,5.2050405
207,5.224986
208,5.1145725
209,4.9264803
21,4.968914
210,4.9191313
211,5.2589145
212,5.1977406
213,4.903213
214,4.9782667
215,5.1412263
216,5.128708
217,4.9705744
218,5.057633
219,5.3149257
22,5.352816
220,5.006992
221,4.9734483
222,4.9636965
223,4.9202843
224,5.1248903
225,5.2113795
226,5.1725264
227,4.900713
228,4.9521027
229,5.289775
23,5.1467266
230,5.003525
231,5.1812453
232,4.990675
233,4.9879704
234,4.9860883
235,5.1516056
236,5.284312
237,4.8425536
238,4.968774
239,5.2572603
24,4.897641
240,5.155451
241,5.1552634
242,5.2773743
243,4.804034
244,4.9775643
245,4.938539
246,4.9155693
247,5.299482
248,4.798283
249,5.2750263
25,4.839791
250,4.956588
251,5.366946
252,5.147645
253,4.7948203
254,5.0909863
255,4.981465
256,5.152279
257,5.272462
258,4.9706717
259,5.270165
26,5.288648
260,4.9644413
261,5.227977
262,5.3413534
263,5.0949597
264,5.0942225
265,5.279997
266,5.1203575
267,4.8028607
268,4.8953285
269,5.1055617
27,4.9793453
270,4.789474
271,4.7081623
272,5.14308
273,5.272054
274,4.930274
275,4.818947
276,4.906254
277,4.937182
278,5.119721
279,4.914475
28,5.056026
280,5.1662045
281,5.1381736
282,4.806181
283,5.2061586
284,5.2623286
285,5.2918534
286,5.105815
287,4.96669
288,5.1727114
289,5.1218667
29,4.793102
290,4.955018
291,5.020952
292,4.8855844
293,5.2885013
294,5.1099973
295,4.852319
296,4.817298
297,5.3491087
298,5.116891
299,5.130829
3,4.990183
30,4.8294826
300,4.939362
301,4.9923778
302,5.2681575
303,4.982936
304,5.1176143
305,4.8516407
306,4.9851704
307,4.962483
308,5.1257176
309,5.130713
31,4.9706125
310,5.241745
311,5.104091
312,4.972499
313,5.087092
314,4.8349943
315,4.8429065
316,4.920101
317,4.968597
318,4.9657235
319,5.264358
32,4.9619403
320,5.2791786
321,5.1951632
322,4.9388313
323,5.298148
324,4.8398376
325,5.126146
326,5.2742634
327,5.16001
328,4.8254457
329,5.241144
33,4.8252172
330,5.131572
331,4.861017
332,5.1584954
333,5.2669992
334,5.2976522
335,4.936436
336,5.1071925
337,4.956186
338,4.8291106
339,5.1529827
34,5.132005
340,4.895568
341,4.8739915
342,5.17843
343,4.88096
344,5.295582
345,5.2121525
346,5.106346
347,5.207742
348,5.1442533
349,5.0783906
35,5.128388
350,4.9632998
351,5.1699996
352,5.123443
353,4.906878
354,5.3486485
355,4.928781
356,4.808543
357,5.154237
358,5.118166
359,5.1807375
36,4.9683256
360,5.143424
361,4.9203787
362,5.1320386
363,4.8687186
364,4.9745703
365,5.2170563
366,5.1604056
367,5.2168536
368,4.8272
37,5.1086555
38,5.1577907
39,4.8820696
4,5.2560377
40,5.110171
41,4.8209834
42,4.8066
43,4.862981
44,5.260683
45,5.162358
46,5.1745505
47,4.9899426
48,4.895962
49,5.1156993
5,5.0673637
50,5.264323
51,5.2822957
52,5.1897097
53,5.1170874
54,5.3035564
55,4.9227095
56,5.1340446
57,4.908418
58,5.2529874
59,4.8943925
6,5.121536
60,4.893844
61,5.140897
62,5.2849007
63,5.2532105
64,4.851837
65,5.1397667
66,4.7854834
67,4.940228
68,5.23769
69,5.224553
7,4.913903
70,4.993188
71,5.2738037
72,5.211344
73,5.054151
74,4.9496617
75,5.130164
76,4.9721107
77,4.9119325
78,5.2238765
79,5.1152515
8,5.158211
80,5.014003
81,5.1905313
82,5.132058
83,5.1396046
84,5.2212334
85,5.0589366
86,5.2460713
87,5.2458444
88,5.301634
89,5.132351
9,5.2633443
90,4.858403
91,4.8143024
92,4.898656
93,5.153543
94,5.148434
95,4.8476553
96,4.7981505
97,5.131112
98,5.3012204
99,5.1984324
