file,perplexity
0,2.1330838
1,2.1464248
10,2.1778686
100,2.1563842
101,2.160132
102,2.156877
103,2.1614559
104,2.1889102
105,2.1542299
106,2.1456273
107,2.184416
108,2.1568058
109,2.1402633
11,2.1694055
110,2.1578186
111,2.1565983
112,2.1574595
113,2.161234
114,2.1462812
115,2.1656573
116,2.1374362
117,2.1913636
118,2.1589868
119,2.1724572
12,2.1604884
120,2.1571524
121,2.1638687
122,2.1837683
123,2.1406832
124,2.1609738
125,2.1592317
126,2.169443
127,2.1884303
128,2.1562347
129,2.1480281
13,2.16381
130,2.1592598
131,2.1134932
132,2.1818805
133,2.1629708
134,2.1565194
135,2.149585
136,2.169269
137,2.1530793
138,2.1638634
139,2.1627438
14,2.1379702
140,2.183422
141,2.136458
142,2.1567478
143,2.1586118
144,2.1446233
145,2.1418083
146,2.1492004
147,2.1861234
148,2.1406431
149,2.15472
15,2.1781673
150,2.1324315
151,2.1404097
152,2.1452932
153,2.154842
154,2.1407247
155,2.1667871
156,2.154536
157,2.1479745
158,2.1560442
159,2.1696627
16,2.163758
160,2.1680431
161,2.1504607
162,2.1575582
163,2.160593
164,2.1500099
165,2.1583028
166,2.1550238
167,2.177944
168,2.1464326
169,2.1418989
17,2.1719325
170,2.1443295
171,2.1623423
172,2.1546903
173,2.1608083
174,2.1630473
175,2.1865177
176,2.1344552
177,2.1559815
178,2.136257
179,2.164589
18,2.1478205
180,2.1624289
181,2.1994717
182,2.1608057
183,2.14699
184,2.1552916
185,2.1525137
186,2.1513927
187,2.1620543
188,2.148804
189,2.135342
19,2.180905
190,2.141006
191,2.155213
192,2.1389143
193,2.1489348
194,2.1339915
195,2.1607914
196,2.1412344
197,2.1687064
198,2.165863
199,2.1420658
2,2.1627848
20,2.1739056
200,2.126733
201,2.1545904
202,2.175407
203,2.180794
204,2.1392295
205,2.1778233
206,2.184055
207,2.1843596
208,2.1591144
209,2.1652143
21,2.1757798
210,2.1636112
211,2.1468413
212,2.121552
213,2.1647668
214,2.1589558
215,2.158622
216,2.1648777
217,2.156428
218,2.1740928
219,2.1548479
22,2.1811373
220,2.1598623
221,2.157353
222,2.1578786
223,2.1607084
224,2.1505518
225,2.185037
226,2.186459
227,2.1622005
228,2.175107
229,2.1466074
23,2.14104
230,2.159305
231,2.143573
232,2.1628098
233,2.1568115
234,2.15779
235,2.1448102
236,2.1479871
237,2.1952777
238,2.1575131
239,2.1515243
24,2.1618416
240,2.1462157
241,2.1452832
242,2.1496823
243,2.181456
244,2.1571116
245,2.1584592
246,2.1614144
247,2.156439
248,2.1555161
249,2.1467597
25,2.1267686
250,2.1437335
251,2.177999
252,2.1672409
253,2.15705
254,2.1585262
255,2.1630902
256,2.1458726
257,2.1469977
258,2.1873133
259,2.182371
26,2.1544785
260,2.1633465
261,2.1438186
262,2.1832337
263,2.1568518
264,2.177229
265,2.179565
266,2.1416929
267,2.1697576
268,2.1367955
269,2.1595008
27,2.1588657
270,2.180077
271,2.175694
272,2.1503022
273,2.1482172
274,2.1758313
275,2.1578445
276,2.162922
277,2.158417
278,2.1504078
279,2.1631331
28,2.1604896
280,2.1456187
281,2.1587389
282,2.1799698
283,2.1345263
284,2.14906
285,2.1551666
286,2.1595058
287,2.1582832
288,2.186081
289,2.1556926
29,2.1930168
290,2.1608224
291,2.1592836
292,2.200479
293,2.1457322
294,2.1601229
295,2.173231
296,2.1899302
297,2.1990197
298,2.1621492
299,2.1499925
3,2.1554542
30,2.1409996
300,2.1432643
301,2.153422
302,2.1525946
303,2.1622276
304,2.154559
305,2.198004
306,2.1576002
307,2.1584184
308,2.1573603
309,2.154549
31,2.1411395
310,2.1469736
311,2.1580443
312,2.1621175
313,2.1867957
314,2.1442373
315,2.1388056
316,2.1648586
317,2.160307
318,2.160423
319,2.1793575
32,2.1585894
320,2.2061088
321,2.1491232
322,2.1593833
323,2.1571102
324,2.1394482
325,2.1583138
326,2.1829145
327,2.1735518
328,2.1379504
329,2.181219
33,2.1526415
330,2.1577697
331,2.163406
332,2.145953
333,2.1844506
334,2.1568525
335,2.1650288
336,2.1532533
337,2.1546187
338,2.1428587
339,2.1451943
34,2.1535702
340,2.163177
341,2.1928003
342,2.119618
343,2.1634693
344,2.1557853
345,2.1881654
346,2.157255
347,2.14707
348,2.1548834
349,2.140857
35,2.1563222
350,2.1571996
351,2.1854744
352,2.1610117
353,2.1626022
354,2.1825747
355,2.1754313
356,2.1724637
357,2.1452224
358,2.167965
359,2.128159
36,2.1585393
360,2.1457121
361,2.1609662
362,2.15896
363,2.1239285
364,2.16085
365,2.184812
366,2.1407888
367,2.185955
368,2.1394656
37,2.1560328
38,2.1487968
39,2.1797578
4,2.1473
40,2.1654444
41,2.12983
42,2.15763
43,2.199191
44,2.1487095
45,2.1471875
46,2.1418526
47,2.1523616
48,2.1348443
49,2.1596131
5,2.138699
50,2.1474605
51,2.1528811
52,2.1364815
53,2.1583967
54,2.1417181
55,2.1625304
56,2.1710932
57,2.1720366
58,2.1482842
59,2.1647243
6,2.155409
60,2.1370254
61,2.1838171
62,2.1499944
63,2.1460056
64,2.174513
65,2.1635735
66,2.1799927
67,2.1605022
68,2.1395679
69,2.1814125
7,2.1620786
70,2.158796
71,2.1352265
72,2.1314504
73,2.162108
74,2.1726463
75,2.1580188
76,2.1609938
77,2.1694362
78,2.184529
79,2.1535919
8,2.14073
80,2.1577852
81,2.150514
82,2.1511617
83,2.1581872
84,2.188452
85,2.2037706
86,2.149225
87,2.2055397
88,2.1750748
89,2.1549735
9,2.1486585
90,2.1734216
91,2.1584969
92,2.1874719
93,2.1399946
94,2.1459503
95,2.1371803
96,2.181273
97,2.1427178
98,2.154878
99,2.1492019
