file,perplexity
0,3.8248913
1,3.8269649
10,3.827934
100,3.8260324
101,3.824357
102,3.8238323
103,3.8261163
104,3.8274038
105,3.8273613
106,3.827705
107,3.826292
108,3.8239715
109,3.824095
11,3.8254018
110,3.8227568
111,3.8257592
112,3.8235538
113,3.8259485
114,3.825399
115,3.830945
116,3.8255167
117,3.8271422
118,3.8255777
119,3.825787
12,3.8254008
120,3.8237221
121,3.8287418
122,3.8264356
123,3.822174
124,3.8258376
125,3.825978
126,3.8235006
127,3.828028
128,3.82428
129,3.8261063
13,3.8282347
130,3.8270447
131,3.8203323
132,3.826354
133,3.825115
134,3.8275917
135,3.8253555
136,3.8254492
137,3.8268006
138,3.828692
139,3.8287957
14,3.8231492
140,3.8246467
141,3.8228707
142,3.8261647
143,3.8255239
144,3.8228192
145,3.8237185
146,3.8258564
147,3.8272715
148,3.823749
149,3.8244588
15,3.8285618
150,3.8228931
151,3.826482
152,3.8252544
153,3.8218367
154,3.824466
155,3.8251257
156,3.8271253
157,3.8247178
158,3.8263185
159,3.826989
16,3.8271687
160,3.8266714
161,3.8256552
162,3.8238242
163,3.8257365
164,3.8275895
165,3.8260233
166,3.8257976
167,3.827161
168,3.825056
169,3.8245704
17,3.824012
170,3.8222327
171,3.8273845
172,3.824477
173,3.825291
174,3.8261564
175,3.827176
176,3.8227558
177,3.8275146
178,3.8245049
179,3.8297994
18,3.826478
180,3.8286884
181,3.8217435
182,3.8243155
183,3.82152
184,3.8237288
185,3.8270612
186,3.8253264
187,3.8304472
188,3.8257406
189,3.8226907
19,3.825161
190,3.8265233
191,3.8269079
192,3.824436
193,3.825222
194,3.8225887
195,3.8247867
196,3.8264475
197,3.8263986
198,3.8271222
199,3.822194
2,3.8271458
20,3.828376
200,3.8226933
201,3.824213
202,3.8230958
203,3.8225083
204,3.8256693
205,3.825851
206,3.826718
207,3.8275032
208,3.8252316
209,3.827331
21,3.8226688
210,3.8286152
211,3.8267941
212,3.8237066
213,3.8274293
214,3.8260088
215,3.8244848
216,3.8236108
217,3.825971
218,3.8265564
219,3.8271282
22,3.8231058
220,3.825087
221,3.8258545
222,3.8260612
223,3.826436
224,3.8240361
225,3.826923
226,3.82677
227,3.8270888
228,3.8232102
229,3.8256617
23,3.8264434
230,3.8263452
231,3.8258364
232,3.8266313
233,3.825709
234,3.8277025
235,3.82546
236,3.8278282
237,3.8206446
238,3.8262336
239,3.825172
24,3.8267395
240,3.8255897
241,3.8254263
242,3.827723
243,3.8250785
244,3.8254688
245,3.8254893
246,3.826808
247,3.8281903
248,3.8290248
249,3.8255079
25,3.8227901
250,3.8275187
251,3.8258646
252,3.8225012
253,3.8297136
254,3.82627
255,3.8270543
256,3.8255434
257,3.826872
258,3.8229327
259,3.8276286
26,3.827213
260,3.8247607
261,3.8222623
262,3.8231547
263,3.8238096
264,3.8249311
265,3.8272176
266,3.8273823
267,3.8308563
268,3.826614
269,3.8224142
27,3.826297
270,3.825461
271,3.8245144
272,3.8238661
273,3.8256752
274,3.82399
275,3.8299856
276,3.8270373
277,3.8295858
278,3.824039
279,3.8266897
28,3.8256216
280,3.8276002
281,3.8234997
282,3.8252554
283,3.8234856
284,3.8271816
285,3.8276875
286,3.8234603
287,3.82639
288,3.827304
289,3.8230577
29,3.8239722
290,3.825994
291,3.8267243
292,3.8249617
293,3.8269885
294,3.82519
295,3.8254993
296,3.8220541
297,3.8238897
298,3.82433
299,3.8244643
3,3.8276267
30,3.8233902
300,3.8260803
301,3.8264015
302,3.8271081
303,3.8259919
304,3.8235612
305,3.8229618
306,3.825994
307,3.8256867
308,3.8235667
309,3.824147
31,3.824214
310,3.8282466
311,3.824486
312,3.826265
313,3.8249626
314,3.8230069
315,3.824313
316,3.8294108
317,3.8256307
318,3.8270767
319,3.8266752
32,3.8264704
320,3.825195
321,3.8237362
322,3.8304098
323,3.827755
324,3.823784
325,3.8234696
326,3.827723
327,3.8257082
328,3.8237243
329,3.8271775
33,3.825435
330,3.8237722
331,3.8284569
332,3.8256612
333,3.8282392
334,3.8267841
335,3.8307698
336,3.8257291
337,3.8231149
338,3.8238478
339,3.8250391
34,3.8244765
340,3.8266573
341,3.8220108
342,3.821194
343,3.8274627
344,3.8271422
345,3.8269124
346,3.8246243
347,3.8258996
348,3.8232267
349,3.8253534
35,3.8258061
350,3.826266
351,3.826904
352,3.8230298
353,3.828327
354,3.8226643
355,3.82589
356,3.8292396
357,3.825131
358,3.8246279
359,3.8203747
36,3.8260612
360,3.8260927
361,3.8312488
362,3.823775
363,3.825098
364,3.8265593
365,3.8270957
366,3.8265767
367,3.8271568
368,3.824103
37,3.8232093
38,3.8255978
39,3.8212693
4,3.8270288
40,3.8245063
41,3.824518
42,3.8298593
43,3.8232143
44,3.8274999
45,3.8248806
46,3.824518
47,3.825311
48,3.8251455
49,3.8251774
5,3.8230848
50,3.8267608
51,3.8267412
52,3.8226328
53,3.8236027
54,3.8218706
55,3.8270004
56,3.8253264
57,3.826859
58,3.8223102
59,3.8267326
6,3.8237867
60,3.82523
61,3.8260214
62,3.8275492
63,3.8271058
64,3.8254828
65,3.8225892
66,3.8256907
67,3.8256352
68,3.8229043
69,3.8281019
7,3.8271842
70,3.825821
71,3.82179
72,3.8229053
73,3.8257527
74,3.8240695
75,3.8232877
76,3.8267987
77,3.8266382
78,3.8274567
79,3.8231673
8,3.826829
80,3.8269284
81,3.8254538
82,3.82583
83,3.8242745
84,3.8275726
85,3.8195248
86,3.8254075
87,3.824234
88,3.8257625
89,3.8244734
9,3.8267367
90,3.825679
91,3.8302145
92,3.8211699
93,3.8266017
94,3.8256767
95,3.8235886
96,3.8319402
97,3.826407
98,3.8276606
99,3.825885
