file,perplexity
AB691131.1,2.7533493
AB691132.1,2.7496488
AB691133.1,2.7497075
AB700659.1,3.6535964
AB700660.1,3.676371
AB700661.1,3.641056
AB856424.1,3.6939216
AB856436.1,3.917494
AB856437.1,3.653349
AB856447.1,3.5258658
AB856456.1,3.1554253
AB856457.1,3.908203
AB856459.1,3.5909545
AB856460.1,2.9194734
AB856461.1,3.6811025
AB856470.1,3.4893
AB856471.1,3.8725343
AB856472.1,3.5622752
AB856476.1,3.6723394
AB856477.1,3.563472
AB856478.1,3.4767914
AB856479.1,3.5469003
AB856480.1,3.6160574
AB856481.1,3.6804843
AB860125.1,2.7115428
AB860126.1,2.7128026
AF324427.1,2.9401205
AF324428.1,2.9447632
AF447074.1,3.1260784
AF447077.1,3.1390705
AF447078.1,3.1371758
AF447080.1,3.1447172
AJ133757.1,3.5008314
AJ270565.1,3.5073717
AJ270569.1,3.5011938
AJ270572.1,3.5539036
AJ270573.1,3.470774
EU344811.1,3.3090472
EU344812.1,3.3316717
EU704683.1,2.7460785
EU814922.1,3.734834
FJ455787.1,3.6218884
FJ455788.1,3.5883348
FJ455789.1,3.8509758
FJ455790.1,3.9412785
FJ455791.1,3.577466
FJ455792.1,3.7198026
FJ455793.1,3.7179322
FJ593289.1,2.9953485
FJ655092.1,3.7582247
FJ655093.1,3.7672262
FJ655095.1,3.7592733
FJ655097.1,3.7825863
FJ655098.1,3.7631853
FJ655099.1,3.7575219
FJ655101.1,3.7397234
FJ655102.1,3.7439518
FJ655103.1,3.754965
FJ655104.1,3.7438996
FJ655105.1,3.6984956
FJ655106.1,3.7501357
FJ655107.1,3.7441406
FJ655110.1,3.7226102
FJ655111.1,3.7457125
FJ655112.1,3.7029474
FJ655113.1,3.7309878
FJ655114.1,3.7479715
FJ655115.1,3.6764069
FJ655116.1,3.7034314
FJ655117.1,3.7056892
FJ655118.1,3.6924229
FJ655119.1,3.707855
FJ655120.1,3.7183506
FJ655121.1,3.7109034
FJ655122.1,3.693642
FJ655123.1,3.6960857
FJ655124.1,3.7275882
FJ655125.1,3.7415028
FJ655126.1,3.783467
FJ655127.1,3.7833674
FJ655128.1,3.740115
FJ655129.1,3.7326667
FJ655130.1,3.7434282
FJ655131.1,3.729369
FJ655132.1,3.7554736
FJ655133.1,3.7678294
FJ655134.1,3.757685
FJ655135.1,3.7396932
FJ655136.1,3.7377205
FJ655137.1,3.772837
FJ655138.1,3.7710702
FJ655139.1,3.755398
FJ655140.1,3.7625756
FJ655141.1,3.7513688
FJ655142.1,3.7367043
FJ655143.1,3.705089
FJ655144.1,3.7316494
FJ655145.1,3.7206454
FJ655146.1,3.779953
FJ655147.1,3.7465055
FJ655148.1,3.7288394
FJ655149.1,3.723793
FJ655150.1,3.7458532
FJ655151.1,3.718705
FJ655152.1,3.7412539
FJ655153.1,3.7653272
FJ655154.1,3.7555327
FJ655156.1,3.7218583
FJ655157.1,3.7092662
FJ655158.1,3.747516
FJ655159.1,3.7307339
FJ655160.1,3.7029302
FJ655161.1,3.7259862
FJ711161.1,3.6114893
GQ999614.1,3.517702
GU057918.1,3.5200744
GU057920.1,3.5049608
GU057921.1,3.5175226
GU057922.1,3.513743
GU057924.1,3.4923866
GU057928.1,3.511437
GU057929.1,3.511283
GU057931.1,3.5117228
GU057934.1,3.5170484
GU057936.1,3.5104713
GU057941.1,3.5241172
GU057942.1,3.513986
GU057944.1,3.526199
GU057945.1,3.5107524
GU057947.1,3.5171852
GU057953.1,3.5136662
GU057956.1,3.5113711
GU057958.1,3.5190325
GU057962.1,3.515853
GU057964.1,3.497724
GU057966.1,3.5116026
GU057967.1,3.5135117
GU057968.1,3.5043137
GU057973.1,3.5067387
GU057978.1,3.5164204
GU057979.1,3.5104613
GU479980.1,3.8097317
GU937116.1,3.4354074
GU937117.1,3.4585094
GU937118.1,3.467188
GU937119.1,3.4839265
GU937120.1,3.4714856
GU937121.1,3.459883
GU937124.1,3.4721293
GU937125.1,3.4936028
GU937126.1,3.4586112
GU937128.1,3.4602585
GU937129.1,3.6071513
GU937130.1,3.4745655
GU937132.1,3.4379327
GU937133.1,3.4791298
GU937134.1,3.4684744
GU937135.1,3.4579508
GU937136.1,3.47822
GU937137.1,3.4426892
GU937138.1,3.4570613
GU937139.1,3.4785588
GU937141.1,3.4351788
GU937142.1,3.4469624
GU937143.1,3.4632862
GU937144.1,3.4535878
GU937145.1,3.4818215
GU937146.1,3.458263
GU937147.1,3.4525514
GU937148.1,3.455861
GU937149.1,3.466168
GU937151.1,3.4467661
GU937153.1,3.4806695
GU937154.1,3.4591205
GU937158.1,3.4537368
GU937159.1,3.4402072
GU937162.1,3.4642384
GU937163.1,3.4663985
GU937165.1,3.4662824
GU937166.1,3.4470367
GU937167.1,3.4857683
GU937168.1,3.4621997
GU937169.1,3.4562294
GU937171.1,3.429494
GU937172.1,3.4598134
GU937173.1,3.475535
GU937175.1,3.4956021
GU937176.1,3.46871
GU937177.1,3.4545348
GU937178.1,3.468404
GU937180.1,3.4756742
GU937182.1,3.456086
GU937183.1,3.4679909
GU937185.1,3.4401488
GU937187.1,3.4478116
GU937188.1,3.4751558
GU937189.1,3.4805064
GU937191.1,3.4352295
GU937193.1,3.4781208
GU937195.1,3.4901087
GU937196.1,3.4570544
GU937204.1,3.462806
GU937208.1,3.4524937
GU937209.1,3.468144
GU937210.1,3.448506
GU937212.1,3.4360824
GU937216.1,3.4378445
GU937217.1,3.4734557
GU937220.1,3.4690945
GU937223.1,3.4555395
GU937224.1,3.4514735
GU937226.1,3.6853623
GU979891.1,3.4133754
GU979892.1,3.4112542
GU979895.1,3.4218063
GU979898.1,3.1089888
GU979899.1,3.1136172
GU979900.1,3.1099539
GU979901.1,3.114565
GU979902.1,3.134572
GU979903.1,3.1297517
HM011303.1,3.1311421
HM011305.1,3.137591
HM011308.1,3.130277
HM011309.1,3.1222692
HM011310.1,3.1236005
HM011311.1,3.1247294
HM011312.1,3.1254148
HM011313.1,3.123119
HM011315.1,3.1397262
HM011316.1,3.1411738
HM011317.1,3.13964
HM011319.1,3.124413
HM011320.1,3.127021
HM011321.1,3.132399
HM011323.1,3.1320179
HM011325.1,3.1365814
