file,perplexity
AJ620210.1,3.0591538
GQ845441.1,3.0471401
GQ845445.1,3.0387952
GU117629.1,3.0480795
GU117630.1,3.0322893
GU117633.1,3.0280366
GU129016.1,3.063972
HM999990.1,3.0443377
HM999991.1,3.0759296
HM999993.1,3.147737
HM999994.1,3.0209093
HM999999.1,3.06858
JF906559.1,3.0450854
JN171845.1,3.105829
JX413105.1,3.1378298
JX413106.1,3.0999675
JX413108.1,3.1172926
JX413110.1,3.0142088
JX444072.1,3.1043594
KC108722.1,2.969179
KC862317.1,3.0275724
KF006398.1,3.1312902
KF006400.1,3.0746667
KJ913662.1,3.0652733
KP692114.1,3.0786002
KP692116.1,3.161614
KR816167.1,3.056798
KR816169.1,3.1045318
KR816171.1,3.0704165
KR816173.1,3.02636
KR816175.1,3.0672004
KR816176.1,3.0225196
KR816177.1,3.078681
KR816178.1,3.0204334
KR816179.1,3.0968769
KR816180.1,3.0476434
KR816181.1,3.0627487
KT372348.1,3.0601537
KT698166.1,3.0751266
KT698167.1,3.0670059
KT698168.1,3.0855112
LR861885.1,2.989821
LR861917.1,3.0418754
LR861918.1,3.0211658
LR861925.1,2.9859955
LR861930.1,3.0525398
LR861969.1,2.9886146
MF588691.1,3.0861022
MF588694.1,3.1137252
MF588695.1,3.0575888
MF588696.1,2.9959834
MF588697.1,3.0106099
MF588698.1,3.047053
MF588699.1,3.0005105
MF588700.1,3.0174074
MF588701.1,3.0637743
MF588702.1,3.0555203
MF588703.1,3.0378566
MF588704.1,3.03912
MF588705.1,3.048776
MF588706.1,3.0137205
MF588708.1,3.0953517
MF588709.1,3.1023703
MF588710.1,3.1127467
MF588711.1,3.0793164
MF588712.1,3.1536229
MF588713.1,3.01685
MF588714.1,3.104533
MF588715.1,3.1196408
MF588716.1,3.0859416
MF588717.1,3.0782251
MF588718.1,3.0802753
MF588719.1,3.0808368
MF588720.1,3.0731244
MF588721.1,3.119305
MF588722.1,3.113426
MF588723.1,3.0404878
MF588724.1,3.0533357
MF588725.1,3.0905337
MF588726.1,3.0917594
MF588727.1,3.1165497
MF588728.1,3.0496483
MF588729.1,3.0756373
MF588730.1,3.1484761
MF588731.1,3.0873985
MF588732.1,3.1121542
MF588733.1,3.0992408
MF588734.1,3.070681
MF588736.1,3.1815774
MF588737.1,3.1646097
MF588738.1,3.1587877
MF588739.1,3.174556
MF588740.1,3.0988104
MF588741.1,3.1362817
MF588742.1,3.1722295
MF588743.1,3.1444442
MF588744.1,3.1352108
MF588745.1,3.0894468
MF588746.1,3.0544357
MF588747.1,3.0466475
MF588748.1,3.0781143
MF588749.1,3.0952406
MF588750.1,3.0996578
MF588751.1,3.0521028
MF588752.1,3.0887916
MF588756.1,3.0970843
MF588759.1,3.057623
MF588760.1,2.9527426
MF588761.1,3.327848
MF588762.1,2.9248815
MF588763.1,3.2262611
MF588764.1,3.0498965
MF588765.1,3.285733
MF588766.1,3.1207573
MF588767.1,3.1816165
MF588768.1,3.442276
MF588769.1,3.076791
MF588770.1,3.0390832
MF588771.1,3.166462
MF588772.1,3.222579
MF588773.1,3.1936796
MF588774.1,3.2812707
MF588775.1,3.045709
MF588776.1,3.427007
MF588777.1,3.1405804
MF588778.1,3.263865
MF588779.1,2.904933
MF588780.1,3.2011883
MF588781.1,2.8597257
MF588782.1,3.1033432
MF588783.1,3.272332
MF588784.1,2.972033
MF588785.1,2.812053
MF588786.1,3.0566502
MF588787.1,3.0593503
MF588788.1,3.223706
MF588789.1,3.0490105
MF588790.1,2.8789303
MF588791.1,3.3228128
MF588792.1,3.3194685
MF588793.1,3.1145735
MH460956.1,3.0633903
MK620820.1,3.5348074
MK620821.1,3.1815846
MK620828.1,2.223247
MK620831.1,3.7580168
MK620832.1,3.014511
MK620836.1,2.6042216
MK620838.1,3.0555375
MK620841.1,2.5528889
MK620844.1,3.0326653
MN400665.1,3.0078118
MN605989.1,3.0657587
MW574219.1,3.821737
MW574220.1,3.8097293
MW574236.1,3.8408895
MW574237.1,3.8248863
MW574238.1,3.8287535
MW574240.1,3.8629615
MW574241.1,3.840704
MW574246.1,3.851565
MW574247.1,3.9571052
MW574248.1,3.955721
MW574249.1,3.849854
MW574252.1,3.8504753
MZ516382.1,2.997009
NC_013035.1,3.1487339
NC_014185.1,3.006504
NC_014469.1,3.0807369
NC_014952.1,3.1004891
NC_014953.1,3.0810564
NC_014954.1,3.0471008
NC_014955.1,3.079687
NC_014956.1,3.030228
NC_016157.1,3.1079133
NC_017993.1,3.1027932
NC_017994.1,3.202863
NC_017995.1,3.106471
NC_017996.1,3.1440668
NC_017997.1,3.0833745
NC_019023.1,3.1285646
NC_021483.1,3.134303
NC_022095.1,3.1003683
NC_022892.1,3.08925
NC_023891.1,3.0593033
NC_026946.1,3.0654597
NC_027528.1,3.0665522
NC_028125.1,3.0648472
NC_033781.1,3.0731566
NC_038522.1,3.0920796
NC_038523.1,3.1746905
NC_038524.1,3.1242828
NC_038914.1,3.0481992
NC_039086.1,3.0800679
NC_040550.1,3.079811
NC_040619.1,3.1017468
NC_040620.1,3.0676916
NC_040688.1,3.1054282
NC_040691.1,3.1111805
NC_040803.1,3.0858305
NC_040804.1,3.0818396
NC_040805.1,3.132467
NC_040806.1,3.0120096
OK633266.1,2.880223
OP712017.1,3.0467787
OP971018.1,2.9877055
OP971066.1,2.9854388
OQ915151.1,3.1464386
PP718696.1,2.8889554
PP718699.1,2.9555917
PP718706.1,2.9887342
PP718707.1,2.9879494
PP718710.1,2.8836048
PP718713.1,3.0125427
PP718714.1,2.9876213
PP718715.1,3.017133
PP718716.1,2.8015091
PP718721.1,3.0056286
PV012255.1,2.9866438
PV012298.1,3.0508885
