file,perplexity
AB691131.1,3.0126119
AB691132.1,3.0113974
AB691133.1,3.0044513
AB700659.1,3.5203621
AB700660.1,3.5310423
AB700661.1,3.5145597
AB856424.1,3.6159332
AB856436.1,3.8269584
AB856437.1,3.652207
AB856447.1,3.535217
AB856456.1,3.169754
AB856457.1,3.830317
AB856459.1,3.524876
AB856460.1,2.8797638
AB856461.1,3.6548245
AB856470.1,3.500803
AB856471.1,3.8523436
AB856472.1,3.5062535
AB856476.1,3.706211
AB856477.1,3.6624424
AB856478.1,3.537453
AB856479.1,3.5314069
AB856480.1,3.6576335
AB856481.1,3.6610892
AB860125.1,3.1274326
AB860126.1,3.1591127
AF324427.1,2.9247916
AF324428.1,2.910289
AF447074.1,3.0865119
AF447077.1,3.0986457
AF447078.1,3.0964239
AF447080.1,3.1006155
AJ133757.1,3.3545125
AJ270565.1,3.4653804
AJ270569.1,3.446668
AJ270572.1,3.4777164
AJ270573.1,3.4648092
EU344811.1,3.2024395
EU344812.1,3.2140746
EU704683.1,2.9945416
EU814922.1,3.5940015
FJ455787.1,3.4703639
FJ455788.1,3.4481041
FJ455789.1,3.6102865
FJ455790.1,3.6827729
FJ455791.1,3.3479834
FJ455792.1,3.5010347
FJ455793.1,3.4938073
FJ593289.1,2.8462994
FJ655092.1,3.6429298
FJ655093.1,3.6204603
FJ655095.1,3.649414
FJ655097.1,3.6760836
FJ655098.1,3.641009
FJ655099.1,3.6405466
FJ655101.1,3.5936005
FJ655102.1,3.5950236
FJ655103.1,3.594778
FJ655104.1,3.6241956
FJ655105.1,3.5942798
FJ655106.1,3.6365526
FJ655107.1,3.645882
FJ655110.1,3.5924232
FJ655111.1,3.635882
FJ655112.1,3.5860765
FJ655113.1,3.5976405
FJ655114.1,3.6343713
FJ655115.1,3.596617
FJ655116.1,3.6221254
FJ655117.1,3.592296
FJ655118.1,3.5876381
FJ655119.1,3.6005237
FJ655120.1,3.632291
FJ655121.1,3.620472
FJ655122.1,3.596418
FJ655123.1,3.6034646
FJ655124.1,3.630794
FJ655125.1,3.6386466
FJ655126.1,3.6369817
FJ655127.1,3.6154792
FJ655128.1,3.588791
FJ655129.1,3.5883632
FJ655130.1,3.588953
FJ655131.1,3.5789094
FJ655132.1,3.5956917
FJ655133.1,3.5946894
FJ655134.1,3.6171322
FJ655135.1,3.6168592
FJ655136.1,3.6273024
FJ655137.1,3.6276786
FJ655138.1,3.6348116
FJ655139.1,3.6364827
FJ655140.1,3.6078184
FJ655141.1,3.6145687
FJ655142.1,3.5984652
FJ655143.1,3.6043835
FJ655144.1,3.6006777
FJ655145.1,3.590306
FJ655146.1,3.6199563
FJ655147.1,3.6288986
FJ655148.1,3.6201713
FJ655149.1,3.5984373
FJ655150.1,3.6234076
FJ655151.1,3.5850117
FJ655152.1,3.6058571
FJ655153.1,3.6270723
FJ655154.1,3.6264334
FJ655156.1,3.600909
FJ655157.1,3.5776508
FJ655158.1,3.6209528
FJ655159.1,3.625752
FJ655160.1,3.5860808
FJ655161.1,3.6157577
FJ711161.1,3.4888005
GQ999614.1,3.3826785
GU057918.1,3.4720497
GU057920.1,3.465156
GU057921.1,3.4615798
GU057922.1,3.4710674
GU057924.1,3.4665787
GU057928.1,3.4717948
GU057929.1,3.4678044
GU057931.1,3.4736798
GU057934.1,3.4739175
GU057936.1,3.4695837
GU057941.1,3.4715962
GU057942.1,3.4708295
GU057944.1,3.4809783
GU057945.1,3.466555
GU057947.1,3.467072
GU057953.1,3.466775
GU057956.1,3.4706717
GU057958.1,3.468469
GU057962.1,3.4739816
GU057964.1,3.4554467
GU057966.1,3.4714384
GU057967.1,3.4692543
GU057968.1,3.4596038
GU057973.1,3.467384
GU057978.1,3.4699674
GU057979.1,3.463539
GU479980.1,3.65046
GU937116.1,3.32259
GU937117.1,3.3465703
GU937118.1,3.3462756
GU937119.1,3.3623385
GU937120.1,3.3445296
GU937121.1,3.338054
GU937124.1,3.3404813
GU937125.1,3.3589857
GU937126.1,3.3431947
GU937128.1,3.3402765
GU937129.1,3.4114265
GU937130.1,3.3637586
GU937132.1,3.3333402
GU937133.1,3.3394477
GU937134.1,3.3629882
GU937135.1,3.331799
GU937136.1,3.3553717
GU937137.1,3.338437
GU937138.1,3.3496451
GU937139.1,3.3662853
GU937141.1,3.326516
GU937142.1,3.3390348
GU937143.1,3.3374279
GU937144.1,3.3391418
GU937145.1,3.337788
GU937146.1,3.3381512
GU937147.1,3.3404782
