file,perplexity
AB601055.1,3.7825706
AB601061.1,3.7974837
AM283253.1,3.8083825
AM283306.1,3.8382063
AM283310.1,3.826541
AM283312.1,3.8317485
AM283322.1,3.964315
AM283323.1,3.8374634
AM283324.1,3.8303554
AM283330.1,3.802177
AM283340.1,3.8104057
AM283341.1,3.8099332
AM283345.1,3.80437
AM283359.1,3.7945468
AM283393.1,3.8044055
AM283403.1,3.824132
AM283405.1,3.8162756
AM283417.1,3.7898793
AM283420.1,3.7846453
AM283428.1,3.7997139
AM283439.1,3.7899272
AM283453.1,3.820811
AM283454.1,3.8181815
AM283455.1,3.8169868
AM283456.1,3.8149898
AM283457.1,3.8203754
AM283458.1,3.8030188
EU779756.1,3.7553916
GQ161260.1,3.5301728
GQ161265.1,3.5699542
GQ161271.1,3.5476906
GQ161283.1,3.6066637
GQ161290.1,3.6563501
GQ161291.1,3.5347688
GQ161305.1,3.7233143
GQ161316.1,3.534494
GQ161320.1,3.5274456
GQ161324.1,3.5776212
GQ161330.1,3.5215437
GQ161332.1,3.6132896
GQ161362.1,3.5729973
GQ161368.1,3.6070597
GQ161370.1,3.6293325
GQ161377.1,3.5850272
GQ161380.1,3.5157478
GQ161381.1,3.5715766
GQ161392.1,3.568342
GQ161409.1,3.5866585
GQ161423.1,3.6106215
GQ161426.1,3.5512035
GQ161435.1,3.5789475
GQ161460.1,3.6131833
GQ161466.1,3.5831316
GQ161474.1,3.5929418
GQ161475.1,3.6039505
GQ161486.1,3.5901785
GQ161505.1,3.5670571
GQ161510.1,3.5946417
GQ161516.1,3.7351224
GQ161531.1,3.5763514
GQ161533.1,3.5259976
GQ161535.1,3.5392597
GQ161538.1,3.5410845
GQ161540.1,3.5849457
GQ161559.1,3.7383404
GQ161561.1,3.6807673
GQ161564.1,3.5873485
GQ161584.1,3.6871343
GQ161605.1,3.535813
GQ161629.1,3.5255463
GQ161673.1,3.5875807
GQ161703.1,3.5833676
GQ161715.1,3.5433402
GQ161719.1,3.7130811
GQ161720.1,3.5467203
GQ161727.1,3.5804539
GQ396243.1,4.057531
GQ396244.1,3.7758844
GQ472849.1,3.5380716
GU296079.1,3.7768905
GU296080.1,3.7772229
GU296081.1,3.7713068
GU296085.1,3.6402762
GU447239.1,3.6012752
GU447240.1,3.5892456
GU447271.1,3.5671327
GU447287.1,3.630446
HE798596.1,3.7420876
HE798598.1,3.7505617
HE798599.1,3.7709372
HE798600.1,3.7084584
HE798601.1,3.772462
HE798626.1,3.7626967
HE798627.1,3.7606251
HE798630.1,3.7678416
HE798631.1,3.766801
HE798632.1,3.7909555
HE798634.1,3.7487519
HE798635.1,3.7660086
HE798636.1,3.766153
HE798638.1,3.7778347
HE798639.1,3.759262
HE798640.1,3.758083
HE798641.1,3.7488291
HE798642.1,3.7794154
HE798644.1,3.758504
HE798645.1,3.7697425
HE798647.1,3.7566042
HE798648.1,3.7529593
HE798649.1,3.7684517
HE798652.1,3.7934215
HE798655.1,3.7556112
HE798658.1,3.775356
HE798659.1,3.7591918
HM585447.1,3.8173037
HM585450.1,3.7988575
HM585451.1,3.8432417
HM585453.1,3.804305
HM585454.1,3.8187227
HM585456.1,3.515469
HM585457.1,3.6737819
HM585458.1,3.82923
HM585460.1,3.7497761
HM585463.1,3.7753465
HM585464.1,3.6668093
HM585466.1,3.8151572
HM585467.1,3.6742995
HM585470.1,3.7590368
HM585471.1,3.6769075
HM585473.1,3.5959482
HM585480.1,3.8135948
HM585482.1,3.5415928
HM585484.1,3.5399985
HM585486.1,3.5333762
HM585487.1,3.7884212
HM585489.1,3.815738
HM585491.1,3.8096595
HM585492.1,3.8320093
HM585493.1,3.826413
HQ438007.1,3.7483153
HQ438008.1,3.759588
HQ438009.1,3.7366457
HQ438010.1,3.7600338
HQ438011.1,3.7865782
HQ438012.1,3.7932198
HQ438013.1,3.7341368
HQ438014.1,3.753987
HQ438015.1,3.8463547
HQ438016.1,3.8058646
HQ438017.1,3.8172307
HQ438018.1,3.8552723
JN122285.1,3.9065018
JN122286.1,3.8860543
JN122287.1,3.8779733
JN122288.1,3.9330626
JN122289.1,3.9062712
JN122290.1,3.9255521
JN122291.1,3.895376
JN122292.1,3.9202952
JN393896.1,3.7497892
JN393897.1,3.7231846
JN393898.1,3.7241802
JN393899.1,3.8250947
JN393900.1,3.8225048
JN393901.1,3.8261657
JN393902.1,3.8147092
JN393903.1,3.840378
JN393904.1,3.8288403
JN393905.1,3.843744
JN393906.1,3.8095937
JN393907.1,3.8140118
JN617899.1,3.749951
JN661387.1,3.8149412
JN661388.1,3.826984
JN661389.1,3.8338218
JN661390.1,3.9268343
JN661391.1,3.8603618
JN661392.1,3.8770952
JN661393.1,3.8154683
JN661394.1,3.8187742
JN661395.1,3.8045714
JN661396.1,3.8217325
JN661397.1,3.8725412
JN661398.1,3.8099914
JN661399.1,3.8149126
JN661400.1,3.8706322
JN661404.1,3.8209133
JN661406.1,3.860896
JN661411.1,3.8355708
JN661412.1,3.8131194
JN661413.1,3.8303983
JN661414.1,3.713556
JN661415.1,3.7031038
JN661416.1,3.708459
JN661417.1,3.7195153
JN661418.1,3.7149978
JN661420.1,3.670489
JN661421.1,3.7192955
JN661422.1,3.7136326
JN661423.1,3.6975956
JN661426.1,3.7171848
JN661428.1,3.6333923
JN661429.1,3.7178211
JN661431.1,3.7051737
JN661435.1,3.6996562
JN661437.1,3.7828848
JN661439.1,3.7770903
JN661441.1,3.7898188
JN661453.1,3.7896068
JN661458.1,3.7927098
JN661460.1,3.9431422
JN661463.1,3.7624147
JN661466.1,3.7514975
JN661469.1,3.7949233
JN661470.1,3.7502491
JN661479.1,3.7741244
JN661484.1,3.864153
JN661485.1,3.754187
JN661486.1,3.9040172
JN661487.1,3.716331
JN661488.1,3.7451231
JN661490.1,3.7037601
JN661493.1,3.7420099
JN661494.1,3.7556057
JN661496.1,3.7221522
JN661498.1,3.7512507
JN661501.1,3.7376661
JN661502.1,3.7666986
JN661504.1,3.7002575
JN661505.1,3.7412732
JN661506.1,3.7374363
JN661507.1,3.735809
JN661509.1,3.7278545
JN661510.1,3.738254
JN661512.1,3.7213027
JN661513.1,3.737164
JN661514.1,3.7230744
JN661518.1,3.7258272
JN661519.1,3.7285879
JN661523.1,3.736088
JN661524.1,3.750986
JN661526.1,3.7401257
JN661528.1,3.767573
JN661529.1,3.7905593
JN661530.1,3.7688165
JN661532.1,3.7780614
JN661533.1,3.7769818
JN661534.1,3.7966938
JN661535.1,3.770489
JN661536.1,3.7601821
JN661537.1,3.7975154
JN661538.1,3.7637851
JN661541.1,3.7988846
JN661542.1,3.774245
JN661543.1,3.7817895
JN661549.1,3.763128
JN661550.1,3.7895598
JN661552.1,3.79693
JN661553.1,3.6117961
JN661554.1,3.8833003
JN661555.1,3.6038182
JN661556.1,3.5880287
JN661557.1,3.9114952
JN661558.1,3.612989
JN975310.1,3.796082
JN975312.1,3.7689054
JN975315.1,3.7997284
JN975316.1,3.7650955
JN975324.1,3.8163812
JN975325.1,3.8175817
JQ902124.1,3.733709
JQ902126.1,3.6897135
JQ902130.1,3.7349632
JX912947.1,3.6842132
JX912952.1,3.711033
KC815981.1,3.675274
KC815982.1,3.6794968
KC815983.1,3.682399
KF418199.1,3.7662134
KF418200.1,3.7395675
KF418201.1,3.7488372
KF418202.1,3.7630365
KF418203.1,3.525873
KF418204.1,3.7550447
KF418205.1,3.7467177
KF418206.1,3.7501547
KF418207.1,3.7492654
KF418208.1,3.7544727
KF418209.1,3.7521958
KF418210.1,3.742542
KF418211.1,3.7527835
KF418212.1,3.7434697
KF418213.1,3.7498875
KF418214.1,3.7527168
KF418215.1,3.7550905
KF418216.1,3.7391534
KF418217.1,3.7427473
KF418218.1,3.504362
KF418219.1,3.7452185
KF418220.1,3.754386
KF418221.1,3.511905
KF418222.1,3.7589107
KF418223.1,3.7584703
KF418224.1,3.7635372
KF418225.1,3.5021124
KF418226.1,3.7508125
KF418227.1,3.6995559
KF418228.1,3.7465873
KF418229.1,3.7515726
KF418230.1,3.757925
KF418231.1,3.7537134
KF418232.1,3.533351
KF418233.1,3.7528162
KF418234.1,3.744677
KF418235.1,3.7403188
KF418236.1,3.7428215
KF418237.1,3.7459486
KF418238.1,3.7398572
KF418239.1,3.735633
KJ869431.1,3.9453337
KJ869433.1,3.8682106
KR136082.1,3.7912195
KT070111.1,3.7307153
KT070114.1,3.6196718
KT070115.1,3.5967875
KT070119.1,3.7957358
KT070131.1,3.7251863
KT070132.1,3.6620069
KT070137.1,3.7457647
KT375735.1,3.75532
KU050121.1,3.6780014
KU050122.1,3.6664836
KU050129.1,3.706048
KU050130.1,3.7380598
KU050131.1,3.7439857
KU195236.1,3.7861412
KU195237.1,3.7841988
KU195241.1,3.831509
KU195242.1,3.8116004
KU195248.1,3.8458943
KU195249.1,3.8373504
KU195250.1,3.8337624
KU195251.1,3.8450794
KU298887.1,3.5910573
KU298911.1,3.5903091
KU298912.1,3.5471642
KU298913.1,3.5345714
KU298915.1,3.493808
KU298916.1,3.4797158
KU298919.1,3.4656262
KU298926.1,3.4835064
KU298927.1,3.4910026
KU298928.1,3.4945571
KU721799.1,3.711437
KU721800.1,3.718872
KU721801.1,3.7190635
KU721802.1,3.7123184
KU721803.1,3.7151093
KU951254.1,3.7076888
KU951256.1,3.7204595
KU951257.1,3.7288935
KU951258.1,3.7116065
KU951259.1,3.728002
KU951260.1,3.7255666
KU951261.1,3.7265446
KU951262.1,3.7097247
KU951263.1,3.720178
KU951264.1,3.7171013
KU951265.1,3.727706
KU951266.1,3.70779
KU951267.1,3.7773254
KU951268.1,3.7798953
KU951269.1,3.7780862
KU951270.1,3.7713737
KU951271.1,3.7799885
KU951272.1,3.783823
KU951273.1,3.7748046
KU951274.1,3.7806113
KU951277.1,3.7722042
KX446975.1,3.907404
KX514418.1,3.4630022
KX545366.1,3.7297916
KX645742.1,3.6806703
KX645743.1,3.7110984
KX645744.1,3.7182178
KX645745.1,3.7195616
KX645746.1,3.7079704
KX645747.1,3.712557
KX645748.1,3.71416
KX645749.1,3.7108874
KX645750.1,3.7115843
KX645751.1,3.719675
KX645752.1,3.717385
KX645753.1,3.7263682
KX645754.1,3.7116556
KX645755.1,3.7232552
KX645756.1,3.7118578
KX645757.1,3.7239041
KX645758.1,3.7241812
KX645759.1,3.7162862
KX645760.1,3.7233417
KX645761.1,3.7170615
KX645762.1,3.7217095
KX645763.1,3.714264
KX645764.1,3.7164054
KX645765.1,3.67828
KX645766.1,3.6811323
KX645767.1,3.6791234
KX645768.1,3.677807
KX645769.1,3.6749444
KX645770.1,3.6755078
KX645771.1,3.680381
KX645772.1,3.6795058
KX645773.1,3.6830351
KX645774.1,3.6809773
KX645775.1,3.6861572
KX645776.1,3.6845725
KX645777.1,3.6869464
KX645778.1,3.6940322
KX645779.1,3.685355
KX645780.1,3.6883762
KY848439.1,3.7819166
LC155254.1,3.8559384
LC511686.1,3.4935536
LR861811.1,3.5323155
LR861836.1,3.5342252
LR861840.1,3.4941604
LR861841.1,3.5327327
LR861842.1,3.528066
LR861851.1,3.4917076
LR861854.1,3.4816647
LR861859.1,3.449873
LR861876.1,3.5342474
LR861877.1,3.4514384
LR861879.1,3.49379
LR861884.1,3.5320225
LR861902.1,3.4834926
LR861903.1,3.4618287
LR861907.1,3.4812098
LR861908.1,3.5344489
LR861912.1,3.5335393
LR861915.1,3.533704
LR861922.1,3.5346048
LR861942.1,3.5344076
LR861948.1,3.5425918
LR861954.1,3.5344136
LR861955.1,3.449409
LR861962.1,3.4541922
LR861964.1,3.4929094
LR861979.1,3.4475977
LR861980.1,3.4606788
LR862000.1,3.5307827
LR862020.1,3.485793
LR862024.1,3.5340903
LR862029.1,3.4794803
LR862030.1,3.4834046
LR862039.1,3.4841294
LR862042.1,3.4929695
LR862043.1,3.4482465
LR862051.1,3.5344934
LR862060.1,3.5351813
