file,perplexity
AB700659.1,2.7443278
AB700660.1,2.7964115
AB700661.1,2.7433329
AB860125.1,1.6560371
AB860126.1,1.6709305
AJ270565.1,3.3551702
AJ270569.1,3.3269587
AJ270572.1,3.3438072
AJ270573.1,3.3280938
GU057918.1,2.3165846
GU057920.1,2.319238
GU057921.1,2.3126848
GU057922.1,2.3223119
GU057924.1,2.3110976
GU057928.1,2.3114414
GU057929.1,2.3126361
GU057931.1,2.3199885
GU057934.1,2.3217194
GU057936.1,2.3247051
GU057941.1,2.326211
GU057942.1,2.3138254
GU057944.1,2.3159637
GU057945.1,2.3383608
GU057947.1,2.3215964
GU057953.1,2.3221738
GU057956.1,2.3164144
GU057958.1,2.3294654
GU057962.1,2.3119414
GU057964.1,2.3231494
GU057966.1,2.3200674
GU057967.1,2.3183656
GU057968.1,2.3057282
GU057973.1,2.3065245
GU057978.1,2.3403878
GU057979.1,2.3085918
GU937116.1,3.0846999
GU937117.1,3.1157613
GU937118.1,3.1148846
GU937119.1,3.1297483
GU937120.1,3.1253667
GU937121.1,3.1177466
GU937124.1,3.1257896
GU937125.1,3.1520083
GU937126.1,3.1109135
GU937128.1,3.112968
GU937129.1,3.2052293
GU937130.1,3.124901
GU937132.1,3.0914075
GU937133.1,3.1276805
GU937134.1,3.1217825
GU937135.1,3.1157713
GU937136.1,3.1213036
GU937137.1,3.104118
GU937138.1,3.1157131
GU937139.1,3.1343973
GU937141.1,3.0942957
GU937142.1,3.1149914
GU937143.1,3.1194484
GU937144.1,3.107321
GU937145.1,3.122762
GU937146.1,3.120286
GU937147.1,3.1187186
GU937148.1,3.1227167
GU937149.1,3.130084
GU937151.1,3.1029084
GU937153.1,3.1328294
GU937154.1,3.1178093
GU937158.1,3.109958
GU937159.1,3.0977337
GU937162.1,3.1282413
GU937163.1,3.1233242
GU937165.1,3.1210966
GU937166.1,3.1122541
GU937167.1,3.130617
GU937168.1,3.1203616
GU937169.1,3.1210647
GU937171.1,3.0888844
GU937172.1,3.1177056
GU937173.1,3.1231728
GU937175.1,3.1442633
GU937176.1,3.1341808
GU937177.1,3.116436
GU937178.1,3.1188736
GU937180.1,3.1322122
GU937182.1,3.1111245
GU937183.1,3.1166184
GU937185.1,3.0945356
GU937187.1,3.1133099
GU937188.1,3.1274154
GU937189.1,3.1400676
GU937191.1,3.093906
GU937193.1,3.1289496
GU937195.1,3.1391506
GU937196.1,3.1166236
