#Accession,SRA_Accession,Submitters,Release_Date,Strain,Isolate,Species,Genus,Family,Molecule_type,Length,Sequence_Type,Nuc_Completeness,Genotype,Segment,Publications,Geo_Location,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
PV780002.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-17,,Basrah6,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,276,GenBank,partial,,,,Iraq,,Homo sapiens,swab,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah6 envelope glycoprotein N (UL49A) gene, complete cds"
PV780003.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-17,,Basrah7,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,2715,GenBank,partial,,,,Iraq,,Homo sapiens,swab,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah7 glycoprotein B (UL27) gene, complete cds"
PV780004.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-17,,Basrah8,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,2517,GenBank,partial,,,,Iraq,,Homo sapiens,swab,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah8 envelope glycoprotein H (UL22) gene, complete cds"
PV780005.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-17,,Basrah9,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,675,GenBank,partial,,,,Iraq,,Homo sapiens,swab,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah9 envelope glycoprotein L (UL1) gene, complete cds"
PV780006.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-17,,Basrah10,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1017,GenBank,partial,,,,Iraq,,Homo sapiens,swab,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah10 envelope glycoprotein K (UL53) gene, complete cds"
PV749626.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-10,,Basrah4,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,669,GenBank,partial,,,,Iraq,,Homo sapiens,,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah4 envelope protein UL20 (UL20) gene, complete cds"
PV749627.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.S.",2025-06-10,,Basrah5,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,291,GenBank,partial,,,,Iraq,,Homo sapiens,,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah5 myristylated tegument protein UL11 (UL11) gene, partial cds"
PV726245.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.K.",2025-06-08,,Basrah2,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,600,GenBank,partial,,,,Iraq,,Homo sapiens,,2024-09-23,,"Human alphaherpesvirus 1 UL4 protein (UL4) gene, complete cds"
PV726246.1,,"Abdullah,W.B., Al-Hmudi,H.A., AlSalait,S.K.",2025-06-08,,Basrah3,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1422,GenBank,partial,,,,Iraq,,Homo sapiens,,2024-09-23,,"Human alphaherpesvirus 1 envelope glycoprotein M (UL10) gene, complete cds"
PV689946.1,,"Abdullah,W.B., Al-Hmudi,H.A., Alsalait,S.K.",2025-06-07,,Basrah1,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,1004,GenBank,partial,,,,Iraq,,Homo sapiens,,2024-09-23,,"Human alphaherpesvirus 1 isolate Basrah1 uracil-DNA glycosylase (UL2) gene, partial cds"
PV694282.1,,"Kandamby,D.H., Leung,C.S., Sridhar,S., Tsang,Y.M., Lee,K.P., Lo,J.Y.C., Chan,J.M.C., Yip,C.C.Y., Cai,J., Tsoi,J.Y.H., Luk,K.S.",2025-06-02,,hu/HK/2024,Simplexvirus macacinealpha1,Simplexvirus,Orthoherpesviridae,dsDNA,420,GenBank,partial,,,,Hong Kong,,Homo sapiens,,2024,,"Macacine alphaherpesvirus 1 isolate hu/HK/2024 glycoprotein B (UL27) gene, partial cds"
PV594047.1,,"Abdullah,W.B., Al-Hmudi,H.A., Alsalait,S.K.",2025-05-10,,,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,2030,GenBank,partial,,,,Iraq,,Homo sapiens,,2024-09-23,,"Human alphaherpesvirus 1 capsid portal protein (UL6) gene, partial cds"
PP983259.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH002,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,921,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH002 gag protein gene, partial cds"
PP983260.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH003,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,930,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH003 gag protein gene, partial cds"
PP983261.1,,"Yang,H., Chen,H., Yao,E., Dai,J., Han,Y., Jin,X., Yang,M., Zeng,Z., Sun,P., Shi,Y., Ma,Y., Jia,M., Chen,M.",2025-04-10,,22HH005,Simplexvirus humanalpha1,Simplexvirus,Orthoherpesviridae,dsDNA,933,GenBank,partial,,,1.0,China,,Homo sapiens,,2022,,"Human alphaherpesvirus 1 isolate 22HH005 gag protein gene, partial cds"
