file,perplexity
AB601055.1,3.7079916
AB601061.1,3.7290113
AM283253.1,3.0779889
AM283306.1,2.7053332
AM283310.1,2.671046
AM283312.1,2.6862047
AM283322.1,2.7818768
AM283323.1,2.6952739
AM283324.1,2.6956482
AM283330.1,3.1036208
AM283340.1,3.0746105
AM283341.1,3.0855365
AM283345.1,3.0788321
AM283359.1,2.6395576
AM283393.1,3.5922022
AM283403.1,3.6042275
AM283405.1,3.589929
AM283417.1,3.5851312
AM283420.1,3.5716653
AM283428.1,3.5634038
AM283439.1,3.5850759
AM283453.1,3.5997953
AM283454.1,3.585402
AM283455.1,3.5947857
AM283456.1,3.5980341
AM283457.1,3.5980625
AM283458.1,3.5746377
EU779756.1,2.527393
GQ161260.1,2.3165975
GQ161265.1,2.3327646
GQ161271.1,2.4583964
GQ161283.1,2.3739576
GQ161290.1,2.4425442
GQ161291.1,2.2817478
GQ161305.1,3.320828
GQ161316.1,2.293511
GQ161320.1,2.3196177
GQ161324.1,2.341105
GQ161330.1,2.3541975
GQ161332.1,2.402234
GQ161362.1,2.3126721
GQ161368.1,2.4572797
GQ161370.1,2.4181964
GQ161377.1,2.3403993
GQ161380.1,2.2957754
GQ161381.1,2.2600644
GQ161392.1,2.4303992
GQ161409.1,2.3756135
GQ161423.1,2.5234914
GQ161426.1,2.3523335
GQ161435.1,2.371401
GQ161460.1,2.3932605
GQ161466.1,2.3593533
GQ161474.1,2.352114
GQ161475.1,2.3677828
GQ161486.1,2.3604205
GQ161505.1,2.4147165
GQ161510.1,2.3593779
GQ161516.1,3.3678596
GQ161531.1,2.4225302
GQ161533.1,2.3153481
GQ161535.1,2.299629
GQ161538.1,2.3445423
GQ161540.1,2.3463635
GQ161559.1,3.3205936
GQ161561.1,2.8786764
GQ161564.1,2.3533297
GQ161584.1,3.374456
GQ161605.1,2.282236
GQ161629.1,2.3687701
GQ161673.1,2.4678175
GQ161703.1,2.3518882
GQ161715.1,2.3612065
GQ161719.1,2.903858
GQ161720.1,2.69421
GQ161727.1,2.3646193
GQ396243.1,2.9453886
GQ396244.1,2.3673065
GQ472849.1,2.392303
GU296079.1,2.6397963
GU296080.1,2.6568725
GU296081.1,2.6794589
GU296085.1,2.649836
GU447239.1,2.4410717
GU447240.1,2.3488705
GU447271.1,2.4222357
GU447287.1,2.4692097
HE798596.1,2.5770652
HE798598.1,2.5988066
HE798599.1,2.5949898
HE798600.1,2.5744076
HE798601.1,2.8181767
HE798626.1,2.8340075
HE798627.1,2.8398497
HE798630.1,2.8783672
HE798631.1,2.8250766
HE798632.1,2.8146732
HE798634.1,2.8430338
HE798635.1,2.8330538
HE798636.1,2.8425992
HE798638.1,2.8530967
HE798639.1,2.874613
HE798640.1,2.7577264
HE798641.1,2.745118
HE798642.1,2.7911901
HE798644.1,2.7450256
HE798645.1,2.7786005
